game_id,date,matchup,bet_side,total_line,over_odds,under_odds,predicted_total,total_advantage,cover_prob,confidence,bet_size_fraction,bet_amount,potential_profit,book,type,result,reason,timestamp
22500244,2025-11-17 00:00:00+00:00,NYK @ MIA,Under,244.5,-110.0,-110.0,238.5452880859375,5.9547119140625,0.6801011298089479,0.297735595703125,0.0820530931496976,4,3.636363636363636,betmgm,total,W,"Predicted: 238.5, Line: 244.5, Edge: 6.0pts, Probability: 68.0%, Confidence: 29.8%",2025-11-17 11:50:58.143815
22500248,2025-11-17 00:00:00+00:00,CHI @ DEN,Under,239.5,-115.0,-105.0,234.10157775878903,5.3984222412109375,0.6741267780668481,0.2699211120605468,0.0829899737592596,4,3.809523809523809,betmgm,total,L,"Predicted: 234.1, Line: 239.5, Edge: 5.4pts, Probability: 67.4%, Confidence: 27.0%",2025-11-17 11:50:58.143815
22500245,2025-11-17 00:00:00+00:00,CHA @ TOR,Under,240.5,-105.0,-115.0,234.52590942382807,5.974090576171875,0.6803104989271272,0.2987045288085937,0.0781668931733309,4,3.4782608695652173,betmgm,total,W,"Predicted: 234.5, Line: 240.5, Edge: 6.0pts, Probability: 68.0%, Confidence: 29.9%",2025-11-17 11:50:58.143815
22500262,2025-11-19 00:00:00+00:00,NYK @ DAL,Over,230.5,-115.0,-105.0,237.1175079345703,6.6175079345703125,0.6873056727420833,0.3308753967285156,0.0819267990988698,5,4.3478260869565215,betmgm,total,L,"Predicted: 237.1, Line: 230.5, Edge: 6.6pts, Probability: 68.7%, Confidence: 33.1%",2025-11-19 11:06:04.048457
22500256,2025-11-19 00:00:00+00:00,CHA @ IND,Under,237.5,-110.0,-110.0,231.9849090576172,5.5150909423828125,0.6753738319593501,0.2757545471191406,0.0795712617786588,5,4.545454545454545,betmgm,total,L,"Predicted: 232.0, Line: 237.5, Edge: 5.5pts, Probability: 67.5%, Confidence: 27.6%",2025-11-19 11:06:04.048457
22500264,2025-11-20 00:00:00+00:00,LAC @ ORL,Over,218.5,-110.0,-110.0,228.65538024902344,10.155380249023438,0.7267479926334683,0.5077690124511719,0.1,8,7.272727272727272,betmgm,total,W,"Predicted: 228.7, Line: 218.5, Edge: 10.2pts, Probability: 72.7%, Confidence: 50.8%",2025-11-20 11:25:01.860813
22500266,2025-11-20 00:00:00+00:00,PHI @ MIL,Over,224.5,-110.0,-110.0,233.19764709472656,8.697647094726562,0.7103692036650553,0.4348823547363281,0.097943831924154,8,7.272727272727272,betmgm,total,W,"Predicted: 233.2, Line: 224.5, Edge: 8.7pts, Probability: 71.0%, Confidence: 43.5%",2025-11-20 11:25:01.860813
22500051,2025-11-21 00:00:00+00:00,MIA @ CHI,Under,249.5,-115.0,-105.0,241.78094482421875,7.71905517578125,0.6994500489319379,0.3859527587890625,0.0959681500776181,7,6.666666666666666,betmgm,total,L,"Predicted: 241.8, Line: 249.5, Edge: 7.7pts, Probability: 69.9%, Confidence: 38.6%",2025-11-21 12:24:07.324304
22500048,2025-11-21 00:00:00+00:00,IND @ CLE,Under,240.5,-105.0,-115.0,233.45640563964844,7.0435943603515625,0.6919805875252039,0.3521797180175781,0.084439565794797,6,5.217391304347826,betmgm,total,W,"Predicted: 233.5, Line: 240.5, Edge: 7.0pts, Probability: 69.2%, Confidence: 35.2%",2025-11-21 12:24:07.324304
22500050,2025-11-21 00:00:00+00:00,WAS @ TOR,Under,240.5,-105.0,-115.0,234.5829925537109,5.917007446289063,0.6796939990256126,0.2958503723144531,0.0778355244762667,5,4.3478260869565215,betmgm,total,L,"Predicted: 234.6, Line: 240.5, Edge: 5.9pts, Probability: 68.0%, Confidence: 29.6%",2025-11-21 12:24:07.324304
22500272,2025-11-22 00:00:00+00:00,DET @ MIL,Over,223.5,-110.0,-110.0,236.80813598632807,13.308135986328123,0.7618807961347267,0.6654067993164062,0.1,7,6.363636363636363,betmgm,total,W,"Predicted: 236.8, Line: 223.5, Edge: 13.3pts, Probability: 76.2%, Confidence: 66.5%",2025-11-22 13:40:33.512424
