Date,Tm,Home_Away,Opp,W/L,R,RA,D/N,Streak
"Thursday, Mar 30",BOS,Home,BAL,L,9.0,10.0,D,-1
"Saturday, Apr 1",BOS,Home,BAL,W-wo,9.0,8.0,D,1
"Sunday, Apr 2",BOS,Home,BAL,W,9.0,5.0,D,2
"Monday, Apr 3",BOS,Home,PIT,L,6.0,7.0,N,-1
"Tuesday, Apr 4",BOS,Home,PIT,L,1.0,4.0,N,-2
"Wednesday, Apr 5",BOS,Home,PIT,L,1.0,4.0,D,-3
"Thursday, Apr 6",BOS,@,DET,W,6.0,3.0,D,1
"Saturday, Apr 8",BOS,@,DET,W,14.0,5.0,D,2
"Sunday, Apr 9",BOS,@,DET,W,4.0,1.0,D,3
"Monday, Apr 10",BOS,@,TBR,L,0.0,1.0,N,-1
"Tuesday, Apr 11",BOS,@,TBR,L,2.0,7.0,N,-2
"Wednesday, Apr 12",BOS,@,TBR,L,7.0,9.0,N,-3
"Thursday, Apr 13",BOS,@,TBR,L,3.0,9.0,D,-4
"Friday, Apr 14",BOS,Home,LAA,W,5.0,3.0,N,1
"Saturday, Apr 15",BOS,Home,LAA,W,9.0,7.0,D,2
"Sunday, Apr 16",BOS,Home,LAA,W,2.0,1.0,D,3
"Monday, Apr 17",BOS,Home,LAA,L,4.0,5.0,D,-1
"Tuesday, Apr 18",BOS,Home,MIN,W-wo,5.0,4.0,N,1
"Wednesday, Apr 19",BOS,Home,MIN,L,4.0,10.0,N,-1
"Thursday, Apr 20",BOS,Home,MIN,W,11.0,5.0,D,1
"Friday, Apr 21",BOS,@,MIL,W,5.0,3.0,N,2
"Saturday, Apr 22",BOS,@,MIL,L,4.0,5.0,N,-1
"Sunday, Apr 23",BOS,@,MIL,W,12.0,5.0,D,1
"Monday, Apr 24",BOS,@,BAL,L,4.0,5.0,N,-1
"Tuesday, Apr 25",BOS,@,BAL,W,8.0,6.0,N,1
"Wednesday, Apr 26",BOS,@,BAL,L,2.0,6.0,D,-1
"Friday, Apr 28",BOS,Home,CLE,L,2.0,5.0,N,-2
"Saturday, Apr 29",BOS,Home,CLE,W-wo,8.0,7.0,D,1
"Sunday, Apr 30",BOS,Home,CLE,W,7.0,1.0,D,2
"Monday, May 1",BOS,Home,TOR,W-wo,6.0,5.0,N,3
"Tuesday, May 2",BOS,Home,TOR,W,7.0,6.0,N,4
"Wednesday, May 3",BOS,Home,TOR,W,8.0,3.0,N,5
"Thursday, May 4",BOS,Home,TOR,W,11.0,5.0,N,6
"Friday, May 5",BOS,@,PHI,W,5.0,3.0,N,7
"Saturday, May 6",BOS,@,PHI,W,7.0,4.0,N,8
"Sunday, May 7",BOS,@,PHI,L,1.0,6.0,D,-1
"Tuesday, May 9",BOS,@,ATL,L,3.0,9.0,N,-2
"Wednesday, May 10",BOS,@,ATL,W,5.0,2.0,N,1
"Friday, May 12",BOS,Home,STL,L,6.0,8.0,N,-1
"Saturday, May 13",BOS,Home,STL,L,3.0,4.0,D,-2
"Sunday, May 14",BOS,Home,STL,L,1.0,9.0,N,-3
"Monday, May 15",BOS,Home,SEA,L,1.0,10.0,N,-4
"Tuesday, May 16",BOS,Home,SEA,W,9.0,4.0,N,1
"Wednesday, May 17",BOS,Home,SEA,W,12.0,3.0,N,2
"Friday, May 19",BOS,@,SDP,W,6.0,1.0,N,3
"Saturday, May 20",BOS,@,SDP,W,4.0,2.0,N,4
"Sunday, May 21",BOS,@,SDP,L,0.0,7.0,D,-1
"Monday, May 22",BOS,@,LAA,L,1.0,2.0,N,-2
"Tuesday, May 23",BOS,@,LAA,L,0.0,4.0,N,-3
"Wednesday, May 24",BOS,@,LAA,L,3.0,7.0,N,-4
"Friday, May 26",BOS,@,ARI,W,7.0,2.0,N,1
"Saturday, May 27",BOS,@,ARI,W,2.0,1.0,D,2
"Sunday, May 28",BOS,@,ARI,L,2.0,4.0,D,-1
"Tuesday, May 30",BOS,Home,CIN,L,8.0,9.0,N,-2
"Wednesday, May 31",BOS,Home,CIN,L,4.0,5.0,N,-3
"Thursday, Jun 1",BOS,Home,CIN,W,8.0,2.0,N,1
"Saturday, Jun 3 (1)",BOS,Home,TBR,W,8.0,5.0,D,2
"Saturday, Jun 3 (2)",BOS,Home,TBR,L,2.0,4.0,N,-1
"Sunday, Jun 4",BOS,Home,TBR,L,2.0,6.0,D,-2
"Monday, Jun 5",BOS,Home,TBR,L,1.0,4.0,D,-3
"Tuesday, Jun 6",BOS,@,CLE,W,5.0,4.0,N,1
"Wednesday, Jun 7",BOS,@,CLE,L,2.0,5.0,N,-1
"Thursday, Jun 8",BOS,@,CLE,L,3.0,10.0,N,-2
"Friday, Jun 9",BOS,@,NYY,W,3.0,2.0,N,1
"Saturday, Jun 10",BOS,@,NYY,L,1.0,3.0,N,-1
"Sunday, Jun 11",BOS,@,NYY,W,3.0,2.0,N,1
"Monday, Jun 12",BOS,Home,COL,L,3.0,4.0,N,-1
"Tuesday, Jun 13",BOS,Home,COL,L,6.0,7.0,N,-2
"Wednesday, Jun 14",BOS,Home,COL,W,6.0,3.0,N,1
"Friday, Jun 16",BOS,Home,NYY,W,15.0,5.0,N,2
"Sunday, Jun 18 (1)",BOS,Home,NYY,W,6.0,2.0,D,3
"Sunday, Jun 18 (2)",BOS,Home,NYY,W,4.0,1.0,N,4
"Monday, Jun 19",BOS,@,MIN,W,9.0,3.0,N,5
"Tuesday, Jun 20",BOS,@,MIN,W,10.0,4.0,N,6
"Wednesday, Jun 21",BOS,@,MIN,L-wo,4.0,5.0,N,-1
"Thursday, Jun 22",BOS,@,MIN,L,0.0,6.0,D,-2
"Friday, Jun 23",BOS,@,CHW,W,3.0,1.0,N,1
"Saturday, Jun 24",BOS,@,CHW,L-wo,4.0,5.0,D,-1
"Sunday, Jun 25",BOS,@,CHW,L,1.0,4.0,D,-2
"Tuesday, Jun 27",BOS,Home,MIA,L,1.0,10.0,N,-3
"Wednesday, Jun 28",BOS,Home,MIA,L,2.0,6.0,N,-4
"Thursday, Jun 29",BOS,Home,MIA,L,0.0,2.0,N,-5
"Friday, Jun 30",BOS,@,TOR,W,5.0,0.0,N,1
"Saturday, Jul 1",BOS,@,TOR,W,7.0,6.0,D,2
"Sunday, Jul 2",BOS,@,TOR,W,5.0,4.0,D,3
"Tuesday, Jul 4",BOS,Home,TEX,L,2.0,6.0,D,-1
"Wednesday, Jul 5",BOS,Home,TEX,W,4.0,2.0,N,1
"Thursday, Jul 6",BOS,Home,TEX,W,10.0,6.0,N,2
"Friday, Jul 7",BOS,Home,OAK,W,7.0,3.0,N,3
"Saturday, Jul 8",BOS,Home,OAK,W,10.0,3.0,D,4
"Sunday, Jul 9",BOS,Home,OAK,W,4.0,3.0,D,5
"Friday, Jul 14",BOS,@,CHC,W,8.0,3.0,N,6
"Saturday, Jul 15",BOS,@,CHC,L,4.0,10.0,D,-1
"Sunday, Jul 16",BOS,@,CHC,W,11.0,5.0,D,1
"Monday, Jul 17",BOS,@,OAK,W,7.0,0.0,N,2
"Tuesday, Jul 18",BOS,@,OAK,L,0.0,3.0,N,-1
"Wednesday, Jul 19",BOS,@,OAK,L,5.0,6.0,D,-2
"Friday, Jul 21",BOS,Home,NYM,L,4.0,5.0,D,-3
"Saturday, Jul 22",BOS,Home,NYM,W,8.0,6.0,N,1
"Sunday, Jul 23",BOS,Home,NYM,W,6.0,1.0,N,2
"Tuesday, Jul 25",BOS,Home,ATL,W,7.0,1.0,N,3
"Wednesday, Jul 26",BOS,Home,ATL,W,5.0,3.0,N,4
"Friday, Jul 28",BOS,@,SFG,W,3.0,2.0,N,5
"Saturday, Jul 29",BOS,@,SFG,L-wo,2.0,3.0,D,-1
"Sunday, Jul 30",BOS,@,SFG,L-wo,3.0,4.0,D,-2
"Monday, Jul 31",BOS,@,SEA,L,2.0,6.0,N,-3
"Tuesday, Aug 1",BOS,@,SEA,W,6.0,4.0,N,1
"Wednesday, Aug 2",BOS,@,SEA,L,3.0,6.0,D,-1
"Friday, Aug 4",BOS,Home,TOR,L,3.0,7.0,N,-2
"Saturday, Aug 5",BOS,Home,TOR,L,4.0,5.0,D,-3
"Sunday, Aug 6",BOS,Home,TOR,L,1.0,13.0,D,-4
"Monday, Aug 7",BOS,Home,KCR,W-wo,6.0,2.0,N,1
"Tuesday, Aug 8",BOS,Home,KCR,L,3.0,9.0,N,-1
"Wednesday, Aug 9",BOS,Home,KCR,W,4.0,3.0,N,1
"Thursday, Aug 10",BOS,Home,KCR,W,2.0,0.0,N,2
"Friday, Aug 11",BOS,Home,DET,W,5.0,2.0,N,3
"Saturday, Aug 12",BOS,Home,DET,L,2.0,6.0,D,-1
"Sunday, Aug 13",BOS,Home,DET,W,6.0,3.0,D,1
"Tuesday, Aug 15",BOS,@,WSN,W,5.0,4.0,N,2
"Wednesday, Aug 16",BOS,@,WSN,L,2.0,6.0,N,-1
"Thursday, Aug 17",BOS,@,WSN,L,7.0,10.0,D,-2
"Friday, Aug 18",BOS,@,NYY,W,8.0,3.0,N,1
"Saturday, Aug 19",BOS,@,NYY,W,8.0,1.0,D,2
"Sunday, Aug 20",BOS,@,NYY,W,6.0,5.0,D,3
"Monday, Aug 21",BOS,@,HOU,L,4.0,9.0,N,-1
"Tuesday, Aug 22",BOS,@,HOU,L,3.0,7.0,N,-2
"Wednesday, Aug 23",BOS,@,HOU,W,7.0,5.0,N,1
"Thursday, Aug 24",BOS,@,HOU,W,17.0,1.0,D,2
"Friday, Aug 25",BOS,Home,LAD,L,4.0,7.0,N,-1
"Saturday, Aug 26",BOS,Home,LAD,W,8.0,5.0,D,1
"Sunday, Aug 27",BOS,Home,LAD,L,4.0,7.0,D,-1
"Monday, Aug 28",BOS,Home,HOU,L,5.0,13.0,N,-2
"Tuesday, Aug 29",BOS,Home,HOU,L,2.0,6.0,N,-3
"Wednesday, Aug 30",BOS,Home,HOU,L,4.0,7.0,D,-4
"Friday, Sep 1",BOS,@,KCR,L,2.0,13.0,N,-5
"Saturday, Sep 2",BOS,@,KCR,W,9.0,5.0,N,1
"Sunday, Sep 3",BOS,@,KCR,W,7.0,3.0,D,2
"Monday, Sep 4",BOS,@,TBR,W,7.0,3.0,D,3
"Tuesday, Sep 5",BOS,@,TBR,L-wo,6.0,8.0,N,-1
"Wednesday, Sep 6",BOS,@,TBR,L,1.0,3.0,N,-2
"Friday, Sep 8",BOS,Home,BAL,L,2.0,11.0,N,-3
"Saturday, Sep 9",BOS,Home,BAL,L,12.0,13.0,D,-4
"Sunday, Sep 10",BOS,Home,BAL,W,7.0,3.0,D,1
"Tuesday, Sep 12 (1)",BOS,Home,NYY,L,2.0,3.0,D,-1
"Tuesday, Sep 12 (2)",BOS,Home,NYY,L,1.0,4.0,N,-2
"Thursday, Sep 14 (1)",BOS,Home,NYY,W,5.0,0.0,D,1
"Thursday, Sep 14 (2)",BOS,Home,NYY,L,5.0,8.0,N,-1
"Friday, Sep 15",BOS,@,TOR,L,0.0,3.0,N,-2
"Saturday, Sep 16",BOS,@,TOR,L-wo,3.0,4.0,D,-3
"Sunday, Sep 17",BOS,@,TOR,L-wo,2.0,3.0,D,-4
"Monday, Sep 18",BOS,@,TEX,W,4.0,2.0,N,1
"Tuesday, Sep 19",BOS,@,TEX,L,4.0,6.0,N,-1
"Wednesday, Sep 20",BOS,@,TEX,L,5.0,15.0,D,-2
"Friday, Sep 22",BOS,Home,CHW,W,3.0,2.0,N,1
"Saturday, Sep 23",BOS,Home,CHW,L,0.0,1.0,D,-1
"Sunday, Sep 24",BOS,Home,CHW,L,2.0,3.0,D,-2
"Tuesday, Sep 26",BOS,Home,TBR,L,7.0,9.0,N,-3
"Wednesday, Sep 27",BOS,Home,TBR,L,0.0,5.0,N,-4
"Thursday, Sep 28",BOS,@,BAL,L,0.0,2.0,N,-5
"Friday, Sep 29",BOS,@,BAL,W,3.0,0.0,N,1
"Saturday, Sep 30",BOS,@,BAL,L,2.0,5.0,N,-1
"Sunday, Oct 1",BOS,@,BAL,W,6.0,1.0,D,1
"Monday, Apr 3",BAL,@,TEX,W,2.0,0.0,N,1
"Tuesday, Apr 4",BAL,@,TEX,W,7.0,2.0,N,2
"Wednesday, Apr 5",BAL,@,TEX,L,2.0,5.0,D,-1
"Friday, Apr 7",BAL,Home,NYY,W,7.0,6.0,D,1
"Saturday, Apr 8",BAL,Home,NYY,L,1.0,4.0,N,-1
"Sunday, Apr 9",BAL,Home,NYY,L,3.0,5.0,D,-2
"Monday, Apr 10",BAL,Home,OAK,W,5.0,1.0,N,1
"Tuesday, Apr 11",BAL,Home,OAK,W,12.0,8.0,N,2
"Wednesday, Apr 12",BAL,Home,OAK,L,4.0,8.0,N,-1
"Thursday, Apr 13",BAL,Home,OAK,W-wo,8.0,7.0,D,1
"Friday, Apr 14",BAL,@,CHW,W,6.0,3.0,N,2
"Saturday, Apr 15",BAL,@,CHW,L-wo,6.0,7.0,D,-1
"Sunday, Apr 16",BAL,@,CHW,W,8.0,4.0,D,1
"Tuesday, Apr 18",BAL,@,WSN,W,1.0,0.0,N,2
"Wednesday, Apr 19",BAL,@,WSN,W,4.0,0.0,N,3
"Friday, Apr 21",BAL,Home,DET,W-wo,2.0,1.0,N,4
"Saturday, Apr 22",BAL,Home,DET,W,5.0,1.0,N,5
"Sunday, Apr 23",BAL,Home,DET,W-wo,2.0,1.0,D,6
"Thursday, Apr 27",BAL,@,DET,W,7.0,4.0,N,2
"Saturday, Apr 29 (1)",BAL,@,DET,L,4.0,7.0,D,-1
"Saturday, Apr 29 (2)",BAL,@,DET,W,6.0,4.0,N,1
"Sunday, Apr 30",BAL,@,DET,W,5.0,3.0,D,2
"Tuesday, May 2",BAL,@,KCR,W,11.0,7.0,N,3
"Wednesday, May 3",BAL,@,KCR,L,0.0,6.0,N,-1
"Thursday, May 4",BAL,@,KCR,W,13.0,10.0,D,1
"Friday, May 5",BAL,@,ATL,W,9.0,4.0,N,2
"Saturday, May 6",BAL,@,ATL,L,4.0,5.0,N,-1
"Sunday, May 7",BAL,@,ATL,L-wo,2.0,3.0,D,-2
"Monday, May 8",BAL,Home,TBR,L,0.0,3.0,N,-3
"Tuesday, May 9",BAL,Home,TBR,W,4.0,2.0,N,1
"Wednesday, May 10",BAL,Home,TBR,W,2.0,1.0,N,2
"Friday, May 12",BAL,Home,PIT,W,6.0,3.0,N,3
"Saturday, May 13",BAL,Home,PIT,W,2.0,0.0,N,4
"Sunday, May 14",BAL,Home,PIT,L,0.0,4.0,D,-1
"Monday, May 15",BAL,Home,LAA,L,5.0,9.0,N,-2
"Tuesday, May 16",BAL,Home,LAA,W,7.0,3.0,N,1
"Wednesday, May 17",BAL,Home,LAA,W,3.0,1.0,N,2
"Thursday, May 18",BAL,Home,LAA,L,5.0,6.0,D,-1
"Friday, May 19",BAL,@,TOR,W,6.0,2.0,N,1
"Saturday, May 20",BAL,@,TOR,W,6.0,5.0,D,2
"Sunday, May 21",BAL,@,TOR,W,8.0,3.0,D,3
"Tuesday, May 23",BAL,@,NYY,L-wo,5.0,6.0,N,-1
"Wednesday, May 24",BAL,@,NYY,W,9.0,6.0,N,1
"Thursday, May 25",BAL,@,NYY,W,3.0,1.0,N,2
"Friday, May 26",BAL,Home,TEX,L,2.0,12.0,N,-1
"Saturday, May 27",BAL,Home,TEX,L,3.0,5.0,D,-2
"Sunday, May 28",BAL,Home,TEX,W,3.0,2.0,D,1
"Monday, May 29",BAL,Home,CLE,L,0.0,5.0,D,-1
"Tuesday, May 30",BAL,Home,CLE,W,8.0,5.0,N,1
"Wednesday, May 31",BAL,Home,CLE,L,8.0,12.0,D,-1
"Friday, Jun 2",BAL,@,SFG,W,3.0,2.0,N,1
"Saturday, Jun 3",BAL,@,SFG,L,0.0,4.0,N,-1
"Sunday, Jun 4",BAL,@,SFG,W,8.0,3.0,D,1
"Tuesday, Jun 6",BAL,@,MIL,L-wo,3.0,4.0,N,-1
"Wednesday, Jun 7",BAL,@,MIL,L,2.0,10.0,N,-2
"Thursday, Jun 8",BAL,@,MIL,W,6.0,3.0,D,1
"Friday, Jun 9",BAL,Home,KCR,W,3.0,2.0,N,2
"Saturday, Jun 10",BAL,Home,KCR,W,6.0,1.0,D,3
"Sunday, Jun 11",BAL,Home,KCR,W,11.0,3.0,D,4
"Tuesday, Jun 13",BAL,Home,TOR,W,11.0,6.0,N,5
"Wednesday, Jun 14",BAL,Home,TOR,L,1.0,3.0,N,-1
"Thursday, Jun 15",BAL,Home,TOR,W,4.0,2.0,D,1
"Friday, Jun 16",BAL,@,CHC,L,3.0,10.0,D,-1
"Saturday, Jun 17",BAL,@,CHC,L,2.0,3.0,D,-2
"Sunday, Jun 18",BAL,@,CHC,W,6.0,3.0,D,1
"Tuesday, Jun 20",BAL,@,TBR,W,8.0,6.0,N,2
"Wednesday, Jun 21",BAL,@,TBR,L,2.0,7.0,D,-1
"Friday, Jun 23",BAL,Home,SEA,L,1.0,13.0,N,-2
"Saturday, Jun 24",BAL,Home,SEA,W-wo,6.0,4.0,D,1
"Sunday, Jun 25",BAL,Home,SEA,W,3.0,2.0,D,2
"Monday, Jun 26",BAL,Home,CIN,W,10.0,3.0,N,3
"Tuesday, Jun 27",BAL,Home,CIN,L,1.0,3.0,N,-1
"Wednesday, Jun 28",BAL,Home,CIN,L,7.0,11.0,N,-2
"Friday, Jun 30",BAL,Home,MIN,L,1.0,8.0,N,-3
"Saturday, Jul 1",BAL,Home,MIN,L,0.0,1.0,D,-4
"Sunday, Jul 2",BAL,Home,MIN,W,2.0,1.0,D,1
"Monday, Jul 3",BAL,@,NYY,L,3.0,6.0,N,-1
