Date,Tm,Home_Away,Opp,W/L,R,RA,D/N,Streak
"Friday, Apr 2",BOS,Home,BAL,L,0.0,3.0,D,-1
"Saturday, Apr 3",BOS,Home,BAL,L,2.0,4.0,D,-2
"Sunday, Apr 4",BOS,Home,BAL,L,3.0,11.0,D,-3
"Monday, Apr 5",BOS,Home,TBR,W,11.0,2.0,N,1
"Tuesday, Apr 6",BOS,Home,TBR,W-wo,6.0,5.0,N,2
"Wednesday, Apr 7",BOS,Home,TBR,W,9.0,2.0,D,3
"Thursday, Apr 8",BOS,@,BAL,W,7.0,3.0,D,4
"Saturday, Apr 10",BOS,@,BAL,W,6.0,4.0,N,5
"Sunday, Apr 11",BOS,@,BAL,W,14.0,9.0,D,6
"Tuesday, Apr 13",BOS,@,MIN,W,4.0,2.0,D,7
"Wednesday, Apr 14 (1)",BOS,@,MIN,W,3.0,2.0,D,8
"Wednesday, Apr 14 (2)",BOS,@,MIN,W,7.0,1.0,N,9
"Thursday, Apr 15",BOS,@,MIN,L-wo,3.0,4.0,D,-1
"Saturday, Apr 17",BOS,Home,CHW,W,7.0,4.0,D,1
"Sunday, Apr 18 (1)",BOS,Home,CHW,L,2.0,3.0,D,-1
"Sunday, Apr 18 (2)",BOS,Home,CHW,L,1.0,5.0,N,-2
"Monday, Apr 19",BOS,Home,CHW,W,11.0,4.0,D,1
"Tuesday, Apr 20",BOS,Home,TOR,W,4.0,2.0,N,2
"Wednesday, Apr 21",BOS,Home,TOR,L,3.0,6.0,N,-1
"Thursday, Apr 22",BOS,Home,SEA,L,3.0,7.0,N,-2
"Friday, Apr 23",BOS,Home,SEA,W,6.0,5.0,N,1
"Saturday, Apr 24",BOS,Home,SEA,L,2.0,8.0,D,-1
"Sunday, Apr 25",BOS,Home,SEA,W,5.0,3.0,D,1
"Tuesday, Apr 27",BOS,@,NYM,W,2.0,1.0,N,2
"Wednesday, Apr 28",BOS,@,NYM,W,1.0,0.0,N,3
"Thursday, Apr 29",BOS,@,TEX,L,1.0,4.0,N,-1
"Friday, Apr 30",BOS,@,TEX,W,6.0,1.0,N,1
"Saturday, May 1",BOS,@,TEX,L,6.0,8.0,N,-1
"Sunday, May 2",BOS,@,TEX,L,3.0,5.0,D,-2
"Tuesday, May 4",BOS,Home,DET,W,11.0,7.0,N,1
"Wednesday, May 5",BOS,Home,DET,L,5.0,6.0,N,-1
"Thursday, May 6",BOS,Home,DET,W,12.0,9.0,D,1
"Friday, May 7",BOS,@,BAL,W,6.0,2.0,N,2
"Saturday, May 8",BOS,@,BAL,W,11.0,6.0,N,3
"Sunday, May 9",BOS,@,BAL,W,4.0,3.0,D,4
"Monday, May 10",BOS,@,BAL,L,1.0,4.0,N,-1
"Tuesday, May 11",BOS,Home,OAK,L,2.0,3.0,N,-2
"Wednesday, May 12",BOS,Home,OAK,L,1.0,4.0,N,-3
"Thursday, May 13",BOS,Home,OAK,W,8.0,1.0,N,1
"Friday, May 14",BOS,Home,LAA,W,4.0,3.0,N,2
"Saturday, May 15",BOS,Home,LAA,W,9.0,0.0,D,3
"Sunday, May 16",BOS,Home,LAA,L,5.0,6.0,D,-1
"Tuesday, May 18",BOS,@,TOR,L,0.0,8.0,N,-2
"Wednesday, May 19",BOS,@,TOR,W,7.0,3.0,N,1
"Thursday, May 20",BOS,@,TOR,W,8.0,7.0,N,2
"Friday, May 21",BOS,@,PHI,W,11.0,3.0,N,3
"Saturday, May 22",BOS,@,PHI,W,4.0,3.0,N,4
"Sunday, May 23",BOS,@,PHI,L,2.0,6.0,D,-1
"Tuesday, May 25",BOS,Home,ATL,L,1.0,3.0,N,-2
"Wednesday, May 26",BOS,Home,ATL,W,9.0,5.0,N,1
"Friday, May 28",BOS,Home,MIA,W,5.0,2.0,N,2
"Saturday, May 29",BOS,Home,MIA,W,3.0,1.0,D,3
"Monday, May 31",BOS,@,HOU,L,2.0,11.0,D,-1
"Tuesday, Jun 1",BOS,@,HOU,L,1.0,5.0,N,-2
"Wednesday, Jun 2",BOS,@,HOU,L,1.0,2.0,N,-3
"Thursday, Jun 3",BOS,@,HOU,W,5.0,1.0,D,1
"Friday, Jun 4",BOS,@,NYY,W,5.0,2.0,N,2
"Saturday, Jun 5",BOS,@,NYY,W,7.0,3.0,N,3
"Sunday, Jun 6",BOS,@,NYY,W,6.0,5.0,N,4
"Monday, Jun 7",BOS,Home,MIA,W,5.0,3.0,N,5
"Tuesday, Jun 8",BOS,Home,HOU,L,1.0,7.0,N,-1
"Wednesday, Jun 9",BOS,Home,HOU,L,3.0,8.0,N,-2
"Thursday, Jun 10",BOS,Home,HOU,W,12.0,8.0,N,1
"Friday, Jun 11",BOS,Home,TOR,W-wo,6.0,5.0,N,2
"Saturday, Jun 12",BOS,Home,TOR,L,2.0,7.0,D,-1
"Sunday, Jun 13",BOS,Home,TOR,L,4.0,18.0,D,-2
"Monday, Jun 14",BOS,Home,TOR,W-wo,2.0,1.0,N,1
"Tuesday, Jun 15",BOS,@,ATL,W,10.0,8.0,N,2
"Wednesday, Jun 16",BOS,@,ATL,W,10.0,8.0,N,3
"Friday, Jun 18",BOS,@,KCR,L,3.0,5.0,N,-1
"Saturday, Jun 19",BOS,@,KCR,W,7.0,1.0,D,1
"Sunday, Jun 20",BOS,@,KCR,L,3.0,7.0,D,-1
"Tuesday, Jun 22",BOS,@,TBR,W,9.0,5.0,N,1
"Wednesday, Jun 23",BOS,@,TBR,L,2.0,8.0,N,-1
"Thursday, Jun 24",BOS,@,TBR,L-wo,0.0,1.0,N,-2
"Friday, Jun 25",BOS,Home,NYY,W,5.0,3.0,N,1
"Saturday, Jun 26",BOS,Home,NYY,W,4.0,2.0,N,2
"Sunday, Jun 27",BOS,Home,NYY,W,9.0,2.0,D,3
"Monday, Jun 28",BOS,Home,KCR,W,6.0,5.0,N,4
"Tuesday, Jun 29",BOS,Home,KCR,W,7.0,6.0,N,5
"Wednesday, Jun 30",BOS,Home,KCR,W,6.0,2.0,N,6
"Thursday, Jul 1",BOS,Home,KCR,W,15.0,1.0,D,7
"Friday, Jul 2",BOS,@,OAK,W,3.0,2.0,N,8
"Saturday, Jul 3",BOS,@,OAK,L-wo,6.0,7.0,D,-1
"Sunday, Jul 4",BOS,@,OAK,W,1.0,0.0,D,1
