Date,Tm,Home_Away,Opp,W/L,R,RA,D/N,Streak
"Friday, Apr 8",BOS,@,NYY,L-wo,5.0,6.0,D,-1
"Saturday, Apr 9",BOS,@,NYY,L,2.0,4.0,D,-2
"Sunday, Apr 10",BOS,@,NYY,W,4.0,3.0,N,1
"Monday, Apr 11",BOS,@,DET,L,1.0,3.0,N,-1
"Tuesday, Apr 12",BOS,@,DET,W,5.0,3.0,D,1
"Wednesday, Apr 13",BOS,@,DET,W,9.0,7.0,D,2
"Friday, Apr 15",BOS,Home,MIN,L,4.0,8.0,D,-1
"Saturday, Apr 16",BOS,Home,MIN,W,4.0,0.0,D,1
"Sunday, Apr 17",BOS,Home,MIN,W,8.0,1.0,D,2
"Monday, Apr 18",BOS,Home,MIN,L,3.0,8.0,D,-1
"Tuesday, Apr 19",BOS,Home,TOR,W,2.0,1.0,N,1
"Wednesday, Apr 20",BOS,Home,TOR,L,1.0,6.0,N,-1
"Thursday, Apr 21",BOS,Home,TOR,L,2.0,3.0,D,-2
"Friday, Apr 22",BOS,@,TBR,W,4.0,3.0,N,1
"Saturday, Apr 23",BOS,@,TBR,L-wo,2.0,3.0,N,-1
"Sunday, Apr 24",BOS,@,TBR,L,2.0,5.0,D,-2
"Monday, Apr 25",BOS,@,TOR,L,2.0,6.0,N,-3
"Tuesday, Apr 26",BOS,@,TOR,L-wo,5.0,6.0,N,-4
"Wednesday, Apr 27",BOS,@,TOR,W,7.0,1.0,N,1
"Thursday, Apr 28",BOS,@,TOR,L,0.0,1.0,D,-1
"Friday, Apr 29",BOS,@,BAL,W,3.0,1.0,N,1
"Saturday, Apr 30",BOS,@,BAL,L-wo,1.0,2.0,N,-1
"Sunday, May 1",BOS,@,BAL,L,5.0,9.0,D,-2
"Tuesday, May 3",BOS,Home,LAA,W,4.0,0.0,N,1
"Wednesday, May 4",BOS,Home,LAA,L,5.0,10.0,N,-1
"Thursday, May 5",BOS,Home,LAA,L,0.0,8.0,D,-2
"Friday, May 6",BOS,Home,CHW,L,2.0,4.0,N,-3
"Saturday, May 7",BOS,Home,CHW,L,1.0,3.0,D,-4
"Sunday, May 8",BOS,Home,CHW,L,2.0,3.0,D,-5
"Tuesday, May 10",BOS,@,ATL,W,9.0,4.0,N,1
"Wednesday, May 11",BOS,@,ATL,L-wo,3.0,5.0,N,-1
"Friday, May 13",BOS,@,TEX,W,7.0,1.0,N,1
"Saturday, May 14",BOS,@,TEX,W,11.0,3.0,N,2
"Sunday, May 15",BOS,@,TEX,L,1.0,7.0,D,-1
"Monday, May 16",BOS,Home,HOU,W,6.0,3.0,N,1
"Tuesday, May 17",BOS,Home,HOU,L,4.0,13.0,N,-1
"Wednesday, May 18",BOS,Home,HOU,W,5.0,1.0,N,1
"Thursday, May 19",BOS,Home,SEA,W,12.0,6.0,N,2
"Friday, May 20",BOS,Home,SEA,W,7.0,3.0,N,3
"Saturday, May 21",BOS,Home,SEA,W,6.0,5.0,D,4
"Sunday, May 22",BOS,Home,SEA,W-wo,8.0,4.0,D,5
"Tuesday, May 24",BOS,@,CHW,W,16.0,3.0,N,6
"Wednesday, May 25",BOS,@,CHW,L,1.0,3.0,N,-1
"Thursday, May 26",BOS,@,CHW,W,16.0,7.0,N,1
"Friday, May 27",BOS,Home,BAL,L,8.0,12.0,N,-1
"Saturday, May 28 (1)",BOS,Home,BAL,W,5.0,3.0,D,1
"Saturday, May 28 (2)",BOS,Home,BAL,L,2.0,4.0,N,-1
"Sunday, May 29",BOS,Home,BAL,W,12.0,2.0,D,1
"Monday, May 30",BOS,Home,BAL,L,0.0,10.0,N,-1
"Tuesday, May 31",BOS,Home,CIN,L,1.0,2.0,N,-2
"Wednesday, Jun 1",BOS,Home,CIN,W,7.0,1.0,N,1
"Friday, Jun 3",BOS,@,OAK,W,7.0,2.0,N,2
"Saturday, Jun 4",BOS,@,OAK,W,8.0,0.0,D,3
"Sunday, Jun 5",BOS,@,OAK,W,5.0,2.0,D,4
"Monday, Jun 6",BOS,@,LAA,W,1.0,0.0,N,5
"Tuesday, Jun 7",BOS,@,LAA,W,6.0,5.0,N,6
"Wednesday, Jun 8",BOS,@,LAA,W,1.0,0.0,N,7
"Thursday, Jun 9",BOS,@,LAA,L,2.0,5.0,N,-1
"Friday, Jun 10",BOS,@,SEA,W,4.0,3.0,N,1
"Saturday, Jun 11",BOS,@,SEA,L-wo,6.0,7.0,N,-1
"Sunday, Jun 12",BOS,@,SEA,W,2.0,0.0,D,1
"Tuesday, Jun 14",BOS,Home,OAK,W,6.0,1.0,N,2
"Wednesday, Jun 15",BOS,Home,OAK,W,10.0,1.0,N,3
"Thursday, Jun 16",BOS,Home,OAK,L,3.0,4.0,D,-1
"Friday, Jun 17",BOS,Home,STL,W,6.0,5.0,N,1
"Saturday, Jun 18",BOS,Home,STL,L,2.0,11.0,N,-1
"Sunday, Jun 19",BOS,Home,STL,W,6.0,4.0,D,1
"Monday, Jun 20",BOS,Home,DET,W,5.0,2.0,N,2
"Tuesday, Jun 21",BOS,Home,DET,W,5.0,4.0,N,3
"Wednesday, Jun 22",BOS,Home,DET,W,6.0,2.0,N,4
"Friday, Jun 24",BOS,@,CLE,W,6.0,3.0,N,5
"Saturday, Jun 25",BOS,@,CLE,W,4.0,2.0,N,6
"Sunday, Jun 26",BOS,@,CLE,W,8.0,3.0,D,7
