feature,perm_importance,perm_std,xgb_importance
home_top6_total_plusminus,0.05063705455847095,0.004065553750664897,0.06398522
away_top6_total_plusminus,0.029292618565021068,0.0021635838475417175,0.05826198
plus_minus_diff,0.017387202450876903,0.002656218811303448,0.15864299
home_top5_avg_apg,0.0023274691837356755,0.00024999641526998506,0.01871211
is_back_to_back_home,0.0020375414419520734,0.0006749162573781188,0.022268772
away_rest_days,0.0016573628295169173,0.0006083612180285709,0.025159163
home_depth_variance,0.0015816965615070623,0.0006291780952961104,0.022549093
home_fg_pct_l10,0.0011637594802682782,0.0002719255926915542,0.019360432
away_top5_avg_mpg,0.0009849612117044937,0.00017220082413116312,0.01737644
away_top3_avg_apg,0.0009737227162293083,0.00048818163956428035,0.021575583
away_top6_avg_tov,0.0008912591495290334,0.00040380961556026377,0.018915888
away_top3_avg_tov,0.0008644018001061071,0.0003104435029283457,0.017651126
away_top5_avg_apg,0.0007713523670970224,0.00042718872730521286,0.021711739
away_top6_avg_rpg,0.0007272833060998907,0.00016054622733869278,0.016757594
away_depth_variance,0.0006876941571769656,0.0007873801508922085,0.023193233
home_top6_avg_stl,0.0005239893207745428,0.0003333264840135383,0.018084776
away_plus_minus_l10,0.0005058484422516219,0.00024336463333531232,0.024103861
away_top3_avg_stl,0.00045856601222339367,0.00028138324503144854,0.018056342
home_top3_avg_rpg,0.0004265097524920325,0.0003274934894894464,0.018437168
home_top3_avg_apg,0.00040424846101193567,0.0002608202488502981,0.017827015
home_top5_avg_rpg,0.0003759918304101939,0.00017069978899727142,0.017285243
away_top5_avg_blk,0.0003458049660876039,0.0002750051910396561,0.017808953
tov_l10_diff,0.0002678323729729204,0.0001508623117908289,0.018807767
home_top6_avg_rpg,0.0002545917439534473,0.0001124645367943036,0.017603597
home_top5_avg_stl,0.0002474902537024204,0.00017482473258293333,0.01788172
is_back_to_back_away,0.00023888439791529547,0.00016792437597668123,0.023970464
blk_l10_diff,0.00021656226812306613,0.00016361396760111428,0.017694259
home_top5_avg_blk,0.00019107654610059921,0.0003658423731801676,0.019824337
away_top6_avg_stl,0.00014483389813406687,0.00013885148164749132,0.017174574
home_tov_l10,0.0001420685203105121,0.00015470830553784883,0.017486636
away_wins_l10,0.00012439222526192673,9.003621895766399e-05,0.025123633
away_top3_avg_blk,0.00011839688614031507,0.00021977968820700812,0.018467171
opp_ppg_diff,0.00010051042237716468,0.00018861933250753727,0.02115971
away_stl_l10,6.661242101526632e-05,0.00020567506990529404,0.016628597
home_apg_l10,4.738198362983503e-05,0.00010972867846021923,0.016803721
stl_l10_diff,2.3749064749212234e-05,0.00016172881515931872,0.01745503
away_top5_avg_stl,1.6559082407829884e-05,0.00012767609003707742,0.017698254
home_top5_avg_ppg,-0.00015607792436491685,0.0003395391901676287,0.018786523
home_opp_avg_win_pct_l10,-0.00022859166165580813,0.0003466899775616753,0.016797816
home_opp_ppg_l10,-0.0009965481447854474,0.0007147649968458501,0.022911523
