feature,perm_importance,perm_std,xgb_importance
home_total_l10,1.4409838676452638,0.049619152300682354,0.26957715
away_total_l10,0.9069518089294434,0.040487437000298644,0.1589654
away_ppg_l10,0.19970922470092772,0.015627134987101866,0.046728443
home_ppg_l10,0.15486526489257812,0.01781657450891458,0.072495185
home_opp_ppg_l10,0.15406904220581055,0.0180385976278766,0.052232068
away_opp_ppg_l10,0.1054006576538086,0.02040034671571033,0.036732424
away_reb_l10,0.02657909393310547,0.006285788653985307,0.011435248
away_apg_l10,0.025527477264404297,0.0063468624448811,0.012544136
home_apg_l10,0.023402595520019533,0.011534114421114983,0.012409641
home_reb_l10,0.02270030975341797,0.006451354180443868,0.012101258
home_top3_avg_tov,0.021588134765625,0.005123090651481815,0.011396663
home_top6_avg_ppg,0.018616867065429688,0.008694479929071911,0.015985169
home_fg_pct_l10,0.017959213256835936,0.0060191331713703436,0.011397799
away_top6_avg_mpg,0.016729736328125,0.0030811586989194745,0.011848659
home_fg3_pct_l10,0.0161651611328125,0.006128561520560199,0.011196339
away_top6_avg_tov,0.014945793151855468,0.012234518112562738,0.011798778
away_depth_variance,0.014352989196777344,0.005358036667372176,0.010985945
home_top6_avg_blk,0.013994503021240234,0.012001485067869144,0.011169426
home_top5_avg_rpg,0.013671207427978515,0.0040102649563339195,0.01097462
home_top3_avg_rpg,0.013475513458251953,0.00514225834976222,0.010901959
away_top5_avg_ppg,0.01305999755859375,0.0036575820674306053,0.01157609
home_top6_total_plusminus,0.012260627746582032,0.004696765817645073,0.0111058485
home_depth_variance,0.01089649200439453,0.0052372908182821195,0.010586232
away_fg3_pct_l10,0.010607528686523437,0.005473934393990725,0.010946262
away_top5_avg_apg,0.010178756713867188,0.005045393106518197,0.011063229
home_top5_avg_ppg,0.009686279296875,0.003933323205409142,0.012811641
home_top5_avg_apg,0.009573268890380859,0.00578181630791636,0.011592208
away_top5_avg_mpg,0.009438514709472656,0.0032531366952258385,0.011775121
opp_ppg_diff,0.008694934844970702,0.004388833844763506,0.016670803
away_top3_avg_ppg,0.008592700958251953,0.006899814730251104,0.011496573
home_top5_avg_mpg,0.008519649505615234,0.007367015828414802,0.012731726
home_rest_days,0.0074328422546386715,0.0017000882416278351,0.011701035
away_top6_total_plusminus,0.004545879364013672,0.006331774296747826,0.012215377
away_top6_avg_ppg,0.0033050537109375,0.0049367067229492325,0.011592864
away_top6_avg_rpg,0.0032926559448242187,0.0050567526664703506,0.010239242
is_back_to_back_home,-0.0003863334655761719,0.0002878900778710981,0.009024625
home_wins_l10,-0.0016812324523925782,0.002088307556407412,0.009994815
