game_id,date,matchup,bet_team,bet_side,home_model_prob,home_odds,away_model_prob,away_odds,market_prob,edge,confidence,bet_size_fraction,bet_amount,potential_profit,book,type,result,reason,timestamp
2025020641,2026-01-02 00:00:00,NYR @ FLA,NYR,away,0.5207602381706238,-145,0.4792397618293762,120,0.4545454545454545,0.0246943072839216,0.0415204763412475,0.0090545793374379,1,1.2,betmgm,h2h,W,"Probability: 47.9%, Edge: 2.5%, Confidence: 4.2%",2026-01-02 11:08:17.957470
2025020642,2026-01-02 00:00:00,SEA @ VAN,SEA,away,0.5001769661903381,-145,0.4998230338096618,120,0.4545454545454545,0.0452775792642073,0.0003539323806762,0.0166017790635426,1,1.2,betmgm,h2h,W,"Probability: 50.0%, Edge: 4.5%, Confidence: 0.0%",2026-01-02 11:08:17.957470
2025020651,2026-01-03 00:00:00,TOR @ NYI,TOR,away,0.4230578541755676,-105,0.5769421458244324,-115,0.5348837209302325,0.0420584248941998,0.1538842916488647,0.0180851227045059,1,0.8695652173913043,betmgm,h2h,L,"Probability: 57.7%, Edge: 4.2%, Confidence: 15.4%",2026-01-03 16:03:18.806441
2025020661,2026-01-04 00:00:00,VGK @ CHI,CHI,home,0.4207042455673218,220,0.5792957544326782,-275,0.3125,0.1082042455673217,0.1585915088653564,0.009443279613148,1,2.2,betmgm,h2h,W,"Probability: 42.1% (raw: 42.1%), Edge: 10.8%, Confidence: 15.9%",2026-01-04 13:45:54.156468
2025020663,2026-01-05 00:00:00,ANA @ WSH,ANA,away,0.4846034646034241,-135,0.5153965353965759,110,0.4761904761904761,0.0392060592060997,0.0307930707931518,0.014969586242329,1,1.1,betmgm,h2h,L,"Probability: 51.5%, Edge: 3.9%, Confidence: 3.1%",2026-01-05 13:35:24.515453
2025020672,2026-01-06 00:00:00,FLA @ TOR,FLA,away,0.4258388876914978,-102,0.5741611123085022,-118,0.5412844036697247,0.03287670863877745,0.1483222246170044,0.014334244966506933,1,0.847457627118644,betmgm,h2h,,"Probability: 57.4%, Edge: 3.3%, Confidence: 14.8%",2026-01-06 14:11:25.465433
2025020675,2026-01-06 00:00:00,CBJ @ SJS,CBJ,away,0.4083481431007385,110,0.5916518568992615,-130,0.5652173913043478,0.026434465594913692,0.18330371379852295,0.012159854173660266,1,0.7692307692307693,betmgm,h2h,,"Probability: 59.2%, Edge: 2.6%, Confidence: 18.3%",2026-01-06 14:11:25.465433
2025020674,2026-01-06 00:00:00,NSH @ EDM,NSH,away,0.4879777133464813,-150,0.5120222568511963,125,0.4444444444444444,0.06757781240675187,0.024044573307037354,0.024328012466430668,2,2.5,betmgm,h2h,,"Probability: 51.2%, Edge: 6.8%, Confidence: 2.4%",2026-01-06 14:11:25.465433
2025020670,2026-01-06 00:00:00,ANA @ PHI,ANA,away,0.5281584858894348,-155,0.4718415141105652,125,0.4444444444444444,0.027397069666120766,0.05631697177886963,0.009862945079803467,1,1.25,betmgm,h2h,,"Probability: 47.2%, Edge: 2.7%, Confidence: 5.6%",2026-01-06 14:11:25.465433
2025020671,2026-01-06 00:00:00,DAL @ CAR,DAL,away,0.5139604210853577,-145,0.48603957891464233,118,0.45871559633027525,0.02732398258436708,0.027920842170715332,0.010095980005749194,1,1.18,betmgm,h2h,,"Probability: 48.6%, Edge: 2.7%, Confidence: 2.8%",2026-01-06 14:11:25.465433
