commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price,point
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betmgm,spreads,2025-12-30 14:02:28-08:00,FLA,180,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betmgm,spreads,2025-12-30 14:02:28-08:00,Montréal Canadiens,-220,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betonlineag,spreads,2025-12-30 14:03:57-08:00,FLA,186,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betonlineag,spreads,2025-12-30 14:03:57-08:00,Montréal Canadiens,-220,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betrivers,spreads,2025-12-30 14:03:20-08:00,FLA,185,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betrivers,spreads,2025-12-30 14:03:20-08:00,Montréal Canadiens,-240,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betus,spreads,2025-12-30 14:03:18-08:00,FLA,188,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,betus,spreads,2025-12-30 14:03:18-08:00,Montréal Canadiens,-220,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,bovada,spreads,2025-12-30 14:03:19-08:00,FLA,180,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,bovada,spreads,2025-12-30 14:03:19-08:00,Montréal Canadiens,-220,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,draftkings,spreads,2025-12-30 14:03:31-08:00,FLA,180,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,draftkings,spreads,2025-12-30 14:03:31-08:00,Montréal Canadiens,-218,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,fanduel,spreads,2025-12-30 14:03:57-08:00,FLA,180,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,fanduel,spreads,2025-12-30 14:03:57-08:00,Montréal Canadiens,-225,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,lowvig,spreads,2025-12-30 14:03:17-08:00,FLA,186,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,lowvig,spreads,2025-12-30 14:03:17-08:00,Montréal Canadiens,-220,1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,mybookieag,spreads,2025-12-30 14:02:40-08:00,FLA,178,-1.5
2025-12-30 16:10:00-08:00,FLA,Montréal Canadiens,mybookieag,spreads,2025-12-30 14:02:40-08:00,Montréal Canadiens,-222,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betmgm,spreads,2025-12-30 14:02:28-08:00,CAR,180,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betmgm,spreads,2025-12-30 14:02:28-08:00,PIT,-220,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betonlineag,spreads,2025-12-30 14:03:57-08:00,CAR,194,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betonlineag,spreads,2025-12-30 14:03:57-08:00,PIT,-233,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betrivers,spreads,2025-12-30 14:03:20-08:00,CAR,180,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betrivers,spreads,2025-12-30 14:03:20-08:00,PIT,-235,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betus,spreads,2025-12-30 14:03:18-08:00,CAR,200,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,betus,spreads,2025-12-30 14:03:18-08:00,PIT,-235,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,bovada,spreads,2025-12-30 14:03:19-08:00,CAR,185,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,bovada,spreads,2025-12-30 14:03:19-08:00,PIT,-225,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,draftkings,spreads,2025-12-30 14:03:31-08:00,CAR,190,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,draftkings,spreads,2025-12-30 14:03:31-08:00,PIT,-230,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,fanduel,spreads,2025-12-30 14:03:57-08:00,CAR,180,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,fanduel,spreads,2025-12-30 14:03:57-08:00,PIT,-225,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,lowvig,spreads,2025-12-30 14:03:17-08:00,CAR,194,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,lowvig,spreads,2025-12-30 14:03:17-08:00,PIT,-233,1.5
2025-12-30 16:10:00-08:00,PIT,CAR,mybookieag,spreads,2025-12-30 14:02:41-08:00,CAR,185,-1.5
2025-12-30 16:10:00-08:00,PIT,CAR,mybookieag,spreads,2025-12-30 14:02:41-08:00,PIT,-232,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betmgm,spreads,2025-12-30 14:02:28-08:00,NJD,180,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betmgm,spreads,2025-12-30 14:02:28-08:00,TOR,-220,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betonlineag,spreads,2025-12-30 14:03:57-08:00,NJD,186,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betonlineag,spreads,2025-12-30 14:03:57-08:00,TOR,-220,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betrivers,spreads,2025-12-30 14:03:20-08:00,NJD,175,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betrivers,spreads,2025-12-30 14:03:20-08:00,TOR,-225,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betus,spreads,2025-12-30 14:03:18-08:00,NJD,188,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,betus,spreads,2025-12-30 14:03:18-08:00,TOR,-220,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,bovada,spreads,2025-12-30 14:03:19-08:00,NJD,195,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,bovada,spreads,2025-12-30 14:03:19-08:00,TOR,-235,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,draftkings,spreads,2025-12-30 14:03:31-08:00,NJD,195,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,draftkings,spreads,2025-12-30 14:03:31-08:00,TOR,-238,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,fanduel,spreads,2025-12-30 14:03:57-08:00,NJD,180,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,fanduel,spreads,2025-12-30 14:03:57-08:00,TOR,-225,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,lowvig,spreads,2025-12-30 14:03:17-08:00,NJD,186,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,lowvig,spreads,2025-12-30 14:03:17-08:00,TOR,-220,1.5
2025-12-30 16:10:00-08:00,TOR,NJD,mybookieag,spreads,2025-12-30 14:02:41-08:00,NJD,189,-1.5
2025-12-30 16:10:00-08:00,TOR,NJD,mybookieag,spreads,2025-12-30 14:02:41-08:00,TOR,-238,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betmgm,spreads,2025-12-30 14:02:28-08:00,CHI,-220,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betmgm,spreads,2025-12-30 14:02:28-08:00,NYI,180,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betonlineag,spreads,2025-12-30 14:03:57-08:00,CHI,-215,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betonlineag,spreads,2025-12-30 14:03:57-08:00,NYI,183,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betrivers,spreads,2025-12-30 14:03:20-08:00,CHI,-220,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betrivers,spreads,2025-12-30 14:03:20-08:00,NYI,175,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betus,spreads,2025-12-30 14:03:18-08:00,CHI,-215,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,betus,spreads,2025-12-30 14:03:18-08:00,NYI,184,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,bovada,spreads,2025-12-30 14:03:19-08:00,CHI,-215,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,bovada,spreads,2025-12-30 14:03:19-08:00,NYI,178,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,draftkings,spreads,2025-12-30 14:03:31-08:00,CHI,-218,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,draftkings,spreads,2025-12-30 14:03:31-08:00,NYI,180,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,fanduel,spreads,2025-12-30 14:03:57-08:00,CHI,-220,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,fanduel,spreads,2025-12-30 14:03:57-08:00,NYI,176,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,lowvig,spreads,2025-12-30 14:03:17-08:00,CHI,-215,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,lowvig,spreads,2025-12-30 14:03:17-08:00,NYI,183,-1.5
2025-12-30 17:40:00-08:00,CHI,NYI,mybookieag,spreads,2025-12-30 14:02:41-08:00,CHI,-220,1.5
2025-12-30 17:40:00-08:00,CHI,NYI,mybookieag,spreads,2025-12-30 14:02:41-08:00,NYI,176,-1.5
2025-12-30 19:10:00-08:00,VAN,PHI,betmgm,spreads,2025-12-30 14:02:28-08:00,PHI,190,-1.5
2025-12-30 19:10:00-08:00,VAN,PHI,betmgm,spreads,2025-12-30 14:02:28-08:00,VAN,-235,1.5
