commence_time,home_team,away_team,bookmakers_key,name,price_1,price_2,price_3,price_4,price_5
2025-09-27 13:05:00-07:00,WSN,CHW,draftkings,CHW,-101,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,draftkings,WSN,-121,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,fanduel,CHW,102,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,fanduel,WSN,-120,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,lowvig,CHW,103,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,lowvig,WSN,-113,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,mybookieag,CHW,101,,,,
2025-09-27 13:05:00-07:00,WSN,CHW,mybookieag,WSN,-119,,,,
2025-09-27 13:06:00-07:00,SFG,COL,betmgm,COL,185,185.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betmgm,SFG,-225,-225.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betonlineag,COL,195,201.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betonlineag,SFG,-218,-225.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betrivers,COL,210,220.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betrivers,SFG,-265,-278.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betus,COL,189,194.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,betus,SFG,-218,-225.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,bovada,COL,200,190.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,bovada,SFG,-245,-230.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,draftkings,COL,192,192.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,draftkings,SFG,-240,-240.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,fanduel,COL,198,198.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,fanduel,SFG,-240,-240.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,lowvig,COL,195,201.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,lowvig,SFG,-218,-225.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,mybookieag,COL,196,196.0,,,
2025-09-27 13:06:00-07:00,SFG,COL,mybookieag,SFG,-238,-238.0,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betmgm,CHW,-102,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betmgm,WSN,-118,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betonlineag,CHW,106,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betonlineag,WSN,-117,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betrivers,CHW,100,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betrivers,WSN,-121,,,,
