game_id,date,season,home_team,away_team,home_score,away_score,total_score,goal_diff,home_won,home_rest_days,away_rest_days,rest_days_diff,is_back_to_back_home,is_back_to_back_away,home_streak,away_streak,streak_diff,home_wins_l10,away_wins_l10,home_goals_l10,away_goals_l10,goals_diff_l10,home_goals_against_l10,away_goals_against_l10,goals_against_diff_l10,home_total_goals_l10,away_total_goals_l10,home_shots_l10,away_shots_l10,home_shots_against_l10,away_shots_against_l10,home_shooting_pct_l10,away_shooting_pct_l10,home_save_pct_l10,away_save_pct_l10,home_pp_goals_l10,away_pp_goals_l10,home_pp_goals_against_l10,away_pp_goals_against_l10,home_hits_l10,away_hits_l10,home_pim_l10,away_pim_l10,home_blocked_shots_l10,away_blocked_shots_l10,home_takeaways_l10,away_takeaways_l10,home_giveaways_l10,away_giveaways_l10,home_home_wins_l10,away_away_wins_l10,home_home_games_l10,away_home_games_l10,home_goals_std_l10,away_goals_std_l10,home_goals_against_std_l10,away_goals_against_std_l10,home_goals_trend_l10,away_goals_trend_l10,home_goals_against_trend_l10,away_goals_against_trend_l10,home_top3_avg_goals,away_top3_avg_goals,home_top6_avg_goals,away_top6_avg_goals,home_top3_avg_assists,away_top3_avg_assists,home_top6_avg_assists,away_top6_avg_assists,home_top3_avg_points,away_top3_avg_points,home_top6_avg_points,away_top6_avg_points,home_top6_total_plusminus,away_top6_total_plusminus
2010020142,2010-10-30,2010-2011,ANA,NJD,1,2,3,-1,0,2.0,1.0,1.0,0,0,1.0,-3.0,4.0,4.0,2.0,2.6,1.7,0.9000000000000001,3.3,3.3,0.0,5.9,5.0,28.5,30.8,39.6,29.8,0.09266521884509688,0.059091402159329676,0.9161375274977355,0.8902739788946686,0.7,0.3,0.9,0.6,21.9,20.6,20.8,16.2,14.2,11.4,5.1,4.2,6.1,8.4,2.0,2.0,3.0,5.0,1.7126976771553504,0.8232726023485646,1.2516655570345725,2.359378449224852,1.4,-0.3666666666666667,-0.2999999999999998,1.0333333333333332,0.2333333333333333,0.13333333333333333,0.19074074074074074,0.09999999999999999,0.2333333333333333,0.30000000000000004,0.19074074074074074,0.26666666666666666,0.46666666666666673,0.43333333333333335,0.38148148148148153,0.3666666666666667,-0.388888888888889,-3.9000000000000004
2010020146,2010-10-30,2010-2011,PHI,NYI,6,1,7,5,1,0.0,0.0,0.0,1,1,2.0,-3.0,5.0,5.0,4.0,2.8,3.0,-0.20000000000000018,2.5,2.9,-0.3999999999999999,5.3,5.9,32.0,28.2,26.2,29.0,0.08685364070706228,0.1083630681261086,0.9011013902465516,0.8983566669976406,0.7,1.3,0.7,0.7,20.1,21.6,18.4,12.1,14.7,15.1,6.0,8.4,6.8,7.1,3.0,2.0,6.0,4.0,1.7511900715418263,1.6329931618554523,0.7071067811865476,1.1005049346146119,0.5333333333333337,-0.6666666666666665,-0.16666666666666652,0.7666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.11666666666666665,0.3333333333333333,0.1416666666666667,0.21428571428571427,0.11666666666666665,0.39999999999999997,0.27499999999999997,0.24761904761904763,1.325,-1.1111111111111112
2010020154,2010-10-31,2010-2011,CGY,WSH,2,7,9,-5,0,1.0,1.0,0.0,0,0,-1.0,-1.0,0.0,6.0,6.0,3.0,2.7,0.2999999999999998,2.7,2.3,0.40000000000000036,5.7,5.0,32.4,32.0,28.4,29.1,0.1046497532152566,0.08671299564939552,0.9050757575757575,0.9180995573844246,0.6,0.4,0.5,0.5,20.3,23.2,14.1,13.9,13.9,14.6,7.2,8.2,8.8,7.8,4.0,2.0,6.0,5.0,2.160246899469287,1.8287822299126937,1.9465068427541912,1.2516655570345725,1.333333333333333,-0.03333333333333366,0.6333333333333333,-0.6333333333333331,0.2407407407407407,0.10000000000000002,0.2037037037037037,0.06666666666666667,0.3666666666666667,0.13333333333333333,0.3880952380952381,0.11666666666666665,0.6074074074074074,0.2333333333333333,0.5917989417989418,0.18333333333333332,0.8825396825396825,-2.3
2010020155,2010-10-31,2010-2011,LAK,NJD,3,1,4,2,1,1.0,0.0,1.0,0,1,1.0,1.0,0.0,7.0,3.0,2.9,1.6,1.2999999999999998,2.2,3.0,-0.7999999999999998,5.1,4.6,28.7,30.5,28.3,29.8,0.10843285892240997,0.056498809566737085,0.9223169102402974,0.9009882646089542,0.6,0.2,0.4,0.7,25.1,20.7,13.1,16.4,13.3,11.1,6.4,4.5,6.9,8.3,3.0,3.0,3.0,4.0,1.7919573407620815,0.699205898780101,1.0327955589886444,2.449489742783178,-0.2333333333333334,0.06666666666666665,0.1333333333333333,-0.3333333333333335,0.16666666666666666,0.1818181818181818,0.18333333333333335,0.12121212121212122,0.3333333333333333,0.2727272727272727,0.3,0.2424242424242424,0.5,0.45454545454545453,0.48333333333333334,0.3636363636363636,1.3,-3.090909090909091
2010020157,2010-11-01,2010-2011,NYR,CHI,3,2,5,1,1,1.0,0.0,1.0,0,1,1.0,1.0,0.0,5.0,6.0,3.1,2.9,0.20000000000000018,2.8,2.6,0.19999999999999973,5.9,5.5,30.8,30.9,32.8,32.0,0.10384410476664237,0.09585891141378947,0.9126846394410562,0.909592286900393,0.6,0.7,1.0,0.4,29.2,21.7,14.3,8.2,19.0,15.4,7.0,10.2,6.4,7.9,1.0,2.0,5.0,7.0,1.3703203194062976,1.1972189997378648,1.7511900715418263,1.577621275493231,-0.10000000000000009,0.43333333333333357,0.20000000000000018,0.06666666666666643,0.16666666666666666,0.0,0.13333333333333333,0.1655982905982906,0.3,0.13675213675213674,0.32083333333333336,0.35042735042735046,0.4666666666666666,0.13675213675213674,0.4541666666666666,0.516025641025641,0.35,-0.48717948717948717
2010020158,2010-11-01,2010-2011,PHI,CAR,3,2,5,1,1,1.0,1.0,0.0,0,0,3.0,-1.0,4.0,5.0,5.0,3.1,2.4,0.7000000000000002,2.4,2.9,-0.5,5.5,5.3,32.2,32.7,26.2,35.3,0.09643218476836495,0.07338101048130447,0.9043271966981644,0.9116623206446848,0.8,0.6,0.6,0.9,17.6,21.5,21.9,10.2,14.3,16.2,6.7,6.6,6.8,6.8,4.0,4.0,7.0,3.0,2.024845673131659,1.837873166945363,0.8432740427115678,1.1005049346146119,1.9,-1.0666666666666667,-0.3999999999999999,-0.2333333333333334,0.10437710437710439,0.1111111111111111,0.1127946127946128,0.12222222222222223,0.16498316498316498,0.13333333333333333,0.18855218855218855,0.21666666666666667,0.26936026936026936,0.24444444444444444,0.3013468013468013,0.33888888888888885,1.4646464646464645,-0.9333333333333336
2010020161,2010-11-02,2010-2011,CBJ,MTL,3,0,3,3,1,1.0,2.0,-1.0,0,0,-1.0,-1.0,0.0,6.0,7.0,2.3,2.7,-0.40000000000000036,2.9,2.2,0.6999999999999997,5.2,4.9,29.8,31.6,30.0,27.9,0.08254649797834876,0.08679663657747065,0.8999291043482355,0.9171807171844589,0.5,0.3,0.8,0.5,22.6,19.1,14.1,11.6,15.2,15.1,7.5,5.3,3.4,5.5,3.0,4.0,6.0,6.0,0.674948557710553,1.4181364924121764,1.7919573407620815,1.2292725943057186,-0.6333333333333331,0.2999999999999998,-0.2333333333333334,0.1333333333333333,0.10000000000000002,0.030303030303030304,0.13333333333333333,0.030303030303030304,0.31666666666666665,0.23905723905723905,0.25833333333333336,0.18013468013468015,0.4166666666666667,0.26936026936026936,0.39166666666666666,0.21043771043771045,0.9749999999999999,0.31313131313131315
2010020160,2010-11-02,2010-2011,TOR,OTT,2,3,5,-1,0,2.0,2.0,0.0,0,0,-2.0,-1.0,-1.0,5.0,4.0,2.3,2.5,-0.20000000000000018,2.3,3.3,-1.0,4.6,5.8,26.6,28.5,26.5,31.3,0.09748579782790308,0.08561733452250776,0.9149227994227994,0.8930057600921926,0.5,0.6,0.5,0.6,27.6,20.1,12.9,16.6,14.2,13.8,7.0,6.8,9.8,7.0,3.0,1.0,6.0,5.0,1.7669811040931427,1.8408935028645435,1.1595018087284057,1.1595018087284057,-1.2999999999999998,0.8333333333333335,-0.6333333333333331,-0.2999999999999998,0.10000000000000002,0.2727272727272727,0.10000000000000002,0.19696969696969693,0.16666666666666666,0.42424242424242425,0.16666666666666666,0.30303030303030304,0.26666666666666666,0.6969696969696969,0.2666666666666667,0.5,0.6,-1.8181818181818181
2010020166,2010-11-03,2010-2011,CAR,NYI,7,2,9,5,1,1.0,3.0,-2.0,0,0,-2.0,-4.0,2.0,4.0,4.0,2.2,2.7,-0.5,2.9,3.1,-0.20000000000000018,5.1,5.8,32.4,26.6,36.1,29.7,0.06762064181770999,0.10307823627984916,0.9138990401227837,0.895848830007045,0.4,1.0,0.8,0.8,21.9,18.9,10.2,17.6,15.9,15.0,6.8,7.4,6.5,6.8,1.0,2.0,3.0,3.0,1.7511900715418263,1.7029386365926404,1.1005049346146119,1.4491376746189437,-0.20000000000000018,-1.0333333333333334,0.10000000000000009,1.233333333333333,0.12554112554112554,0.06060606060606061,0.1233766233766234,0.07575757575757576,0.12121212121212122,0.356060606060606,0.21212121212121213,0.28409090909090906,0.24675324675324675,0.4166666666666667,0.33549783549783546,0.35984848484848486,-0.46753246753246747,-1.2159090909090908
2010020165,2010-11-03,2010-2011,WSH,TOR,5,4,9,1,1,2.0,0.0,2.0,0,1,1.0,-3.0,4.0,7.0,4.0,3.2,2.2,1.0,2.1,2.4,-0.2999999999999998,5.3,4.6,31.7,27.7,28.9,26.1,0.10526138274616974,0.09070008354218878,0.9241062314667383,0.9095656565656565,0.7,0.6,0.5,0.7,22.5,27.3,14.6,13.3,15.2,12.9,7.5,7.0,8.9,10.3,4.0,2.0,5.0,6.0,2.250925735484551,1.7511900715418263,1.1005049346146119,1.1737877907772671,0.46666666666666634,-1.5333333333333337,-0.7666666666666668,-0.06666666666666643,0.14646464646464646,0.0909090909090909,0.09175084175084175,0.0909090909090909,0.15151515151515152,0.1818181818181818,0.10942760942760943,0.16666666666666666,0.29797979797979796,0.2727272727272727,0.2011784511784512,0.2575757575757575,-1.6010101010101012,0.7272727272727272
