player_id,player_name,team_abbreviation,status,injury_description,last_updated
8477986,B. Montour,SEA,OUT,2025-12-22T18:37Z,2026-01-06 14:03:56
8476899,M. Murray,SEA,OUT,2025-11-18T17:38Z,2026-01-06 14:03:56
8475760,N. Bjugstad,STL,OUT,2025-12-16T19:29Z,2026-01-06 14:03:56
8480459,P. Suter,STL,OUT,2025-12-29T16:08Z,2026-01-06 14:03:56
8482077,D. Holloway,STL,OUT,2025-12-15T17:20Z,2026-01-06 14:03:56
8477573,N. Walker,STL,OUT,2025-12-02T15:34Z,2026-01-06 14:03:56
8477149,S. Sabourin,TBL,OUT,2025-12-30T17:11Z,2026-01-06 14:03:56
8475167,V. Hedman,TBL,OUT,2025-12-12T19:36Z,2026-01-06 14:03:56
8482929,E. Lilleberg,TBL,OUT,2025-12-15T16:37Z,2026-01-06 14:03:56
8474151,R. McDonagh,TBL,OUT,2025-12-28T17:13Z,2026-01-06 14:03:56
8478057,D. Joshua,TOR,OUT,2025-12-31T17:22Z,2026-01-06 14:03:56
8477939,W. Nylander,TOR,OUT,2026-01-05T15:40Z,2026-01-06 14:03:56
8476931,J. McCabe,TOR,OUT,2026-01-05T17:26Z,2026-01-06 14:03:56
8477541,D. Mermis,TOR,OUT,2025-12-10T15:41Z,2026-01-06 14:03:56
8475690,C. Tanev,TOR,OUT,2025-12-31T17:26Z,2026-01-06 14:03:56
8476932,A. Stolarz,TOR,OUT,2025-12-31T17:33Z,2026-01-06 14:03:56
8483431,L. Cooley,UTA,OUT,2025-12-13T15:16Z,2026-01-06 14:03:56
0,T. Goldsmith,UTA,OUT,2025-10-06T21:25Z,2026-01-06 14:03:56
0,A. Thornton,UTA,OUT,2025-10-06T21:47Z,2026-01-06 14:03:56
8476927,T. Blueger,VAN,OUT,2026-01-06T18:30Z,2026-01-06 14:03:56
8480078,F. Chytil,VAN,OUT,2026-01-06T18:36Z,2026-01-06 14:03:56
8482079,M. Rossi,VAN,OUT,2026-01-02T17:17Z,2026-01-06 14:03:56
8478856,C. Garland,VAN,OUT,2026-01-01T20:35Z,2026-01-06 14:03:56
8475762,D. Forbort,VAN,OUT,2025-10-28T17:30Z,2026-01-06 14:03:56
0,J. Demek,VGK,OUT,2025-10-07T16:16Z,2026-01-06 14:03:56
8476448,W. Karlsson,VGK,OUT,2025-12-30T23:49Z,2026-01-06 14:03:56
8475188,B. McNabb,VGK,OUT,2026-01-02T19:38Z,2026-01-06 14:03:56
8477447,S. Theodore,VGK,OUT,2025-12-23T18:53Z,2026-01-06 14:03:56
8478499,A. Hill,VGK,OUT,2025-12-23T20:00Z,2026-01-06 14:03:56
8481656,A. Protas,WSH,QUESTIONABLE,2026-01-06T14:44Z,2026-01-06 14:03:56
8479400,P. Dubois,WSH,OUT,2026-01-03T16:48Z,2026-01-06 14:03:56
8476880,T. Wilson,WSH,QUESTIONABLE,2026-01-06T14:44Z,2026-01-06 14:03:56
8479378,L. Stanley,WPG,OUT,2026-01-04T22:32Z,2026-01-06 14:03:56
