commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price
2025-11-15 14:10:00-08:00,CLE,MEM,betmgm,h2h,2025-11-15 00:13:08-08:00,CLE,-500
2025-11-15 14:10:00-08:00,CLE,MEM,betmgm,h2h,2025-11-15 00:13:08-08:00,MEM,375
2025-11-15 14:10:00-08:00,CLE,MEM,betonlineag,h2h,2025-11-15 00:13:07-08:00,CLE,-490
2025-11-15 14:10:00-08:00,CLE,MEM,betonlineag,h2h,2025-11-15 00:13:07-08:00,MEM,377
2025-11-15 14:10:00-08:00,CLE,MEM,betrivers,h2h,2025-11-15 00:13:44-08:00,CLE,-455
2025-11-15 14:10:00-08:00,CLE,MEM,betrivers,h2h,2025-11-15 00:13:44-08:00,MEM,335
2025-11-15 14:10:00-08:00,CLE,MEM,betus,h2h,2025-11-15 00:13:21-08:00,CLE,-500
2025-11-15 14:10:00-08:00,CLE,MEM,betus,h2h,2025-11-15 00:13:21-08:00,MEM,390
2025-11-15 14:10:00-08:00,CLE,MEM,bovada,h2h,2025-11-15 00:13:08-08:00,CLE,-510
2025-11-15 14:10:00-08:00,CLE,MEM,bovada,h2h,2025-11-15 00:13:08-08:00,MEM,370
2025-11-15 14:10:00-08:00,CLE,MEM,draftkings,h2h,2025-11-15 00:13:31-08:00,CLE,-485
2025-11-15 14:10:00-08:00,CLE,MEM,draftkings,h2h,2025-11-15 00:13:31-08:00,MEM,370
2025-11-15 14:10:00-08:00,CLE,MEM,fanduel,h2h,2025-11-15 00:13:45-08:00,CLE,-460
2025-11-15 14:10:00-08:00,CLE,MEM,fanduel,h2h,2025-11-15 00:13:45-08:00,MEM,360
2025-11-15 14:10:00-08:00,CLE,MEM,lowvig,h2h,2025-11-15 00:12:53-08:00,CLE,-483
2025-11-15 14:10:00-08:00,CLE,MEM,lowvig,h2h,2025-11-15 00:12:53-08:00,MEM,384
2025-11-15 14:10:00-08:00,CLE,MEM,mybookieag,h2h,2025-11-15 00:12:01-08:00,CLE,-500
2025-11-15 14:10:00-08:00,CLE,MEM,mybookieag,h2h,2025-11-15 00:12:01-08:00,MEM,368
2025-11-15 16:10:00-08:00,CHA,OKC,betmgm,h2h,2025-11-15 00:13:08-08:00,CHA,825
2025-11-15 16:10:00-08:00,CHA,OKC,betmgm,h2h,2025-11-15 00:13:08-08:00,OKC,-1400
2025-11-15 16:10:00-08:00,CHA,OKC,betonlineag,h2h,2025-11-15 00:13:07-08:00,CHA,836
2025-11-15 16:10:00-08:00,CHA,OKC,betonlineag,h2h,2025-11-15 00:13:07-08:00,OKC,-1400
2025-11-15 16:10:00-08:00,CHA,OKC,betrivers,h2h,2025-11-15 00:13:44-08:00,CHA,700
2025-11-15 16:10:00-08:00,CHA,OKC,betrivers,h2h,2025-11-15 00:13:44-08:00,OKC,-1250
2025-11-15 16:10:00-08:00,CHA,OKC,betus,h2h,2025-11-15 00:13:21-08:00,CHA,825
2025-11-15 16:10:00-08:00,CHA,OKC,betus,h2h,2025-11-15 00:13:21-08:00,OKC,-1400
2025-11-15 16:10:00-08:00,CHA,OKC,bovada,h2h,2025-11-15 00:13:08-08:00,CHA,750
2025-11-15 16:10:00-08:00,CHA,OKC,bovada,h2h,2025-11-15 00:13:08-08:00,OKC,-1400
2025-11-15 16:10:00-08:00,CHA,OKC,draftkings,h2h,2025-11-15 00:13:31-08:00,CHA,800
2025-11-15 16:10:00-08:00,CHA,OKC,draftkings,h2h,2025-11-15 00:13:31-08:00,OKC,-1350
2025-11-15 16:10:00-08:00,CHA,OKC,fanduel,h2h,2025-11-15 00:13:45-08:00,CHA,730
2025-11-15 16:10:00-08:00,CHA,OKC,fanduel,h2h,2025-11-15 00:13:45-08:00,OKC,-1150
2025-11-15 16:10:00-08:00,CHA,OKC,lowvig,h2h,2025-11-15 00:12:53-08:00,CHA,872
2025-11-15 16:10:00-08:00,CHA,OKC,lowvig,h2h,2025-11-15 00:12:53-08:00,OKC,-1365
2025-11-15 16:10:00-08:00,CHA,OKC,mybookieag,h2h,2025-11-15 00:12:01-08:00,CHA,747
2025-11-15 16:10:00-08:00,CHA,OKC,mybookieag,h2h,2025-11-15 00:12:01-08:00,OKC,-1429
2025-11-15 16:10:00-08:00,IND,TOR,betmgm,h2h,2025-11-15 00:13:08-08:00,IND,240
2025-11-15 16:10:00-08:00,IND,TOR,betmgm,h2h,2025-11-15 00:13:08-08:00,TOR,-300
2025-11-15 16:10:00-08:00,IND,TOR,betonlineag,h2h,2025-11-15 00:13:07-08:00,IND,245
2025-11-15 16:10:00-08:00,IND,TOR,betonlineag,h2h,2025-11-15 00:13:07-08:00,TOR,-300
2025-11-15 16:10:00-08:00,IND,TOR,betrivers,h2h,2025-11-15 00:13:44-08:00,IND,205
2025-11-15 16:10:00-08:00,IND,TOR,betrivers,h2h,2025-11-15 00:13:44-08:00,TOR,-265
2025-11-15 16:10:00-08:00,IND,TOR,betus,h2h,2025-11-15 00:13:21-08:00,IND,240
2025-11-15 16:10:00-08:00,IND,TOR,betus,h2h,2025-11-15 00:13:21-08:00,TOR,-290
2025-11-15 16:10:00-08:00,IND,TOR,bovada,h2h,2025-11-15 00:13:08-08:00,IND,235
2025-11-15 16:10:00-08:00,IND,TOR,bovada,h2h,2025-11-15 00:13:08-08:00,TOR,-285
2025-11-15 16:10:00-08:00,IND,TOR,draftkings,h2h,2025-11-15 00:13:31-08:00,IND,240
2025-11-15 16:10:00-08:00,IND,TOR,draftkings,h2h,2025-11-15 00:13:31-08:00,TOR,-298
2025-11-15 16:10:00-08:00,IND,TOR,fanduel,h2h,2025-11-15 00:13:45-08:00,IND,250
2025-11-15 16:10:00-08:00,IND,TOR,fanduel,h2h,2025-11-15 00:13:45-08:00,TOR,-310
2025-11-15 16:10:00-08:00,IND,TOR,lowvig,h2h,2025-11-15 00:12:53-08:00,IND,248
2025-11-15 16:10:00-08:00,IND,TOR,lowvig,h2h,2025-11-15 00:12:53-08:00,TOR,-297
2025-11-15 16:10:00-08:00,IND,TOR,mybookieag,h2h,2025-11-15 00:12:01-08:00,IND,232
2025-11-15 16:10:00-08:00,IND,TOR,mybookieag,h2h,2025-11-15 00:12:01-08:00,TOR,-294
2025-11-15 17:10:00-08:00,MIL,LAL,betmgm,h2h,2025-11-15 00:13:08-08:00,LAL,-120
2025-11-15 17:10:00-08:00,MIL,LAL,betmgm,h2h,2025-11-15 00:13:08-08:00,MIL,100
2025-11-15 17:10:00-08:00,MIL,LAL,betonlineag,h2h,2025-11-15 00:13:07-08:00,LAL,-120
2025-11-15 17:10:00-08:00,MIL,LAL,betonlineag,h2h,2025-11-15 00:13:07-08:00,MIL,100
2025-11-15 17:10:00-08:00,MIL,LAL,betrivers,h2h,2025-11-15 00:13:44-08:00,LAL,-115
2025-11-15 17:10:00-08:00,MIL,LAL,betrivers,h2h,2025-11-15 00:13:44-08:00,MIL,-108
2025-11-15 17:10:00-08:00,MIL,LAL,bovada,h2h,2025-11-15 00:13:08-08:00,LAL,-115
2025-11-15 17:10:00-08:00,MIL,LAL,bovada,h2h,2025-11-15 00:13:08-08:00,MIL,-105
2025-11-15 17:10:00-08:00,MIL,LAL,draftkings,h2h,2025-11-15 00:13:31-08:00,LAL,-118
2025-11-15 17:10:00-08:00,MIL,LAL,draftkings,h2h,2025-11-15 00:13:31-08:00,MIL,-102
