commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price
2025-12-08 16:10:00-08:00,IND,SAC,betmgm,h2h,2025-12-08 12:22:40-08:00,IND,-175
2025-12-08 16:10:00-08:00,IND,SAC,betmgm,h2h,2025-12-08 12:22:40-08:00,SAC,145
2025-12-08 16:10:00-08:00,IND,SAC,betonlineag,h2h,2025-12-08 12:22:11-08:00,IND,-170
2025-12-08 16:10:00-08:00,IND,SAC,betonlineag,h2h,2025-12-08 12:22:11-08:00,SAC,149
2025-12-08 16:10:00-08:00,IND,SAC,betrivers,h2h,2025-12-08 12:22:41-08:00,IND,-182
2025-12-08 16:10:00-08:00,IND,SAC,betrivers,h2h,2025-12-08 12:22:41-08:00,SAC,145
2025-12-08 16:10:00-08:00,IND,SAC,betus,h2h,2025-12-08 12:22:24-08:00,IND,-170
2025-12-08 16:10:00-08:00,IND,SAC,betus,h2h,2025-12-08 12:22:24-08:00,SAC,146
2025-12-08 16:10:00-08:00,IND,SAC,bovada,h2h,2025-12-08 12:22:28-08:00,IND,-170
2025-12-08 16:10:00-08:00,IND,SAC,bovada,h2h,2025-12-08 12:22:28-08:00,SAC,145
2025-12-08 16:10:00-08:00,IND,SAC,draftkings,h2h,2025-12-08 12:22:43-08:00,IND,-180
2025-12-08 16:10:00-08:00,IND,SAC,draftkings,h2h,2025-12-08 12:22:43-08:00,SAC,150
2025-12-08 16:10:00-08:00,IND,SAC,fanduel,h2h,2025-12-08 12:23:02-08:00,IND,-174
2025-12-08 16:10:00-08:00,IND,SAC,fanduel,h2h,2025-12-08 12:23:02-08:00,SAC,146
2025-12-08 16:10:00-08:00,IND,SAC,lowvig,h2h,2025-12-08 12:22:41-08:00,IND,-170
2025-12-08 16:10:00-08:00,IND,SAC,lowvig,h2h,2025-12-08 12:22:41-08:00,SAC,150
2025-12-08 16:10:00-08:00,IND,SAC,mybookieag,h2h,2025-12-08 12:22:24-08:00,IND,-177
2025-12-08 16:10:00-08:00,IND,SAC,mybookieag,h2h,2025-12-08 12:22:24-08:00,SAC,142
2025-12-08 16:40:00-08:00,MIN,PHX,betmgm,h2h,2025-12-08 12:22:40-08:00,MIN,-350
2025-12-08 16:40:00-08:00,MIN,PHX,betmgm,h2h,2025-12-08 12:22:40-08:00,PHX,275
2025-12-08 16:40:00-08:00,MIN,PHX,betonlineag,h2h,2025-12-08 12:22:11-08:00,MIN,-330
2025-12-08 16:40:00-08:00,MIN,PHX,betonlineag,h2h,2025-12-08 12:22:11-08:00,PHX,267
2025-12-08 16:40:00-08:00,MIN,PHX,betrivers,h2h,2025-12-08 12:22:41-08:00,MIN,-375
