commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price,point
2025-12-23 16:10:00-08:00,CHA,WAS,betmgm,totals,2025-12-23 15:07:35-08:00,Over,-105,239.5
2025-12-23 16:10:00-08:00,CHA,WAS,betmgm,totals,2025-12-23 15:07:35-08:00,Under,-115,239.5
2025-12-23 16:10:00-08:00,CHA,WAS,betonlineag,totals,2025-12-23 15:07:10-08:00,Over,-114,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,betonlineag,totals,2025-12-23 15:07:10-08:00,Under,-106,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,betus,totals,2025-12-23 15:07:25-08:00,Over,-110,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,betus,totals,2025-12-23 15:07:25-08:00,Under,-110,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,bovada,totals,2025-12-23 15:07:22-08:00,Over,-110,234.0
2025-12-23 16:10:00-08:00,CHA,WAS,bovada,totals,2025-12-23 15:07:22-08:00,Under,-110,234.0
2025-12-23 16:10:00-08:00,CHA,WAS,draftkings,totals,2025-12-23 15:07:37-08:00,Over,-108,239.5
2025-12-23 16:10:00-08:00,CHA,WAS,draftkings,totals,2025-12-23 15:07:37-08:00,Under,-112,239.5
2025-12-23 16:10:00-08:00,CHA,WAS,fanduel,totals,2025-12-23 15:07:28-08:00,Over,-110,239.5
2025-12-23 16:10:00-08:00,CHA,WAS,fanduel,totals,2025-12-23 15:07:28-08:00,Under,-110,239.5
2025-12-23 16:10:00-08:00,CHA,WAS,lowvig,totals,2025-12-23 15:07:35-08:00,Over,-112,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,lowvig,totals,2025-12-23 15:07:35-08:00,Under,-103,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,mybookieag,totals,2025-12-23 15:06:23-08:00,Over,-110,239.0
2025-12-23 16:10:00-08:00,CHA,WAS,mybookieag,totals,2025-12-23 15:06:23-08:00,Under,-110,239.0
2025-12-23 16:10:00-08:00,PHI,BKN,betmgm,totals,2025-12-23 15:07:35-08:00,Over,-110,220.5
2025-12-23 16:10:00-08:00,PHI,BKN,betmgm,totals,2025-12-23 15:07:35-08:00,Under,-110,220.5
2025-12-23 16:10:00-08:00,PHI,BKN,betonlineag,totals,2025-12-23 15:07:10-08:00,Over,-110,220.5
2025-12-23 16:10:00-08:00,PHI,BKN,betonlineag,totals,2025-12-23 15:07:10-08:00,Under,-110,220.5
2025-12-23 16:10:00-08:00,PHI,BKN,betus,totals,2025-12-23 15:07:25-08:00,Over,-110,220.5
2025-12-23 16:10:00-08:00,PHI,BKN,betus,totals,2025-12-23 15:07:25-08:00,Under,-110,220.5
