commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price,point
2025-11-13 18:10:00-08:00,UTA,ATL,bovada,spreads,2025-11-13 14:23:22-08:00,ATL,-115,-1.5
2025-11-13 18:10:00-08:00,UTA,ATL,bovada,spreads,2025-11-13 14:23:22-08:00,UTA,-105,1.5
2025-11-13 18:10:00-08:00,UTA,ATL,draftkings,spreads,2025-11-13 14:23:07-08:00,ATL,-115,-1.5
2025-11-13 18:10:00-08:00,UTA,ATL,draftkings,spreads,2025-11-13 14:23:07-08:00,UTA,-105,1.5
2025-11-13 18:10:00-08:00,UTA,ATL,fanduel,spreads,2025-11-13 14:23:09-08:00,ATL,-112,-2.0
2025-11-13 18:10:00-08:00,UTA,ATL,fanduel,spreads,2025-11-13 14:23:09-08:00,UTA,-108,2.0
2025-11-13 18:10:00-08:00,UTA,ATL,lowvig,spreads,2025-11-13 14:23:33-08:00,ATL,-109,-1.5
2025-11-13 18:10:00-08:00,UTA,ATL,lowvig,spreads,2025-11-13 14:23:33-08:00,UTA,-103,1.5
2025-11-13 18:10:00-08:00,UTA,ATL,mybookieag,spreads,2025-11-13 14:22:02-08:00,ATL,-110,-2.0
2025-11-13 18:10:00-08:00,UTA,ATL,mybookieag,spreads,2025-11-13 14:22:02-08:00,UTA,-110,2.0
