commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price
2025-12-20 14:10:00-08:00,DEN,HOU,betmgm,h2h,2025-12-20 12:07:44-08:00,DEN,-110
2025-12-20 14:10:00-08:00,DEN,HOU,betmgm,h2h,2025-12-20 12:07:44-08:00,HOU,-110
2025-12-20 14:10:00-08:00,DEN,HOU,betonlineag,h2h,2025-12-20 12:07:45-08:00,DEN,-105
2025-12-20 14:10:00-08:00,DEN,HOU,betonlineag,h2h,2025-12-20 12:07:45-08:00,HOU,-115
2025-12-20 14:10:00-08:00,DEN,HOU,betrivers,h2h,2025-12-20 12:07:58-08:00,DEN,-104
2025-12-20 14:10:00-08:00,DEN,HOU,betrivers,h2h,2025-12-20 12:07:58-08:00,HOU,-120
2025-12-20 14:10:00-08:00,DEN,HOU,bovada,h2h,2025-12-20 12:07:44-08:00,DEN,-105
2025-12-20 14:10:00-08:00,DEN,HOU,bovada,h2h,2025-12-20 12:07:44-08:00,HOU,-115
2025-12-20 14:10:00-08:00,DEN,HOU,draftkings,h2h,2025-12-20 12:08:11-08:00,DEN,-112
2025-12-20 14:10:00-08:00,DEN,HOU,draftkings,h2h,2025-12-20 12:08:11-08:00,HOU,-108
2025-12-20 14:10:00-08:00,DEN,HOU,fanduel,h2h,2025-12-20 12:08:12-08:00,DEN,-102
2025-12-20 14:10:00-08:00,DEN,HOU,fanduel,h2h,2025-12-20 12:08:12-08:00,HOU,-116
2025-12-20 14:10:00-08:00,DEN,HOU,lowvig,h2h,2025-12-20 12:07:58-08:00,DEN,-103
2025-12-20 14:10:00-08:00,DEN,HOU,lowvig,h2h,2025-12-20 12:07:58-08:00,HOU,-113
2025-12-20 14:10:00-08:00,DEN,HOU,mybookieag,h2h,2025-12-20 12:08:00-08:00,DEN,-106
2025-12-20 14:10:00-08:00,DEN,HOU,mybookieag,h2h,2025-12-20 12:08:00-08:00,HOU,-115
2025-12-20 16:00:00-08:00,TOR,BOS,betmgm,h2h,2025-12-20 12:07:44-08:00,BOS,105
