SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2012-2013,2012020003,2013-01-19,CHI,CHI @ LAK,W,AWAY,5,2,5,7,12,10,22,1,22,0.22727272727272727,15,1,7,19,21,2,0.9047619047619048,2,0,0
2012-2013,2012020003,2013-01-19,LAK,LAK vs. CHI,L,HOME,2,5,2,4,6,10,39,0,21,0.09523809523809523,7,7,13,17,22,5,0.7727272727272727,4,1,0
2012-2013,2012020002,2013-01-19,OTT,OTT @ WPG,W,AWAY,4,1,4,7,11,14,21,1,37,0.10810810810810811,14,5,7,27,28,1,0.9642857142857143,0,1,0
2012-2013,2012020001,2013-01-19,PHI,PHI vs. PIT,L,HOME,1,3,1,2,3,6,40,0,27,0.037037037037037035,12,8,11,24,26,2,0.9230769230769231,1,1,0
2012-2013,2012020001,2013-01-19,PIT,PIT @ PHI,W,AWAY,3,1,3,4,7,10,37,2,27,0.1111111111111111,12,10,6,26,27,1,0.9629629629629629,1,0,0
2012-2013,2012020002,2013-01-19,WPG,WPG vs. OTT,L,HOME,1,4,1,2,3,6,29,1,28,0.03571428571428571,10,4,18,33,37,4,0.8918918918918919,3,1,0
2012-2013,2012020013,2013-01-20,ANA,ANA @ VAN,W,AWAY,7,3,7,11,18,8,21,3,26,0.2692307692307692,15,10,4,26,29,3,0.896551724137931,1,2,0
2012-2013,2012020004,2013-01-20,BOS,BOS vs. NYR,W,HOME,3,1,3,4,7,30,27,0,34,0.08823529411764706,5,6,1,20,21,1,0.9523809523809523,1,0,0
2012-2013,2012020014,2013-01-20,BUF,BUF vs. PHI,W,HOME,5,2,5,9,14,21,13,3,41,0.12195121951219512,9,9,8,27,29,2,0.9310344827586207,1,1,0
2012-2013,2012020008,2013-01-20,CAR,CAR @ FLA,L,AWAY,1,5,1,2,3,14,28,0,42,0.023809523809523808,10,2,1,20,25,5,0.8,2,3,0
