SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2025-2026,2025020753,2026-01-17,ANA,ANA @ LAK,W,AWAY,3,2,2,4,6,4,21,0,28,0.0714285714285714,18,5,16,26,28,2,0.9285714285714286,2,0,0
2025-2026,2025020754,2026-01-17,BUF,BUF vs. MIN,L,HOME,4,5,4,7,11,15,21,1,24,0.1666666666666666,16,3,10,30,35,5,0.8571428571428571,4,1,0
2025-2026,2025020750,2026-01-17,CAR,CAR vs. FLA,W,HOME,9,1,9,17,26,17,30,4,36,0.25,8,8,20,15,16,1,0.9375,1,0,0
2025-2026,2025020756,2026-01-17,CGY,CGY vs. NYI,W,HOME,4,2,4,8,12,4,9,0,19,0.2105263157894736,14,4,17,28,30,2,0.9333333333333332,2,0,0
2025-2026,2025020752,2026-01-17,COL,COL vs. NSH,L,HOME,3,7,3,6,9,2,14,0,43,0.0697674418604651,17,6,20,23,28,5,0.8214285714285714,4,1,0
2025-2026,2025020749,2026-01-17,DET,DET vs. SJS,W,HOME,4,2,4,6,10,2,14,1,25,0.16,17,5,11,20,22,2,0.9090909090909092,2,0,0
2025-2026,2025020750,2026-01-17,FLA,FLA @ CAR,L,AWAY,1,9,1,2,3,27,19,0,16,0.0625,13,5,16,27,36,9,0.75,5,4,0
2025-2026,2025020753,2026-01-17,LAK,LAK vs. ANA,L,HOME,2,3,2,2,4,2,15,0,28,0.0714285714285714,11,6,15,26,28,2,0.9285714285714286,2,0,0
2025-2026,2025020754,2026-01-17,MIN,MIN @ BUF,W,AWAY,5,4,5,9,14,15,31,1,35,0.1428571428571428,9,6,11,20,24,4,0.8333333333333334,3,1,0
2025-2026,2025020752,2026-01-17,NSH,NSH @ COL,W,AWAY,7,3,7,10,17,4,16,1,30,0.2333333333333333,12,5,16,40,43,3,0.9302325581395348,3,0,0
