SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2017-2018,2017020001,2017-10-04,TOR,TOR @ WPG,W,AWAY,7,2,7,13,20,14,16,2,31,0.22580645161290322,24,1,10,35,37,2,0.9459459459459459,2,0,0
2017-2018,2017020001,2017-10-04,WPG,WPG vs. TOR,L,HOME,2,7,2,3,5,8,18,0,37,0.05405405405405406,14,5,7,24,31,7,0.7741935483870968,5,2,0
2017-2018,2017020005,2017-10-05,BOS,BOS vs. NSH,W,HOME,4,3,4,7,11,19,23,1,32,0.125,7,13,7,26,29,3,0.896551724137931,1,2,0
2017-2018,2017020006,2017-10-05,BUF,BUF vs. MTL,L,HOME,2,3,2,3,5,6,20,1,45,0.044444444444444446,15,5,5,38,40,2,0.95,1,0,0
2017-2018,2017020003,2017-10-05,CGY,CGY @ EDM,L,AWAY,0,3,0,0,0,9,29,0,27,0.0,17,11,15,42,44,2,0.9545454545454546,2,0,0
2017-2018,2017020007,2017-10-05,COL,COL @ NYR,W,AWAY,4,2,4,7,11,16,21,1,26,0.15384615384615385,15,6,7,37,39,2,0.9487179487179487,0,2,0
2017-2018,2017020009,2017-10-05,DET,DET vs. MIN,W,HOME,4,2,4,8,12,6,13,2,31,0.12903225806451613,11,7,12,37,39,2,0.9487179487179487,2,0,0
2017-2018,2017020003,2017-10-05,EDM,EDM vs. CGY,W,HOME,3,0,3,4,7,7,31,0,45,0.06666666666666667,18,18,15,27,27,0,1.0,0,0,0
2017-2018,2017020009,2017-10-05,MIN,MIN @ DET,L,AWAY,2,4,2,4,6,10,19,0,39,0.05128205128205128,10,3,5,27,31,4,0.8709677419354839,2,2,0
2017-2018,2017020006,2017-10-05,MTL,MTL @ BUF,W,AWAY,3,2,2,4,6,10,17,0,40,0.05,8,3,6,43,45,2,0.9555555555555556,1,1,0
2017-2018,2017020005,2017-10-05,NSH,NSH @ BOS,L,AWAY,3,4,3,5,8,15,25,2,29,0.10344827586206896,10,10,12,28,31,3,0.9032258064516129,2,1,0
2017-2018,2017020007,2017-10-05,NYR,NYR vs. COL,L,HOME,2,4,2,3,5,12,23,2,39,0.05128205128205128,9,6,13,22,25,3,0.88,2,1,0
2017-2018,2017020008,2017-10-05,OTT,OTT vs. WSH,L,HOME,4,5,4,6,10,0,28,0,32,0.125,19,9,10,24,28,4,0.8571428571428571,4,0,0
2017-2018,2017020004,2017-10-05,PHI,PHI @ SJS,W,AWAY,5,3,5,8,13,12,21,3,31,0.16129032258064516,17,5,8,32,35,3,0.9142857142857143,1,2,0
2017-2018,2017020002,2017-10-05,PIT,PIT vs. STL,L,HOME,4,5,4,8,12,8,27,1,33,0.12121212121212122,10,4,13,29,34,5,0.8529411764705882,4,1,0
2017-2018,2017020004,2017-10-05,SJS,SJS vs. PHI,L,HOME,3,5,3,4,7,10,14,2,35,0.08571428571428572,17,11,19,26,30,4,0.8666666666666667,1,3,0
2017-2018,2017020002,2017-10-05,STL,STL @ PIT,W,AWAY,5,4,5,8,13,8,36,1,34,0.14705882352941177,19,3,5,29,33,4,0.8787878787878788,3,1,0
2017-2018,2017020008,2017-10-05,WSH,WSH @ OTT,W,AWAY,5,4,4,7,11,10,25,0,28,0.14285714285714285,15,5,6,28,32,4,0.875,4,0,0
2017-2018,2017020011,2017-10-06,ANA,ANA vs. ARI,W,HOME,5,4,5,7,12,8,27,0,41,0.12195121951219512,18,2,12,26,30,4,0.8666666666666667,2,2,0
2017-2018,2017020011,2017-10-06,ARI,ARI @ ANA,L,AWAY,4,5,4,8,12,8,18,2,30,0.13333333333333333,11,5,13,36,41,5,0.8780487804878049,5,0,0
