SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2013-2014,2013020001,2013-10-01,MTL,MTL vs. TOR,L,HOME,3,4,3,4,7,51,21,0,37,0.08108108108108109,15,7,9,34,38,4,0.8947368421052632,2,1,0
2013-2014,2013020001,2013-10-01,TOR,TOR @ MTL,W,AWAY,4,3,4,5,9,47,25,1,38,0.10526315789473684,17,3,4,34,37,3,0.918918918918919,3,0,0
2013-2014,2013020002,2013-10-02,CHI,CHI vs. WSH,W,HOME,6,4,6,10,16,12,30,1,34,0.17647058823529413,18,9,9,28,32,4,0.875,1,3,0
2013-2014,2013020003,2013-10-02,EDM,EDM vs. WPG,L,HOME,4,5,4,7,11,15,20,2,38,0.10526315789473684,14,4,9,23,28,5,0.8214285714285714,4,1,0
2013-2014,2013020004,2013-10-02,PHI,PHI vs. TOR,L,HOME,1,3,1,2,3,11,22,1,32,0.03125,11,9,7,22,25,3,0.88,2,1,0
2013-2014,2013020004,2013-10-02,TOR,TOR @ PHI,W,AWAY,3,1,3,5,8,21,34,1,25,0.12,20,7,11,31,32,1,0.96875,0,1,0
2013-2014,2013020003,2013-10-02,WPG,WPG @ EDM,W,AWAY,5,4,5,8,13,15,24,1,28,0.17857142857142858,23,9,16,34,38,4,0.8947368421052632,2,2,0
2013-2014,2013020002,2013-10-02,WSH,WSH @ CHI,L,AWAY,4,6,4,7,11,8,28,3,32,0.125,15,1,1,29,34,5,0.8529411764705882,4,1,0
2013-2014,2013020006,2013-10-03,ANA,ANA @ COL,L,AWAY,1,6,1,2,3,24,13,0,36,0.027777777777777776,9,12,1,23,29,6,0.7931034482758621,4,2,0
2013-2014,2013020007,2013-10-03,BOS,BOS vs. TBL,W,HOME,3,1,3,1,4,20,14,0,25,0.12,12,6,4,32,33,1,0.9696969696969697,1,0,0
2013-2014,2013020005,2013-10-03,BUF,BUF @ DET,L,AWAY,1,2,1,1,2,6,21,0,20,0.05,9,5,9,32,34,2,0.9411764705882353,2,0,0
2013-2014,2013020009,2013-10-03,CGY,CGY @ WSH,L,AWAY,4,5,4,7,11,13,25,1,39,0.10256410256410256,20,10,8,35,39,4,0.8974358974358975,2,2,0
2013-2014,2013020006,2013-10-03,COL,COL vs. ANA,W,HOME,6,1,6,10,16,18,21,2,29,0.20689655172413793,13,14,6,35,36,1,0.9722222222222222,1,0,0
2013-2014,2013020005,2013-10-03,DET,DET vs. BUF,W,HOME,2,1,2,2,4,14,13,0,34,0.058823529411764705,8,7,9,19,20,1,0.95,1,0,0
2013-2014,2013020008,2013-10-03,NJD,NJD @ PIT,L,AWAY,0,3,0,0,0,7,29,0,27,0.0,10,1,3,18,21,3,0.8571428571428571,3,0,0
2013-2014,2013020008,2013-10-03,PIT,PIT vs. NJD,W,HOME,3,0,3,6,9,9,34,0,21,0.14285714285714285,23,10,3,27,27,0,1.0,0,0,0
2013-2014,2013020007,2013-10-03,TBL,TBL @ BOS,L,AWAY,1,3,1,2,3,16,20,0,33,0.030303030303030304,16,4,4,22,25,3,0.88,1,0,0
2013-2014,2013020009,2013-10-03,WSH,WSH vs. CGY,W,HOME,5,4,4,8,12,15,30,2,39,0.10256410256410256,14,6,8,35,39,4,0.8974358974358975,3,1,0
2013-2014,2013020015,2013-10-04,BUF,BUF vs. OTT,L,HOME,0,1,0,0,0,6,21,0,35,0.0,17,6,7,45,46,1,0.9782608695652174,1,0,0
