SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2021-2022,2021020001,2021-10-12,PIT,PIT @ TBL,W,AWAY,6,2,6,7,13,2,28,0,35,0.17142857142857143,15,2,1,26,28,2,0.9285714285714286,2,0,0
2021-2022,2021020001,2021-10-12,TBL,TBL vs. PIT,L,HOME,2,6,2,4,6,0,31,0,28,0.07142857142857142,11,6,5,29,32,3,0.90625,3,0,0
2021-2022,2021020003,2021-10-13,MTL,MTL @ TOR,L,AWAY,1,2,1,2,3,6,32,0,32,0.03125,13,7,17,28,30,2,0.9333333333333333,1,1,0
2021-2022,2021020004,2021-10-13,NYR,NYR @ WSH,L,AWAY,1,5,1,2,3,18,27,1,24,0.041666666666666664,8,9,5,22,27,5,0.8148148148148148,1,3,0
2021-2022,2021020002,2021-10-13,SEA,SEA @ VGK,L,AWAY,3,4,3,5,8,6,33,0,31,0.0967741935483871,11,5,7,26,30,4,0.8666666666666667,4,0,0
2021-2022,2021020003,2021-10-13,TOR,TOR vs. MTL,W,HOME,2,1,2,4,6,8,14,1,30,0.06666666666666667,14,9,15,31,32,1,0.96875,1,0,0
2021-2022,2021020002,2021-10-13,VGK,VGK vs. SEA,W,HOME,4,3,4,8,12,8,26,0,30,0.13333333333333333,19,10,6,28,31,3,0.9032258064516129,3,0,0
2021-2022,2021020004,2021-10-13,WSH,WSH vs. NYR,W,HOME,5,1,5,10,15,16,12,3,27,0.18518518518518517,15,5,5,23,24,1,0.9583333333333334,0,1,0
2021-2022,2021020015,2021-10-14,ANA,ANA vs. WPG,W,HOME,4,1,4,8,12,18,17,2,22,0.18181818181818182,19,8,10,33,34,1,0.9705882352941176,1,0,0
2021-2022,2021020013,2021-10-14,ARI,ARI @ CBJ,L,AWAY,2,8,2,4,6,20,18,1,38,0.05263157894736842,9,5,2,18,26,8,0.6923076923076923,6,2,0
2021-2022,2021020007,2021-10-14,BUF,BUF vs. MTL,W,HOME,5,1,5,10,15,8,9,3,36,0.1388888888888889,16,7,9,30,31,1,0.967741935483871,1,0,0
2021-2022,2021020012,2021-10-14,CAR,CAR vs. NYI,W,HOME,6,3,6,8,14,6,25,2,41,0.14634146341463414,10,6,11,25,28,3,0.8928571428571429,3,0,0
2021-2022,2021020013,2021-10-14,CBJ,CBJ vs. ARI,W,HOME,8,2,8,15,23,22,11,2,26,0.3076923076923077,19,10,5,36,38,2,0.9473684210526315,1,1,0
2021-2022,2021020005,2021-10-14,CHI,CHI @ COL,L,AWAY,2,4,2,2,4,10,17,1,34,0.058823529411764705,21,6,3,32,36,4,0.8888888888888888,4,0,0
2021-2022,2021020005,2021-10-14,COL,COL vs. CHI,W,HOME,4,2,4,7,11,12,25,0,36,0.1111111111111111,17,17,11,32,34,2,0.9411764705882353,1,1,0
2021-2022,2021020011,2021-10-14,DAL,DAL @ NYR,W,AWAY,3,2,3,3,6,10,23,1,26,0.11538461538461539,25,2,8,31,33,2,0.9393939393939394,2,0,0
2021-2022,2021020009,2021-10-14,DET,DET vs. TBL,L,HOME,6,7,6,12,18,26,16,1,26,0.23076923076923078,12,4,7,41,48,7,0.8541666666666666,4,3,0
2021-2022,2021020006,2021-10-14,EDM,EDM vs. VAN,W,HOME,3,2,2,4,6,25,21,1,34,0.058823529411764705,17,7,16,36,38,2,0.9473684210526315,1,1,0
2021-2022,2021020010,2021-10-14,FLA,FLA vs. PIT,W,HOME,5,4,5,7,12,16,23,0,39,0.1282051282051282,17,11,17,43,47,4,0.9148936170212766,2,2,0
2021-2022,2021020007,2021-10-14,MTL,MTL @ BUF,L,AWAY,1,5,1,2,3,10,18,0,31,0.03225806451612903,9,6,4,31,36,5,0.8611111111111112,2,3,0
2021-2022,2021020012,2021-10-14,NYI,NYI @ CAR,L,AWAY,3,6,3,6,9,8,36,0,28,0.10714285714285714,22,9,8,35,40,5,0.875,4,1,0
2021-2022,2021020011,2021-10-14,NYR,NYR vs. DAL,L,HOME,2,3,2,4,6,6,32,0,33,0.06060606060606061,13,7,11,23,26,3,0.8846153846153846,2,1,0
2021-2022,2021020008,2021-10-14,OTT,OTT vs. TOR,W,HOME,3,2,3,5,8,10,24,1,36,0.08333333333333333,12,2,19,46,48,2,0.9583333333333334,0,2,0
2021-2022,2021020010,2021-10-14,PIT,PIT @ FLA,L,AWAY,4,5,4,8,12,12,22,2,47,0.0851063829787234,11,6,12,34,39,5,0.8717948717948718,5,0,0
2021-2022,2021020009,2021-10-14,TBL,TBL @ DET,W,AWAY,7,6,7,13,20,20,13,3,48,0.14583333333333334,10,5,3,20,26,6,0.7692307692307693,5,1,0
2021-2022,2021020008,2021-10-14,TOR,TOR @ OTT,L,AWAY,2,3,2,4,6,8,22,2,48,0.041666666666666664,15,1,9,33,36,3,0.9166666666666666,2,1,0
2021-2022,2021020006,2021-10-14,VAN,VAN @ EDM,L,AWAY,2,3,2,4,6,9,29,1,38,0.05263157894736842,17,7,11,32,34,2,0.9411764705882353,1,1,0
2021-2022,2021020015,2021-10-14,WPG,WPG @ ANA,L,AWAY,1,4,1,2,3,14,25,0,34,0.029411764705882353,6,1,12,18,22,4,0.8181818181818182,2,2,0
2021-2022,2021020017,2021-10-15,CHI,CHI @ NJD,L,AWAY,3,4,3,6,9,4,15,2,27,0.1111111111111111,7,7,8,25,29,4,0.8620689655172413,4,0,0
2021-2022,2021020016,2021-10-15,LAK,LAK vs. VGK,W,HOME,6,2,6,12,18,7,22,2,47,0.1276595744680851,12,3,3,23,25,2,0.92,2,0,0
2021-2022,2021020017,2021-10-15,NJD,NJD vs. CHI,W,HOME,4,3,4,6,10,10,17,0,29,0.13793103448275862,14,17,18,24,27,3,0.8888888888888888,1,2,0
2021-2022,2021020014,2021-10-15,NSH,NSH vs. SEA,L,HOME,3,4,3,6,9,11,16,1,30,0.1,12,7,9,22,25,3,0.88,1,2,0
2021-2022,2021020018,2021-10-15,PHI,PHI vs. VAN,L,HOME,4,5,4,8,12,6,38,1,35,0.11428571428571428,19,7,6,35,39,4,0.8974358974358975,2,2,0
2021-2022,2021020014,2021-10-15,SEA,SEA @ NSH,W,AWAY,4,3,4,7,11,11,22,2,26,0.15384615384615385,12,7,5,27,30,3,0.9,2,1,0
2021-2022,2021020018,2021-10-15,VAN,VAN @ PHI,W,AWAY,5,4,4,8,12,6,23,2,39,0.10256410256410256,15,6,8,31,35,4,0.8857142857142857,3,1,0
2021-2022,2021020016,2021-10-15,VGK,VGK @ LAK,L,AWAY,2,6,2,4,6,9,41,0,25,0.08,22,2,4,41,47,6,0.8723404255319149,4,2,0
2021-2022,2021020019,2021-10-16,ANA,ANA vs. MIN,L,HOME,1,2,1,2,3,25,21,1,29,0.034482758620689655,14,7,12,41,43,2,0.9534883720930233,1,1,0
2021-2022,2021020021,2021-10-16,ARI,ARI @ BUF,L,AWAY,1,2,1,2,3,2,15,0,21,0.047619047619047616,10,5,2,32,33,1,0.9696969696969697,0,1,0
2021-2022,2021020020,2021-10-16,BOS,BOS vs. DAL,W,HOME,3,1,3,3,6,12,25,0,40,0.075,8,4,7,27,28,1,0.9642857142857143,1,0,0
2021-2022,2021020021,2021-10-16,BUF,BUF vs. ARI,W,HOME,2,1,1,2,3,4,15,1,33,0.030303030303030304,9,8,7,20,21,1,0.9523809523809523,1,0,0
2021-2022,2021020028,2021-10-16,CBJ,CBJ vs. SEA,W,HOME,2,1,2,4,6,2,29,0,25,0.08,15,6,13,19,20,1,0.95,1,0,0
2021-2022,2021020026,2021-10-16,CHI,CHI @ PIT,L,AWAY,2,5,2,4,6,6,31,1,20,0.1,9,11,5,21,26,5,0.8076923076923077,5,0,0
2021-2022,2021020020,2021-10-16,DAL,DAL @ BOS,L,AWAY,1,3,1,1,2,8,33,0,28,0.03571428571428571,11,7,11,37,39,2,0.9487179487179487,2,0,0
2021-2022,2021020024,2021-10-16,DET,DET vs. VAN,W,HOME,3,1,3,5,8,26,15,1,21,0.14285714285714285,19,6,9,40,41,1,0.975609756097561,1,0,0
2021-2022,2021020025,2021-10-16,FLA,FLA vs. NYI,W,HOME,5,1,5,8,13,12,34,0,29,0.1724137931034483,11,10,13,29,30,1,0.9666666666666667,0,1,0
2021-2022,2021020019,2021-10-16,MIN,MIN @ ANA,W,AWAY,2,1,2,4,6,23,17,1,43,0.046511627906976744,15,3,8,28,29,1,0.9655172413793104,0,1,0
2021-2022,2021020023,2021-10-16,MTL,MTL vs. NYR,L,HOME,1,3,1,2,3,8,31,0,32,0.03125,13,3,12,21,23,2,0.9130434782608695,1,1,0
2021-2022,2021020025,2021-10-16,NYI,NYI @ FLA,L,AWAY,1,5,1,0,1,6,28,1,30,0.03333333333333333,23,8,9,24,29,5,0.8275862068965517,5,0,0
2021-2022,2021020023,2021-10-16,NYR,NYR @ MTL,W,AWAY,3,1,3,4,7,6,23,1,24,0.125,18,1,14,31,32,1,0.96875,1,0,0
2021-2022,2021020022,2021-10-16,OTT,OTT @ TOR,L,AWAY,1,3,1,2,3,6,37,1,21,0.047619047619047616,22,9,12,26,29,3,0.896551724137931,3,0,0
2021-2022,2021020026,2021-10-16,PIT,PIT vs. CHI,W,HOME,5,2,5,9,14,8,26,0,26,0.19230769230769232,13,9,4,18,20,2,0.9,1,1,0
2021-2022,2021020028,2021-10-16,SEA,SEA @ CBJ,L,AWAY,1,2,1,1,2,0,24,0,20,0.05,22,1,5,23,25,2,0.92,2,0,0
2021-2022,2021020027,2021-10-16,TBL,TBL @ WSH,W,AWAY,2,1,2,3,5,8,18,0,24,0.08333333333333333,15,7,7,32,33,1,0.9696969696969697,1,0,0
2021-2022,2021020022,2021-10-16,TOR,TOR vs. OTT,W,HOME,3,1,3,5,8,4,29,0,29,0.10344827586206896,9,12,14,20,21,1,0.9523809523809523,0,1,0
2021-2022,2021020024,2021-10-16,VAN,VAN @ DET,L,AWAY,1,3,1,2,3,24,5,0,41,0.024390243902439025,13,3,3,18,20,2,0.9,1,1,0
2021-2022,2021020027,2021-10-16,WSH,WSH vs. TBL,L,HOME,1,2,1,2,3,2,17,0,33,0.030303030303030304,16,7,9,22,24,2,0.9166666666666666,2,0,0
2021-2022,2021020029,2021-10-17,CAR,CAR @ NSH,W,AWAY,3,2,3,6,9,8,13,0,32,0.09375,12,9,7,38,40,2,0.95,2,0,0
2021-2022,2021020031,2021-10-17,CGY,CGY @ EDM,L,AWAY,2,5,2,4,6,10,27,1,47,0.0425531914893617,6,9,8,28,32,4,0.875,2,2,0
2021-2022,2021020030,2021-10-17,COL,COL vs. STL,L,HOME,3,5,3,6,9,9,11,0,32,0.09375,8,12,4,23,27,4,0.8518518518518519,3,1,0
2021-2022,2021020034,2021-10-17,DAL,DAL @ OTT,L,AWAY,2,3,2,4,6,11,36,0,34,0.058823529411764705,13,6,13,24,27,3,0.8888888888888888,1,2,0
2021-2022,2021020031,2021-10-17,EDM,EDM vs. CGY,W,HOME,5,2,5,10,15,12,26,2,33,0.15151515151515152,13,12,10,45,47,2,0.9574468085106383,1,1,0
2021-2022,2021020032,2021-10-17,LAK,LAK vs. MIN,L,HOME,2,3,2,3,5,4,24,1,31,0.06451612903225806,6,4,5,27,30,3,0.9,3,0,0
2021-2022,2021020032,2021-10-17,MIN,MIN @ LAK,W,AWAY,3,2,3,5,8,10,25,0,30,0.1,15,4,3,29,31,2,0.9354838709677419,1,1,0
2021-2022,2021020029,2021-10-17,NSH,NSH vs. CAR,L,HOME,2,3,2,2,4,8,15,0,40,0.05,9,5,8,29,31,2,0.9354838709677419,2,0,0
2021-2022,2021020034,2021-10-17,OTT,OTT vs. DAL,W,HOME,3,2,3,6,9,9,30,2,27,0.1111111111111111,16,5,9,32,34,2,0.9411764705882353,2,0,0
2021-2022,2021020033,2021-10-17,SJS,SJS vs. WPG,W,HOME,4,3,4,8,12,11,33,2,31,0.12903225806451613,21,7,6,20,23,3,0.8695652173913043,2,0,0
2021-2022,2021020030,2021-10-17,STL,STL @ COL,W,AWAY,5,3,5,9,14,11,14,1,28,0.17857142857142858,15,7,2,29,32,3,0.90625,3,0,0
2021-2022,2021020033,2021-10-17,WPG,WPG @ SJS,L,AWAY,3,4,3,5,8,17,26,0,23,0.13043478260869565,14,9,6,27,31,4,0.8709677419354839,1,2,0
2021-2022,2021020035,2021-10-18,NYR,NYR @ TOR,W,AWAY,2,1,2,1,3,6,33,0,23,0.08695652173913043,14,9,14,40,41,1,0.975609756097561,1,0,0
2021-2022,2021020036,2021-10-18,PHI,PHI vs. SEA,W,HOME,6,1,6,10,16,40,26,0,27,0.2222222222222222,8,8,11,23,24,1,0.9583333333333334,1,0,0
2021-2022,2021020036,2021-10-18,SEA,SEA @ PHI,L,AWAY,1,6,1,2,3,46,25,0,24,0.041666666666666664,7,9,4,21,27,6,0.7777777777777778,6,0,0
2021-2022,2021020035,2021-10-18,TOR,TOR vs. NYR,L,HOME,1,2,1,2,3,4,19,0,41,0.024390243902439025,12,8,12,21,23,2,0.9130434782608695,2,0,0
2021-2022,2021020037,2021-10-19,ANA,ANA @ CGY,W,AWAY,3,2,3,5,8,11,14,1,27,0.1111111111111111,19,8,12,41,43,2,0.9534883720930233,2,0,0
2021-2022,2021020038,2021-10-19,ARI,ARI vs. STL,L,HOME,4,7,4,8,12,18,12,1,26,0.15384615384615385,6,8,7,26,33,7,0.7878787878787878,6,1,0
2021-2022,2021020039,2021-10-19,BUF,BUF vs. VAN,W,HOME,5,2,5,9,14,6,14,0,43,0.11627906976744186,5,3,8,32,34,2,0.9411764705882353,2,0,0
2021-2022,2021020041,2021-10-19,CBJ,CBJ @ DET,L,AWAY,1,4,1,2,3,8,11,1,23,0.043478260869565216,7,3,6,41,43,2,0.9534883720930233,2,0,0
2021-2022,2021020037,2021-10-19,CGY,CGY vs. ANA,L,HOME,2,3,2,3,5,9,14,0,43,0.046511627906976744,6,6,19,24,27,3,0.8888888888888888,2,1,0
