SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2018-2019,2018020002,2018-10-03,BOS,BOS @ WSH,L,AWAY,0,7,0,0,0,32,28,0,25,0.0,12,5,3,30,37,7,0.8108108108108109,3,4,0
2018-2019,2018020001,2018-10-03,MTL,MTL @ TOR,L,AWAY,2,3,2,4,6,6,34,1,36,0.05555555555555555,16,5,10,23,26,3,0.8846153846153846,2,1,0
2018-2019,2018020001,2018-10-03,TOR,TOR vs. MTL,W,HOME,3,2,3,6,9,6,18,1,26,0.11538461538461539,24,5,21,34,36,2,0.9444444444444444,1,1,0
2018-2019,2018020002,2018-10-03,WSH,WSH vs. BOS,W,HOME,7,0,7,11,18,14,16,4,37,0.1891891891891892,15,13,9,25,25,0,1.0,0,0,0
2018-2019,2018020004,2018-10-04,ANA,ANA @ SJS,W,AWAY,5,2,5,10,15,6,25,2,15,0.3333333333333333,16,9,6,31,33,2,0.9393939393939394,1,0,0
2018-2019,2018020005,2018-10-04,BOS,BOS @ BUF,W,AWAY,4,0,4,7,11,6,13,1,26,0.15384615384615385,13,1,6,32,32,0,1.0,0,0,0
2018-2019,2018020005,2018-10-04,BUF,BUF vs. BOS,L,HOME,0,4,0,0,0,4,25,0,32,0.0,8,1,18,22,25,3,0.88,2,1,0
2018-2019,2018020008,2018-10-04,CAR,CAR vs. NYI,L,HOME,1,2,1,2,3,6,29,0,46,0.021739130434782608,8,13,14,18,20,2,0.9,1,1,0
2018-2019,2018020010,2018-10-04,CBJ,CBJ @ DET,W,AWAY,3,2,3,6,9,6,13,1,39,0.07692307692307693,17,4,5,18,20,2,0.9,1,1,0
2018-2019,2018020003,2018-10-04,CGY,CGY @ VAN,L,AWAY,2,5,2,4,6,7,17,0,35,0.05714285714285714,6,1,4,18,22,4,0.8181818181818182,4,0,0
2018-2019,2018020009,2018-10-04,CHI,CHI @ OTT,W,AWAY,4,3,4,4,8,4,17,0,43,0.09302325581395349,16,3,15,22,25,3,0.88,2,1,0
2018-2019,2018020010,2018-10-04,DET,DET vs. CBJ,L,HOME,2,3,2,4,6,12,20,1,20,0.1,20,5,11,36,39,3,0.9230769230769231,2,1,0
2018-2019,2018020006,2018-10-04,NSH,NSH @ NYR,W,AWAY,3,2,3,6,9,6,21,0,33,0.09090909090909091,11,16,9,34,36,2,0.9444444444444444,2,0,0
2018-2019,2018020008,2018-10-04,NYI,NYI @ CAR,W,AWAY,2,1,2,3,5,6,32,1,20,0.1,22,15,2,45,46,1,0.9782608695652174,1,0,0
2018-2019,2018020006,2018-10-04,NYR,NYR vs. NSH,L,HOME,2,3,2,3,5,4,24,0,36,0.05555555555555555,20,10,10,30,32,2,0.9375,2,0,0
2018-2019,2018020009,2018-10-04,OTT,OTT vs. CHI,L,HOME,3,4,3,6,9,6,22,1,25,0.12,18,9,13,39,43,4,0.9069767441860465,4,0,0
