SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2014-2015,2014020002,2014-10-08,BOS,BOS vs. PHI,W,HOME,2,1,2,4,6,15,23,1,33,0.06060606060606061,15,7,6,19,20,1,0.95,1,0,0
2014-2015,2014020001,2014-10-08,MTL,MTL @ TOR,W,AWAY,4,3,4,6,10,6,21,0,32,0.125,20,9,9,24,27,3,0.8888888888888888,2,1,0
2014-2015,2014020002,2014-10-08,PHI,PHI @ BOS,L,AWAY,1,2,1,2,3,11,26,0,20,0.05,15,9,8,31,33,2,0.9393939393939394,1,1,0
2014-2015,2014020001,2014-10-08,TOR,TOR vs. MTL,L,HOME,3,4,3,6,9,4,35,1,27,0.1111111111111111,11,10,11,28,32,4,0.875,4,0,0
2014-2015,2014020007,2014-10-09,ANA,ANA @ PIT,L,AWAY,4,6,4,7,11,13,33,3,29,0.13793103448275862,11,5,5,33,39,6,0.8461538461538461,4,1,0
2014-2015,2014020009,2014-10-09,BOS,BOS @ DET,L,AWAY,1,2,1,0,1,10,18,0,17,0.058823529411764705,13,1,8,22,24,2,0.9166666666666666,1,1,0
2014-2015,2014020005,2014-10-09,BUF,BUF vs. CBJ,L,HOME,1,3,1,1,2,10,16,0,22,0.045454545454545456,22,6,4,37,40,3,0.925,2,1,0
2014-2015,2014020005,2014-10-09,CBJ,CBJ @ BUF,W,AWAY,3,1,3,6,9,4,15,1,40,0.075,6,3,2,21,22,1,0.9545454545454546,1,0,0
2014-2015,2014020003,2014-10-09,CGY,CGY vs. VAN,L,HOME,2,4,2,3,5,10,32,0,25,0.08,11,7,8,29,32,3,0.90625,2,1,0
2014-2015,2014020009,2014-10-09,DET,DET vs. BOS,W,HOME,2,1,2,4,6,10,22,1,24,0.08333333333333333,6,7,6,16,17,1,0.9411764705882353,1,0,0
2014-2015,2014020010,2014-10-09,FLA,FLA @ TBL,L,AWAY,2,3,2,4,6,20,21,0,21,0.09523809523809523,13,10,5,29,32,3,0.90625,0,3,0
2014-2015,2014020004,2014-10-09,LAK,LAK vs. SJS,L,HOME,0,4,0,0,0,13,30,0,34,0.0,13,4,12,26,30,4,0.8666666666666667,3,1,0
2014-2015,2014020008,2014-10-09,MTL,MTL @ WSH,W,AWAY,2,1,1,2,3,19,29,0,24,0.041666666666666664,20,5,5,29,30,1,0.9666666666666667,1,0,0
2014-2015,2014020006,2014-10-09,NJD,NJD @ PHI,W,AWAY,6,4,6,10,16,10,36,0,26,0.23076923076923078,14,5,4,35,39,4,0.8974358974358975,2,2,0
2014-2015,2014020006,2014-10-09,PHI,PHI vs. NJD,L,HOME,4,6,4,8,12,6,30,2,39,0.10256410256410256,14,5,6,20,25,5,0.8,5,0,0
2014-2015,2014020007,2014-10-09,PIT,PIT vs. ANA,W,HOME,6,4,6,10,16,15,34,1,39,0.15384615384615385,9,7,7,25,29,4,0.8620689655172413,1,3,0
2014-2015,2014020004,2014-10-09,SJS,SJS @ LAK,W,AWAY,4,0,4,7,11,15,22,1,30,0.13333333333333333,15,2,9,34,34,0,1.0,0,0,0
2014-2015,2014020010,2014-10-09,TBL,TBL vs. FLA,W,HOME,3,2,3,4,7,10,28,3,32,0.09375,10,9,8,19,21,2,0.9047619047619048,2,0,0
2014-2015,2014020003,2014-10-09,VAN,VAN @ CGY,W,AWAY,4,2,4,8,12,12,16,1,33,0.12121212121212122,13,4,7,23,25,2,0.92,2,0,0
2014-2015,2014020008,2014-10-09,WSH,WSH vs. MTL,L,HOME,1,2,1,1,2,19,30,0,30,0.03333333333333333,16,4,4,23,24,1,0.9583333333333334,1,0,0
2014-2015,2014020016,2014-10-10,ARI,ARI vs. WPG,L,HOME,2,6,2,4,6,21,23,0,28,0.07142857142857142,8,7,9,21,27,6,0.7777777777777778,5,0,0
2014-2015,2014020017,2014-10-10,CAR,CAR vs. NYI,L,HOME,3,5,3,6,9,6,25,2,24,0.125,14,5,4,21,26,5,0.8076923076923077,3,2,0
2014-2015,2014020015,2014-10-10,CGY,CGY @ EDM,W,AWAY,5,2,5,10,15,6,21,1,26,0.19230769230769232,18,5,13,38,40,2,0.95,0,2,0
2014-2015,2014020013,2014-10-10,CHI,CHI @ DAL,W,AWAY,3,2,2,4,6,14,12,1,26,0.07692307692307693,16,8,10,32,34,2,0.9411764705882353,1,1,0
2014-2015,2014020014,2014-10-10,COL,COL @ MIN,L,AWAY,0,5,0,0,0,8,20,0,16,0.0,9,4,6,43,48,5,0.8958333333333334,5,0,0
2014-2015,2014020013,2014-10-10,DAL,DAL vs. CHI,L,HOME,2,3,2,4,6,12,25,1,34,0.058823529411764705,26,14,9,24,26,2,0.9230769230769231,1,1,0
2014-2015,2014020015,2014-10-10,EDM,EDM vs. CGY,L,HOME,2,5,2,4,6,4,18,2,40,0.05,6,8,6,21,26,5,0.8076923076923077,4,1,0
2014-2015,2014020014,2014-10-10,MIN,MIN vs. COL,W,HOME,5,0,5,7,12,12,13,0,48,0.10416666666666667,6,10,3,16,16,0,1.0,0,0,0
2014-2015,2014020012,2014-10-10,NSH,NSH vs. OTT,W,HOME,3,2,3,6,9,10,23,1,37,0.08108108108108109,12,11,8,18,20,2,0.9,1,1,0
2014-2015,2014020017,2014-10-10,NYI,NYI @ CAR,W,AWAY,5,3,5,10,15,10,32,2,26,0.19230769230769232,13,5,2,21,24,3,0.875,1,2,0
2014-2015,2014020011,2014-10-10,NYR,NYR @ STL,W,AWAY,3,2,3,4,7,19,21,0,25,0.12,18,5,1,23,25,2,0.92,2,0,0
2014-2015,2014020012,2014-10-10,OTT,OTT @ NSH,L,AWAY,2,3,2,4,6,8,23,1,20,0.1,10,6,4,34,37,3,0.918918918918919,2,1,0
2014-2015,2014020011,2014-10-10,STL,STL vs. NYR,L,HOME,2,3,2,4,6,15,18,0,25,0.08,12,4,2,22,25,3,0.88,3,0,0
2014-2015,2014020016,2014-10-10,WPG,WPG @ ARI,W,AWAY,6,2,6,9,15,17,13,0,27,0.2222222222222222,16,4,5,26,28,2,0.9285714285714286,2,0,0
2014-2015,2014020020,2014-10-11,ANA,ANA @ DET,W,AWAY,3,2,3,3,6,6,19,0,26,0.11538461538461539,16,2,4,27,29,2,0.9310344827586207,2,0,0
2014-2015,2014020018,2014-10-11,BOS,BOS vs. WSH,L,HOME,0,4,0,0,0,25,28,0,29,0.0,9,6,12,17,21,4,0.8095238095238095,2,2,0
2014-2015,2014020023,2014-10-11,CAR,CAR @ NYI,L,AWAY,3,4,3,4,7,29,25,2,24,0.125,10,7,5,27,31,4,0.8709677419354839,2,2,0
2014-2015,2014020025,2014-10-11,CBJ,CBJ vs. NYR,W,HOME,5,2,5,9,14,13,29,0,24,0.20833333333333334,10,6,4,24,26,2,0.9230769230769231,2,0,0
2014-2015,2014020026,2014-10-11,CGY,CGY @ STL,L,AWAY,1,4,1,2,3,19,25,1,24,0.041666666666666664,15,5,1,35,39,4,0.8974358974358975,2,2,0
2014-2015,2014020020,2014-10-11,DET,DET vs. ANA,L,HOME,2,3,2,4,6,8,26,0,29,0.06896551724137931,13,0,9,23,26,3,0.8846153846153846,3,0,0
2014-2015,2014020022,2014-10-11,FLA,FLA vs. NJD,L,HOME,1,5,1,2,3,13,27,1,29,0.034482758620689655,5,4,3,19,24,5,0.7916666666666666,3,2,0
2014-2015,2014020024,2014-10-11,MTL,MTL @ PHI,W,AWAY,4,3,3,6,9,12,30,0,38,0.07894736842105263,24,3,7,29,32,3,0.90625,2,1,0
2014-2015,2014020022,2014-10-11,NJD,NJD @ FLA,W,AWAY,5,1,5,8,13,23,25,2,24,0.20833333333333334,10,0,3,28,29,1,0.9655172413793104,0,1,0
2014-2015,2014020023,2014-10-11,NYI,NYI vs. CAR,W,HOME,4,3,4,8,12,15,25,2,31,0.12903225806451613,15,9,5,21,24,3,0.875,1,2,0
2014-2015,2014020025,2014-10-11,NYR,NYR @ CBJ,L,AWAY,2,5,2,3,5,25,28,0,26,0.07692307692307693,13,5,3,19,23,4,0.8260869565217391,4,0,0
2014-2015,2014020021,2014-10-11,OTT,OTT @ TBL,W,AWAY,3,2,2,3,5,8,22,0,34,0.058823529411764705,10,6,7,38,40,2,0.95,1,1,0
2014-2015,2014020024,2014-10-11,PHI,PHI vs. MTL,L,HOME,3,4,3,6,9,6,28,1,32,0.09375,32,3,12,35,38,3,0.9210526315789473,3,0,0
2014-2015,2014020019,2014-10-11,PIT,PIT @ TOR,W,AWAY,5,2,5,9,14,17,35,3,41,0.12195121951219512,11,10,10,23,25,2,0.92,0,2,0
2014-2015,2014020026,2014-10-11,STL,STL vs. CGY,W,HOME,4,1,4,8,12,21,14,2,39,0.10256410256410256,15,1,2,23,24,1,0.9583333333333334,0,1,0
2014-2015,2014020021,2014-10-11,TBL,TBL vs. OTT,L,HOME,2,3,2,3,5,8,27,1,40,0.05,15,8,9,32,34,2,0.9411764705882353,2,0,0
2014-2015,2014020019,2014-10-11,TOR,TOR vs. PIT,L,HOME,2,5,2,3,5,15,34,2,25,0.08,16,11,7,36,41,5,0.8780487804878049,2,3,0
2014-2015,2014020018,2014-10-11,WSH,WSH @ BOS,W,AWAY,4,0,4,8,12,15,23,2,21,0.19047619047619047,14,7,8,29,29,0,1.0,0,0,0
2014-2015,2014020030,2014-10-12,ARI,ARI vs. LAK,W,HOME,3,2,3,5,8,12,30,2,40,0.075,22,13,4,24,26,2,0.9230769230769231,2,0,0
2014-2015,2014020028,2014-10-12,BUF,BUF @ CHI,L,AWAY,2,6,2,3,5,8,32,0,23,0.08695652173913043,17,4,7,41,47,6,0.8723404255319149,4,1,0
2014-2015,2014020028,2014-10-12,CHI,CHI vs. BUF,W,HOME,6,2,6,9,15,8,21,1,47,0.1276595744680851,5,5,9,21,23,2,0.9130434782608695,1,0,0
2014-2015,2014020029,2014-10-12,COL,COL vs. MIN,L,HOME,0,3,0,0,0,27,31,0,30,0.0,14,11,8,31,33,2,0.9393939393939394,2,0,0
2014-2015,2014020027,2014-10-12,DAL,DAL @ NSH,L,AWAY,1,4,1,2,3,23,13,0,18,0.05555555555555555,17,8,6,29,32,3,0.90625,3,0,0
