SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2024-2025,2024020001,2024-10-04,BUF,BUF vs. NJD,L,HOME,1,4,1,2,3,4,29,0,31,0.03225806451612903,15,5,12,19,22,3,0.8636363636363636,3,0,0
2024-2025,2024020001,2024-10-04,NJD,NJD @ BUF,W,AWAY,4,1,4,6,10,8,34,0,23,0.17391304347826086,18,2,19,30,31,1,0.967741935483871,1,0,0
2024-2025,2024020002,2024-10-05,BUF,BUF @ NJD,L,AWAY,1,3,1,2,3,13,28,0,18,0.05555555555555555,10,4,17,34,37,3,0.918918918918919,2,1,0
2024-2025,2024020002,2024-10-05,NJD,NJD vs. BUF,W,HOME,3,1,3,5,8,9,18,1,36,0.08333333333333333,22,5,25,17,18,1,0.9444444444444444,1,0,0
2024-2025,2024020004,2024-10-08,BOS,BOS @ FLA,L,AWAY,4,6,4,6,10,19,27,1,28,0.14285714285714285,21,8,17,29,35,6,0.8285714285714286,5,0,0
2024-2025,2024020004,2024-10-08,FLA,FLA vs. BOS,W,HOME,6,4,6,9,15,15,26,0,35,0.17142857142857143,8,5,8,24,28,4,0.8571428571428571,2,1,0
2024-2025,2024020003,2024-10-08,SEA,SEA vs. STL,L,HOME,2,3,2,3,5,13,22,0,32,0.0625,16,3,10,22,25,3,0.88,2,1,0
2024-2025,2024020003,2024-10-08,STL,STL @ SEA,W,AWAY,3,2,3,5,8,11,31,1,25,0.12,18,4,13,30,32,2,0.9375,2,0,0
2024-2025,2024020005,2024-10-09,CHI,CHI @ UTA,L,AWAY,2,5,2,4,6,17,31,0,26,0.07692307692307693,12,5,16,22,26,4,0.8461538461538461,4,0,0
2024-2025,2024020006,2024-10-09,MTL,MTL vs. TOR,W,HOME,1,0,1,2,3,8,23,1,27,0.037037037037037035,25,5,14,48,48,0,1.0,0,0,0
2024-2025,2024020007,2024-10-09,NYR,NYR @ PIT,W,AWAY,6,0,6,8,14,8,18,0,40,0.15,20,4,18,31,31,0,1.0,0,0,0
2024-2025,2024020007,2024-10-09,PIT,PIT vs. NYR,L,HOME,0,6,0,0,0,6,25,0,31,0.0,10,4,19,34,40,6,0.85,5,0,0
2024-2025,2024020006,2024-10-09,TOR,TOR @ MTL,L,AWAY,0,1,0,0,0,10,23,0,48,0.0,15,4,13,26,27,1,0.9629629629629629,0,1,0
2024-2025,2024020005,2024-10-09,UTA,UTA vs. CHI,W,HOME,5,2,5,9,14,11,23,0,27,0.18518518518518517,23,1,22,24,26,2,0.9230769230769231,2,0,0
2024-2025,2024020011,2024-10-10,BOS,BOS vs. MTL,W,HOME,6,4,6,12,18,12,25,1,29,0.20689655172413793,15,3,17,20,24,4,0.8333333333333334,3,1,0
2024-2025,2024020012,2024-10-10,BUF,BUF vs. LAK,L,HOME,1,3,1,0,1,35,29,0,33,0.030303030303030304,15,8,13,20,22,2,0.9090909090909091,1,1,0
2024-2025,2024020009,2024-10-10,CGY,CGY @ VAN,W,AWAY,6,5,6,10,16,17,21,1,26,0.23076923076923078,22,3,9,19,24,5,0.7916666666666666,3,2,0
2024-2025,2024020010,2024-10-10,COL,COL @ VGK,L,AWAY,4,8,4,8,12,6,22,1,32,0.125,9,8,16,13,20,7,0.65,5,2,0
2024-2025,2024020008,2024-10-10,EDM,EDM vs. WPG,L,HOME,0,6,0,0,0,6,20,0,30,0.0,8,7,8,14,20,6,0.7,4,2,0
2024-2025,2024020013,2024-10-10,FLA,FLA @ OTT,L,AWAY,1,3,1,2,3,6,22,0,32,0.03125,9,2,13,28,30,2,0.9333333333333333,1,1,0
2024-2025,2024020012,2024-10-10,LAK,LAK @ BUF,W,AWAY,3,1,3,6,9,15,20,1,23,0.13043478260869565,19,2,12,32,33,1,0.9696969696969697,0,0,0
2024-2025,2024020011,2024-10-10,MTL,MTL @ BOS,L,AWAY,4,6,4,8,12,8,23,1,24,0.16666666666666666,16,7,17,23,29,6,0.7931034482758621,5,1,0
2024-2025,2024020015,2024-10-10,NJD,NJD vs. TOR,L,HOME,2,4,2,2,4,4,32,1,23,0.08695652173913043,11,2,21,18,22,4,0.8181818181818182,4,0,0
2024-2025,2024020016,2024-10-10,NYI,NYI vs. UTA,L,HOME,4,5,4,7,11,4,24,1,27,0.14814814814814814,20,2,11,21,26,5,0.8076923076923077,3,2,0
2024-2025,2024020013,2024-10-10,OTT,OTT vs. FLA,W,HOME,3,1,3,3,6,4,30,1,31,0.0967741935483871,30,2,14,31,32,1,0.96875,1,0,0
2024-2025,2024020015,2024-10-10,TOR,TOR @ NJD,W,AWAY,4,2,4,7,11,10,12,0,22,0.18181818181818182,27,4,17,21,23,2,0.9130434782608695,1,1,0
2024-2025,2024020016,2024-10-10,UTA,UTA @ NYI,W,AWAY,5,4,5,10,15,10,13,2,26,0.19230769230769232,20,11,19,23,27,4,0.8518518518518519,2,1,0
