SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2020-2021,2020020001,2021-01-13,PHI,PHI vs. PIT,W,HOME,6,3,6,11,17,6,31,2,27,0.2222222222222222,13,6,9,31,34,3,0.9117647058823529,2,1,0
2020-2021,2020020001,2021-01-13,PIT,PIT @ PHI,L,AWAY,3,6,3,3,6,4,23,1,34,0.08823529411764706,11,8,9,21,27,6,0.7777777777777778,4,2,0
2020-2021,2020020002,2021-01-14,CHI,CHI @ TBL,L,AWAY,1,5,1,2,3,8,14,1,23,0.043478260869565216,7,4,1,28,33,5,0.8484848484848485,3,2,0
2020-2021,2020020005,2021-01-14,COL,COL vs. STL,L,HOME,1,4,1,2,3,4,21,1,27,0.037037037037037035,11,6,6,28,32,4,0.875,4,0,0
2020-2021,2020020004,2021-01-14,EDM,EDM vs. VAN,L,HOME,3,5,3,5,8,4,18,0,31,0.0967741935483871,17,4,9,30,35,5,0.8571428571428571,5,0,0
2020-2021,2020020003,2021-01-14,MTL,MTL @ TOR,L,AWAY,4,5,4,8,12,13,32,2,32,0.125,22,6,12,29,34,5,0.8529411764705882,3,2,0
2020-2021,2020020005,2021-01-14,STL,STL @ COL,W,AWAY,4,1,4,7,11,8,20,0,32,0.125,19,3,2,26,27,1,0.9629629629629629,0,1,0
2020-2021,2020020002,2021-01-14,TBL,TBL vs. CHI,W,HOME,5,1,5,10,15,6,16,2,33,0.15151515151515152,12,4,1,22,23,1,0.9565217391304348,0,1,0
2020-2021,2020020003,2021-01-14,TOR,TOR vs. MTL,W,HOME,5,4,5,8,13,9,14,2,34,0.14705882352941177,17,5,9,28,32,4,0.875,2,2,0
2020-2021,2020020004,2021-01-14,VAN,VAN @ EDM,W,AWAY,5,3,5,8,13,8,19,0,35,0.14285714285714285,14,5,5,28,31,3,0.9032258064516129,3,0,0
2020-2021,2020020015,2021-01-15,ANA,ANA @ VGK,L,AWAY,2,5,2,2,4,2,29,0,22,0.09090909090909091,13,7,1,24,28,4,0.8571428571428571,4,0,0
2020-2021,2020020014,2021-01-15,ARI,ARI vs. SJS,L,HOME,3,4,3,6,9,8,21,1,37,0.08108108108108109,13,6,11,32,35,3,0.9142857142857143,2,1,0
2020-2021,2020020007,2021-01-15,BOS,BOS @ NJD,W,AWAY,3,2,2,4,6,10,13,2,37,0.05405405405405406,7,3,5,20,22,2,0.9090909090909091,2,0,0
2020-2021,2020020006,2021-01-15,BUF,BUF vs. WSH,L,HOME,4,6,4,8,12,9,20,1,26,0.15384615384615385,7,6,8,22,27,5,0.8148148148148148,4,1,0
2020-2021,2020020010,2021-01-15,CAR,CAR @ DET,W,AWAY,3,0,3,5,8,9,27,1,43,0.06976744186046512,9,4,8,14,14,0,1.0,0,0,0
2020-2021,2020020011,2021-01-15,CBJ,CBJ @ NSH,L,AWAY,1,3,1,0,1,6,18,0,30,0.03333333333333333,15,8,1,32,34,2,0.9411764705882353,2,0,0
2020-2021,2020020012,2021-01-15,CGY,CGY @ WPG,L,AWAY,3,4,3,6,9,8,22,1,26,0.11538461538461539,18,5,9,30,34,4,0.8823529411764706,3,1,0
2020-2021,2020020010,2021-01-15,DET,DET vs. CAR,L,HOME,0,3,0,0,0,11,19,0,14,0.0,16,2,16,40,42,2,0.9523809523809523,1,1,0
2020-2021,2020020013,2021-01-15,EDM,EDM vs. VAN,W,HOME,5,2,5,9,14,20,37,2,46,0.10869565217391304,29,8,12,38,40,2,0.95,2,0,0
2020-2021,2020020016,2021-01-15,LAK,LAK vs. MIN,L,HOME,3,4,3,5,8,10,18,1,34,0.08823529411764706,12,3,8,23,27,4,0.8518518518518519,4,0,0
2020-2021,2020020016,2021-01-15,MIN,MIN @ LAK,W,AWAY,4,3,4,5,9,8,22,0,27,0.14814814814814814,7,1,2,31,34,3,0.9117647058823529,2,1,0
2020-2021,2020020007,2021-01-15,NJD,NJD vs. BOS,L,HOME,2,3,2,3,5,8,26,0,22,0.09090909090909091,14,12,19,35,37,2,0.9459459459459459,0,2,0
2020-2021,2020020011,2021-01-15,NSH,NSH vs. CBJ,W,HOME,3,1,3,5,8,4,16,0,35,0.08571428571428572,20,2,5,29,30,1,0.9666666666666667,1,0,0
2020-2021,2020020008,2021-01-15,NYI,NYI @ NYR,W,AWAY,4,0,4,6,10,10,25,2,33,0.12121212121212122,20,6,6,24,24,0,1.0,0,0,0
2020-2021,2020020008,2021-01-15,NYR,NYR vs. NYI,L,HOME,0,4,0,0,0,16,24,0,24,0.0,11,7,5,29,33,4,0.8787878787878788,2,2,0
2020-2021,2020020014,2021-01-15,SJS,SJS @ ARI,W,AWAY,4,3,3,6,9,8,18,1,35,0.08571428571428572,22,1,8,34,37,3,0.918918918918919,2,1,0
2020-2021,2020020013,2021-01-15,VAN,VAN @ EDM,L,AWAY,2,5,2,3,5,18,24,0,40,0.05,10,11,11,41,46,5,0.8913043478260869,3,2,0
2020-2021,2020020015,2021-01-15,VGK,VGK vs. ANA,W,HOME,5,2,5,9,14,2,30,0,29,0.1724137931034483,21,7,9,20,22,2,0.9090909090909091,2,0,0
2020-2021,2020020012,2021-01-15,WPG,WPG vs. CGY,W,HOME,4,3,4,7,11,6,21,1,34,0.11764705882352941,14,8,11,23,26,3,0.8846153846153846,2,1,0
2020-2021,2020020006,2021-01-15,WSH,WSH @ BUF,W,AWAY,6,4,6,9,15,11,19,1,28,0.21428571428571427,11,5,7,22,26,4,0.8461538461538461,3,1,0
2020-2021,2020020030,2021-01-16,ARI,ARI vs. SJS,W,HOME,5,3,5,8,13,12,22,1,26,0.19230769230769232,15,6,9,31,34,3,0.9117647058823529,1,2,0
2020-2021,2020020023,2021-01-16,BOS,BOS @ NJD,L,AWAY,1,2,1,1,2,11,15,0,28,0.03571428571428571,10,5,6,29,31,2,0.9354838709677419,2,0,0
2020-2021,2020020017,2021-01-16,BUF,BUF vs. WSH,L,HOME,1,2,1,2,3,0,15,0,31,0.03225806451612903,8,3,6,19,21,2,0.9047619047619048,2,0,0
2020-2021,2020020019,2021-01-16,CHI,CHI @ TBL,L,AWAY,2,5,2,3,5,4,8,1,37,0.05405405405405406,6,1,1,32,37,5,0.8648648648648649,5,0,0
