SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2016-2017,2016020001,2016-10-12,OTT,OTT vs. TOR,W,HOME,5,4,5,7,12,13,30,0,30,0.16666666666666666,25,6,11,34,38,4,0.8947368421052632,4,0,0
2016-2017,2016020001,2016-10-12,TOR,TOR @ OTT,L,AWAY,4,5,4,5,9,11,21,0,38,0.10526315789473684,9,8,6,25,30,5,0.8333333333333334,5,0,0
2016-2017,2016020008,2016-10-13,BOS,BOS @ CBJ,W,AWAY,6,3,6,10,16,8,14,0,37,0.16216216216216217,23,9,2,28,31,3,0.9032258064516129,2,1,0
2016-2017,2016020005,2016-10-13,BUF,BUF vs. MTL,L,HOME,1,4,1,2,3,6,28,1,31,0.03225806451612903,8,3,8,20,24,4,0.8333333333333334,4,0,0
2016-2017,2016020008,2016-10-13,CBJ,CBJ vs. BOS,L,HOME,3,6,3,6,9,6,29,1,31,0.0967741935483871,15,5,9,31,36,5,0.8611111111111112,5,0,0
2016-2017,2016020003,2016-10-13,CGY,CGY @ EDM,L,AWAY,4,7,4,6,10,19,24,1,41,0.0975609756097561,13,5,11,21,27,6,0.7777777777777778,5,1,0
2016-2017,2016020002,2016-10-13,CHI,CHI vs. STL,L,HOME,2,5,2,4,6,10,22,1,19,0.10526315789473684,8,10,10,29,32,3,0.90625,0,3,0
2016-2017,2016020009,2016-10-13,DET,DET @ TBL,L,AWAY,4,6,4,7,11,34,22,1,32,0.125,20,3,9,30,35,5,0.8571428571428571,2,3,0
2016-2017,2016020003,2016-10-13,EDM,EDM vs. CGY,W,HOME,7,4,7,8,15,13,25,1,28,0.25,10,8,11,37,41,4,0.9024390243902439,1,1,0
2016-2017,2016020010,2016-10-13,FLA,FLA vs. NJD,W,HOME,2,1,2,3,5,14,20,0,34,0.058823529411764705,4,10,13,23,24,1,0.9583333333333334,1,0,0
2016-2017,2016020004,2016-10-13,LAK,LAK @ SJS,L,AWAY,1,2,1,2,3,6,41,1,22,0.045454545454545456,22,7,14,29,31,2,0.9354838709677419,1,1,0
2016-2017,2016020005,2016-10-13,MTL,MTL @ BUF,W,AWAY,4,1,4,7,11,22,14,0,24,0.16666666666666666,12,6,8,30,31,1,0.967741935483871,0,1,0
2016-2017,2016020010,2016-10-13,NJD,NJD @ FLA,L,AWAY,1,2,1,2,3,16,18,0,24,0.041666666666666664,16,8,13,32,34,2,0.9411764705882353,2,0,0
2016-2017,2016020006,2016-10-13,NYI,NYI @ NYR,L,AWAY,3,5,3,6,9,10,31,0,28,0.10714285714285714,19,4,9,34,38,4,0.8947368421052632,3,1,0
2016-2017,2016020006,2016-10-13,NYR,NYR vs. NYI,W,HOME,5,3,5,9,14,6,24,1,39,0.1282051282051282,16,11,13,25,28,3,0.8928571428571429,3,0,0
2016-2017,2016020004,2016-10-13,SJS,SJS vs. LAK,W,HOME,2,1,2,4,6,4,24,1,31,0.06451612903225806,21,15,18,21,22,1,0.9545454545454546,0,1,0
2016-2017,2016020002,2016-10-13,STL,STL @ CHI,W,AWAY,5,2,5,8,13,8,27,3,33,0.15151515151515152,15,6,12,17,19,2,0.8947368421052632,1,1,0
2016-2017,2016020009,2016-10-13,TBL,TBL vs. DET,W,HOME,6,4,6,7,13,20,22,3,36,0.16666666666666666,9,9,10,28,32,4,0.875,3,1,0
2016-2017,2016020013,2016-10-14,ANA,ANA @ DAL,L,AWAY,2,4,2,2,4,8,19,0,35,0.05714285714285714,13,4,3,16,20,4,0.8,4,0,0
2016-2017,2016020012,2016-10-14,CAR,CAR @ WPG,L,AWAY,4,5,4,5,9,12,15,2,27,0.14814814814814814,10,7,11,21,26,5,0.8076923076923077,3,1,0
2016-2017,2016020013,2016-10-14,DAL,DAL vs. ANA,W,HOME,4,2,4,8,12,10,20,0,20,0.2,10,6,8,33,35,2,0.9428571428571428,1,0,0
2016-2017,2016020011,2016-10-14,MIN,MIN @ STL,L,AWAY,2,3,2,2,4,20,19,0,21,0.09523809523809523,12,6,1,28,31,3,0.9032258064516129,3,0,0
2016-2017,2016020007,2016-10-14,PIT,PIT vs. WSH,W,HOME,3,2,2,3,5,11,35,1,30,0.06666666666666667,15,9,10,39,41,2,0.9512195121951219,2,0,0
2016-2017,2016020011,2016-10-14,STL,STL vs. MIN,W,HOME,3,2,3,6,9,14,21,0,31,0.0967741935483871,17,8,3,19,21,2,0.9047619047619048,2,0,0
2016-2017,2016020012,2016-10-14,WPG,WPG vs. CAR,W,HOME,5,4,5,7,12,10,18,1,26,0.19230769230769232,12,9,13,23,27,4,0.8518518518518519,2,2,0
2016-2017,2016020007,2016-10-14,WSH,WSH @ PIT,L,AWAY,2,3,2,4,6,7,21,0,41,0.04878048780487805,15,4,5,28,30,2,0.9333333333333333,1,1,0
2016-2017,2016020021,2016-10-15,ANA,ANA @ PIT,L,AWAY,2,3,2,3,5,6,34,1,36,0.05555555555555555,10,1,2,42,45,3,0.9333333333333333,2,1,0
2016-2017,2016020017,2016-10-15,BOS,BOS @ TOR,L,AWAY,1,4,1,2,3,16,24,1,25,0.04,13,11,11,20,24,4,0.8333333333333334,4,0,0
2016-2017,2016020023,2016-10-15,CBJ,CBJ vs. SJS,L,HOME,2,3,2,3,5,10,15,1,28,0.07142857142857142,12,4,5,35,37,2,0.9459459459459459,2,0,0
2016-2017,2016020015,2016-10-15,CGY,CGY vs. EDM,L,HOME,3,5,3,4,7,12,10,0,35,0.08571428571428572,11,5,9,24,28,4,0.8571428571428571,1,2,0
2016-2017,2016020014,2016-10-15,CHI,CHI @ NSH,L,AWAY,2,3,2,4,6,24,11,0,24,0.08333333333333333,8,2,5,24,27,3,0.8888888888888888,0,3,0
2016-2017,2016020020,2016-10-15,DET,DET @ FLA,L,AWAY,1,4,1,1,2,6,11,0,22,0.045454545454545456,8,5,6,34,37,3,0.918918918918919,3,0,0
2016-2017,2016020015,2016-10-15,EDM,EDM @ CGY,W,AWAY,5,3,5,8,13,14,10,2,29,0.1724137931034483,15,7,4,32,35,3,0.9142857142857143,3,0,0
2016-2017,2016020020,2016-10-15,FLA,FLA vs. DET,W,HOME,4,1,4,5,9,6,14,0,38,0.10526315789473684,15,16,14,21,22,1,0.9545454545454546,1,0,0
2016-2017,2016020016,2016-10-15,LAK,LAK vs. PHI,L,HOME,2,4,2,3,5,6,32,0,25,0.08,13,1,10,26,30,4,0.8666666666666667,4,0,0
2016-2017,2016020024,2016-10-15,MIN,MIN vs. WPG,W,HOME,4,3,4,6,10,13,20,1,31,0.12903225806451613,16,6,9,14,17,3,0.8235294117647058,3,0,0
2016-2017,2016020018,2016-10-15,MTL,MTL @ OTT,L,AWAY,3,4,3,6,9,10,28,1,24,0.125,11,4,8,35,38,3,0.9210526315789473,3,0,0
2016-2017,2016020019,2016-10-15,NJD,NJD @ TBL,L,AWAY,2,3,2,2,4,8,27,0,34,0.058823529411764705,12,7,2,31,34,3,0.9117647058823529,3,0,0
2016-2017,2016020014,2016-10-15,NSH,NSH vs. CHI,W,HOME,3,2,3,6,9,20,19,3,27,0.1111111111111111,19,8,7,22,24,2,0.9166666666666666,2,0,0
2016-2017,2016020022,2016-10-15,NYI,NYI @ WSH,L,AWAY,1,2,1,2,3,10,26,1,22,0.045454545454545456,20,6,5,26,28,2,0.9285714285714286,2,0,0
2016-2017,2016020018,2016-10-15,OTT,OTT vs. MTL,W,HOME,4,3,3,6,9,10,31,0,38,0.07894736842105263,15,5,8,21,24,3,0.875,2,1,0
2016-2017,2016020016,2016-10-15,PHI,PHI @ LAK,W,AWAY,4,2,4,8,12,6,29,0,30,0.13333333333333333,16,2,10,23,25,2,0.92,2,0,0
2016-2017,2016020021,2016-10-15,PIT,PIT vs. ANA,W,HOME,3,2,3,5,8,6,25,1,45,0.06666666666666667,13,8,0,34,36,2,0.9444444444444444,1,1,0
2016-2017,2016020023,2016-10-15,SJS,SJS @ CBJ,W,AWAY,3,2,3,6,9,4,11,1,38,0.07894736842105263,17,2,0,26,28,2,0.9285714285714286,1,1,0
2016-2017,2016020019,2016-10-15,TBL,TBL vs. NJD,W,HOME,3,2,3,6,9,10,27,0,34,0.08823529411764706,11,11,5,32,34,2,0.9411764705882353,2,0,0
2016-2017,2016020017,2016-10-15,TOR,TOR vs. BOS,W,HOME,4,1,4,8,12,18,28,0,24,0.16666666666666666,18,9,9,24,25,1,0.96,0,1,0
2016-2017,2016020024,2016-10-15,WPG,WPG @ MIN,L,AWAY,3,4,3,4,7,15,13,0,17,0.17647058823529413,11,2,5,27,31,4,0.8709677419354839,3,1,0
