SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2019-2020,2019020001,2019-10-02,OTT,OTT @ TOR,L,AWAY,3,5,3,6,9,10,44,0,26,0.11538461538461539,17,7,7,37,42,5,0.8809523809523809,4,1,0
2019-2020,2019020001,2019-10-02,TOR,TOR vs. OTT,W,HOME,5,3,5,9,14,6,17,1,42,0.11904761904761904,9,13,10,23,26,3,0.8846153846153846,3,0,0
2019-2020,2019020007,2019-10-03,BUF,BUF @ PIT,W,AWAY,3,1,3,5,8,10,35,1,41,0.07317073170731707,19,4,6,28,29,1,0.9655172413793104,0,1,0
2019-2020,2019020008,2019-10-03,CAR,CAR vs. MTL,W,HOME,4,3,3,5,8,6,23,1,43,0.06976744186046512,12,13,13,33,36,3,0.9166666666666666,2,1,0
2019-2020,2019020003,2019-10-03,EDM,EDM vs. VAN,W,HOME,3,2,3,6,9,4,24,0,22,0.13636363636363635,18,12,16,31,33,2,0.9393939393939394,2,0,0
2019-2020,2019020005,2019-10-03,FLA,FLA @ TBL,L,AWAY,2,5,2,3,5,6,14,0,37,0.05405405405405406,15,6,7,25,29,4,0.8620689655172413,3,1,0
2019-2020,2019020008,2019-10-03,MTL,MTL @ CAR,L,AWAY,3,4,3,4,7,2,31,1,36,0.08333333333333333,13,10,15,40,43,3,0.9302325581395349,2,1,0
2019-2020,2019020006,2019-10-03,NYR,NYR vs. WPG,W,HOME,6,4,6,11,17,10,24,1,32,0.1875,18,13,23,43,47,4,0.9148936170212766,3,1,0
2019-2020,2019020007,2019-10-03,PIT,PIT vs. BUF,L,HOME,1,3,1,2,3,4,42,1,29,0.034482758620689655,18,7,17,38,41,3,0.926829268292683,2,1,0
2019-2020,2019020004,2019-10-03,SJS,SJS @ VGK,L,AWAY,1,4,1,2,3,8,40,0,22,0.045454545454545456,12,8,8,31,35,4,0.8857142857142857,2,1,0
2019-2020,2019020002,2019-10-03,STL,STL vs. WSH,L,HOME,2,3,2,4,6,6,23,1,22,0.09090909090909091,12,9,10,31,34,3,0.9117647058823529,2,1,0
2019-2020,2019020005,2019-10-03,TBL,TBL vs. FLA,W,HOME,5,2,5,9,14,8,17,1,30,0.16666666666666666,15,7,6,35,37,2,0.9459459459459459,1,0,0
2019-2020,2019020003,2019-10-03,VAN,VAN @ EDM,L,AWAY,2,3,2,4,6,2,21,0,33,0.06060606060606061,17,6,9,19,22,3,0.8636363636363636,3,0,0
2019-2020,2019020004,2019-10-03,VGK,VGK vs. SJS,W,HOME,4,1,4,4,8,10,32,1,35,0.11428571428571428,12,15,18,21,22,1,0.9545454545454546,1,0,0
2019-2020,2019020006,2019-10-03,WPG,WPG @ NYR,L,AWAY,4,6,4,7,11,2,31,1,47,0.0851063829787234,10,5,11,26,31,5,0.8387096774193549,4,1,0
2019-2020,2019020002,2019-10-03,WSH,WSH @ STL,W,AWAY,3,2,3,6,9,4,25,1,34,0.08823529411764706,6,8,5,20,22,2,0.9090909090909091,1,1,0
2019-2020,2019020012,2019-10-04,ANA,ANA vs. ARI,W,HOME,2,1,2,4,6,2,26,0,29,0.06896551724137931,20,13,12,32,33,1,0.9696969696969697,1,0,0
