SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2011-2012,2011020001,2011-10-06,BOS,BOS vs. PHI,L,HOME,1,2,1,2,3,10,19,1,23,0.043478260869565216,9,8,11,27,29,2,0.9310344827586207,1,1,0
2011-2012,2011020002,2011-10-06,MTL,MTL @ TOR,L,AWAY,0,2,0,0,0,6,10,0,32,0.0,12,4,10,16,18,2,0.8888888888888888,1,0,0
2011-2012,2011020001,2011-10-06,PHI,PHI @ BOS,W,AWAY,2,1,2,4,6,14,17,1,29,0.06896551724137931,17,2,5,22,23,1,0.9565217391304348,0,1,0
2011-2012,2011020002,2011-10-06,TOR,TOR vs. MTL,W,HOME,2,0,2,4,6,10,15,0,18,0.1111111111111111,20,8,12,32,32,0,1.0,0,0,0
2011-2012,2011020007,2011-10-07,ANA,ANA @ BUF,L,AWAY,1,4,1,1,2,12,25,0,30,0.03333333333333333,11,7,15,21,25,4,0.84,2,2,0
2011-2012,2011020007,2011-10-07,BUF,BUF vs. ANA,W,HOME,4,1,4,8,12,14,18,2,25,0.16,17,5,13,29,30,1,0.9666666666666667,1,0,0
2011-2012,2011020004,2011-10-07,CAR,CAR vs. TBL,L,HOME,1,5,1,2,3,12,23,0,33,0.030303030303030304,17,5,6,29,34,5,0.8529411764705882,3,2,0
2011-2012,2011020006,2011-10-07,CBJ,CBJ vs. NSH,L,HOME,2,3,2,4,6,6,23,0,34,0.058823529411764705,10,12,11,28,31,3,0.9032258064516129,2,1,0
2011-2012,2011020005,2011-10-07,DET,DET vs. OTT,W,HOME,5,3,5,7,12,6,27,0,39,0.1282051282051282,15,7,4,29,32,3,0.90625,1,2,0
2011-2012,2011020009,2011-10-07,LAK,LAK vs. NYR,W,HOME,3,2,3,5,8,7,26,1,30,0.1,16,5,9,24,26,2,0.9230769230769231,2,0,0
2011-2012,2011020006,2011-10-07,NSH,NSH @ CBJ,W,AWAY,3,2,3,5,8,10,10,1,31,0.0967741935483871,21,10,2,32,34,2,0.9411764705882353,2,0,0
2011-2012,2011020009,2011-10-07,NYR,NYR @ LAK,L,AWAY,2,3,2,4,6,25,23,0,26,0.07692307692307693,7,9,1,27,30,3,0.9,2,1,0
2011-2012,2011020005,2011-10-07,OTT,OTT @ DET,L,AWAY,3,5,3,6,9,10,37,2,32,0.09375,8,4,7,34,39,5,0.8717948717948718,5,0,0
2011-2012,2011020003,2011-10-07,PIT,PIT @ VAN,W,AWAY,4,3,3,5,8,6,26,2,28,0.10714285714285714,17,14,5,33,36,3,0.9166666666666666,3,0,0
2011-2012,2011020004,2011-10-07,TBL,TBL @ CAR,W,AWAY,5,1,5,9,14,10,13,2,34,0.14705882352941177,23,7,3,32,33,1,0.9696969696969697,1,0,0
2011-2012,2011020003,2011-10-07,VAN,VAN vs. PIT,L,HOME,3,4,3,4,7,6,31,0,36,0.08333333333333333,10,17,14,25,28,3,0.8928571428571429,0,2,0
