SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2015-2016,2015020001,2015-10-07,MTL,MTL @ TOR,W,AWAY,3,1,3,5,8,8,26,0,29,0.10344827586206896,15,6,9,36,37,1,0.972972972972973,0,1,0
2015-2016,2015020001,2015-10-07,TOR,TOR vs. MTL,L,HOME,1,3,1,2,3,4,26,1,37,0.02702702702702703,9,7,4,26,28,2,0.9285714285714286,2,0,0
2015-2016,2015020005,2015-10-08,BOS,BOS vs. WPG,L,HOME,2,6,2,2,4,2,31,0,31,0.06451612903225806,9,4,11,26,31,5,0.8387096774193549,5,0,0
2015-2016,2015020006,2015-10-08,BUF,BUF vs. OTT,L,HOME,1,3,1,2,3,0,11,1,27,0.037037037037037035,10,6,8,19,21,2,0.9047619047619048,2,0,0
2015-2016,2015020003,2015-10-08,CGY,CGY vs. VAN,L,HOME,1,5,1,2,3,38,28,0,30,0.03333333333333333,10,11,4,39,44,5,0.8863636363636364,5,0,0
2015-2016,2015020002,2015-10-08,CHI,CHI vs. NYR,L,HOME,2,3,2,4,6,2,25,0,34,0.058823529411764705,3,3,11,24,27,3,0.8888888888888888,3,0,0
2015-2016,2015020004,2015-10-08,LAK,LAK vs. SJS,L,HOME,1,5,1,2,3,36,33,0,20,0.05,10,2,6,27,32,5,0.84375,3,2,0
2015-2016,2015020002,2015-10-08,NYR,NYR @ CHI,W,AWAY,3,2,3,6,9,4,43,0,27,0.1111111111111111,15,10,12,32,34,2,0.9411764705882353,2,0,0
2015-2016,2015020006,2015-10-08,OTT,OTT @ BUF,W,AWAY,3,1,3,6,9,6,22,0,22,0.13636363636363635,13,4,3,26,27,1,0.9629629629629629,0,1,0
2015-2016,2015020007,2015-10-08,PHI,PHI @ TBL,L,AWAY,2,3,2,4,6,6,26,1,25,0.08,6,6,7,29,32,3,0.90625,2,1,0
2015-2016,2015020004,2015-10-08,SJS,SJS @ LAK,W,AWAY,5,1,5,9,14,24,19,2,32,0.15625,13,1,2,19,20,1,0.95,1,0,0
2015-2016,2015020007,2015-10-08,TBL,TBL vs. PHI,W,HOME,3,2,3,6,9,6,25,1,32,0.09375,14,7,14,23,25,2,0.92,1,1,0
2015-2016,2015020003,2015-10-08,VAN,VAN @ CGY,W,AWAY,5,1,5,7,12,36,16,0,44,0.11363636363636363,13,5,2,29,30,1,0.9666666666666667,1,0,0
2015-2016,2015020005,2015-10-08,WPG,WPG @ BOS,W,AWAY,6,2,6,8,14,6,32,0,32,0.1875,13,7,8,29,31,2,0.9354838709677419,2,0,0
2015-2016,2015020009,2015-10-09,CAR,CAR @ NSH,L,AWAY,1,2,1,1,2,6,11,0,26,0.038461538461538464,9,5,5,23,25,2,0.92,1,1,0
2015-2016,2015020013,2015-10-09,CBJ,CBJ vs. NYR,L,HOME,2,4,2,3,5,6,25,1,33,0.06060606060606061,8,6,6,21,25,4,0.84,4,0,0
2015-2016,2015020015,2015-10-09,CHI,CHI @ NYI,W,AWAY,3,2,3,4,7,2,22,1,35,0.08571428571428572,20,14,13,34,36,2,0.9444444444444444,2,0,0
2015-2016,2015020011,2015-10-09,COL,COL vs. MIN,L,HOME,4,5,4,8,12,6,25,2,23,0.17391304347826086,29,6,6,25,30,5,0.8333333333333334,4,1,0
2015-2016,2015020010,2015-10-09,DAL,DAL vs. PIT,W,HOME,3,0,3,4,7,6,23,2,24,0.125,18,11,13,37,37,0,1.0,0,0,0
2015-2016,2015020014,2015-10-09,DET,DET vs. TOR,W,HOME,4,0,4,8,12,6,24,1,22,0.18181818181818182,8,4,8,22,22,0,1.0,0,0,0
2015-2016,2015020008,2015-10-09,EDM,EDM @ STL,L,AWAY,1,3,1,0,1,13,14,1,24,0.041666666666666664,13,3,3,28,30,2,0.9333333333333333,2,0,0
2015-2016,2015020011,2015-10-09,MIN,MIN @ COL,W,AWAY,5,4,5,9,14,6,16,1,30,0.16666666666666666,12,9,3,19,23,4,0.8260869565217391,2,2,0
2015-2016,2015020012,2015-10-09,NJD,NJD vs. WPG,L,HOME,1,3,1,2,3,8,17,1,21,0.047619047619047616,6,8,4,27,30,3,0.9,2,1,0
