SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2022-2023,2022020001,2022-10-07,NSH,NSH vs. SJS,W,HOME,4,1,4,8,12,13,23,0,32,0.125,11,4,3,30,31,1,0.967741935483871,1,0,0
2022-2023,2022020001,2022-10-07,SJS,SJS @ NSH,L,AWAY,1,4,1,2,3,13,22,0,31,0.03225806451612903,23,3,7,28,31,3,0.9032258064516129,3,0,0
2022-2023,2022020002,2022-10-08,NSH,NSH @ SJS,W,AWAY,3,2,3,6,9,8,33,0,18,0.16666666666666666,23,11,7,31,33,2,0.9393939393939394,1,1,0
2022-2023,2022020002,2022-10-08,SJS,SJS vs. NSH,L,HOME,2,3,2,4,6,6,23,1,33,0.06060606060606061,16,6,9,15,18,3,0.8333333333333334,3,0,0
2022-2023,2022020003,2022-10-11,NYR,NYR vs. TBL,W,HOME,3,1,3,6,9,12,24,1,39,0.07692307692307693,12,19,17,25,26,1,0.9615384615384616,0,1,0
2022-2023,2022020003,2022-10-11,TBL,TBL @ NYR,L,AWAY,1,3,1,2,3,8,19,1,26,0.038461538461538464,22,8,13,36,39,3,0.9230769230769231,1,1,0
2022-2023,2022020005,2022-10-12,BOS,BOS @ WSH,W,AWAY,5,2,5,8,13,8,32,1,30,0.16666666666666666,20,6,8,33,35,2,0.9428571428571428,2,0,0
2022-2023,2022020006,2022-10-12,CAR,CAR vs. CBJ,W,HOME,4,1,4,6,10,4,22,0,43,0.09302325581395349,9,18,13,31,32,1,0.96875,1,0,0
2022-2023,2022020006,2022-10-12,CBJ,CBJ @ CAR,L,AWAY,1,4,1,1,2,4,26,0,32,0.03125,22,10,10,39,43,4,0.9069767441860465,4,0,0
2022-2023,2022020004,2022-10-12,LAK,LAK vs. VGK,L,HOME,3,4,3,6,9,10,23,0,30,0.1,22,7,15,47,51,4,0.9215686274509803,3,1,0
2022-2023,2022020007,2022-10-12,MTL,MTL vs. TOR,W,HOME,4,3,4,5,9,8,19,0,23,0.17391304347826086,23,8,22,29,32,3,0.90625,3,0,0
2022-2023,2022020007,2022-10-12,TOR,TOR @ MTL,L,AWAY,3,4,3,6,9,8,19,0,32,0.09375,15,12,11,19,23,4,0.8260869565217391,4,0,0
2022-2023,2022020004,2022-10-12,VGK,VGK @ LAK,W,AWAY,4,3,4,7,11,6,25,1,51,0.0784313725490196,13,2,2,27,30,3,0.9,3,0,0
2022-2023,2022020005,2022-10-12,WSH,WSH vs. BOS,L,HOME,2,5,2,3,5,6,48,0,35,0.05714285714285714,13,7,16,25,29,4,0.8620689655172413,3,1,0
2022-2023,2022020009,2022-10-13,ANA,ANA vs. SEA,W,HOME,5,4,5,8,13,15,15,2,27,0.18518518518518517,16,6,10,44,48,4,0.9166666666666666,1,3,0
2022-2023,2022020011,2022-10-13,ARI,ARI @ PIT,L,AWAY,2,6,2,4,6,12,35,2,28,0.07142857142857142,9,9,5,47,53,6,0.8867924528301887,4,2,0
2022-2023,2022020013,2022-10-13,BUF,BUF vs. OTT,W,HOME,4,1,4,4,8,8,9,0,36,0.1111111111111111,11,4,9,35,36,1,0.9722222222222222,1,0,0
2022-2023,2022020008,2022-10-13,CHI,CHI @ COL,L,AWAY,2,5,2,4,6,17,33,2,17,0.11764705882352941,15,4,3,30,35,5,0.8571428571428571,1,4,0
2022-2023,2022020008,2022-10-13,COL,COL vs. CHI,W,HOME,5,2,5,10,15,11,32,4,35,0.14285714285714285,12,4,6,15,17,2,0.8823529411764706,0,2,0
2022-2023,2022020010,2022-10-13,EDM,EDM vs. VAN,W,HOME,5,3,5,8,13,14,38,3,25,0.2,16,11,17,33,36,3,0.9166666666666666,2,1,0
2022-2023,2022020014,2022-10-13,FLA,FLA @ NYI,W,AWAY,3,1,3,3,6,8,15,0,29,0.10344827586206896,13,5,12,32,33,1,0.9696969696969697,0,1,0
2022-2023,2022020012,2022-10-13,NJD,NJD @ PHI,L,AWAY,2,5,2,3,5,8,18,1,37,0.05405405405405406,9,6,8,20,24,4,0.8333333333333334,3,1,0
2022-2023,2022020014,2022-10-13,NYI,NYI vs. FLA,L,HOME,1,3,1,2,3,12,37,1,33,0.030303030303030304,25,8,19,26,28,2,0.9285714285714286,2,0,0
2022-2023,2022020013,2022-10-13,OTT,OTT @ BUF,L,AWAY,1,4,1,2,3,8,18,0,36,0.027777777777777776,10,6,3,32,34,2,0.9411764705882353,2,0,0
2022-2023,2022020012,2022-10-13,PHI,PHI vs. NJD,W,HOME,5,2,5,10,15,8,28,1,25,0.2,28,2,12,35,37,2,0.9459459459459459,1,1,0
2022-2023,2022020011,2022-10-13,PIT,PIT vs. ARI,W,HOME,6,2,6,12,18,12,30,2,53,0.11320754716981132,15,4,5,26,28,2,0.9285714285714286,0,2,0
2022-2023,2022020009,2022-10-13,SEA,SEA @ ANA,L,AWAY,4,5,4,7,11,11,22,3,48,0.08333333333333333,12,4,5,22,27,5,0.8148148148148148,3,2,0
2022-2023,2022020015,2022-10-13,TOR,TOR vs. WSH,W,HOME,3,2,3,6,9,10,37,1,39,0.07692307692307693,17,10,13,24,26,2,0.9230769230769231,2,0,0
2022-2023,2022020010,2022-10-13,VAN,VAN @ EDM,L,AWAY,3,5,3,4,7,6,31,1,36,0.08333333333333333,17,9,8,20,24,4,0.8333333333333334,1,2,0
2022-2023,2022020015,2022-10-13,WSH,WSH @ TOR,L,AWAY,2,3,2,4,6,6,33,0,26,0.07692307692307693,9,10,14,36,39,3,0.9230769230769231,2,1,0
2022-2023,2022020021,2022-10-14,CBJ,CBJ vs. TBL,L,HOME,2,5,2,4,6,4,22,0,28,0.07142857142857142,13,3,5,34,39,5,0.8717948717948718,4,1,0
2022-2023,2022020018,2022-10-14,CGY,CGY vs. COL,W,HOME,5,3,5,7,12,10,26,2,27,0.18518518518518517,10,11,10,22,25,3,0.88,2,1,0
2022-2023,2022020019,2022-10-14,CHI,CHI @ VGK,L,AWAY,0,1,0,0,0,6,41,0,27,0.0,22,10,8,36,37,1,0.972972972972973,1,0,0
2022-2023,2022020018,2022-10-14,COL,COL @ CGY,L,AWAY,3,5,3,4,7,14,17,1,25,0.12,15,9,9,22,27,5,0.8148148148148148,2,2,0
2022-2023,2022020016,2022-10-14,DAL,DAL @ NSH,W,AWAY,4,1,4,7,11,15,30,2,29,0.13793103448275862,17,8,9,31,32,1,0.96875,1,0,0
2022-2023,2022020022,2022-10-14,DET,DET vs. MTL,W,HOME,3,0,3,6,9,6,38,0,40,0.075,16,6,12,29,29,0,1.0,0,0,0
2022-2023,2022020020,2022-10-14,LAK,LAK vs. SEA,L,HOME,1,4,1,0,1,17,28,1,27,0.037037037037037035,9,2,12,18,21,3,0.8571428571428571,2,1,0
2022-2023,2022020017,2022-10-14,MIN,MIN vs. NYR,L,HOME,3,7,3,4,7,19,20,1,36,0.08333333333333333,13,9,5,28,35,7,0.8,6,1,0
2022-2023,2022020022,2022-10-14,MTL,MTL @ DET,L,AWAY,0,3,0,0,0,6,24,0,29,0.0,16,3,9,37,38,1,0.9736842105263158,1,0,0
