SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2020-2021,2020020001,2021-01-13,PHI,PHI vs. PIT,HOME,W,6,3
2020-2021,2020020001,2021-01-13,PIT,PIT @ PHI,AWAY,L,3,6
2020-2021,2020020002,2021-01-14,CHI,CHI @ TBL,AWAY,L,1,5
2020-2021,2020020005,2021-01-14,COL,COL vs. STL,HOME,L,1,4
2020-2021,2020020004,2021-01-14,EDM,EDM vs. VAN,HOME,L,3,5
2020-2021,2020020003,2021-01-14,MTL,MTL @ TOR,AWAY,L,4,5
2020-2021,2020020005,2021-01-14,STL,STL @ COL,AWAY,W,4,1
2020-2021,2020020002,2021-01-14,TBL,TBL vs. CHI,HOME,W,5,1
2020-2021,2020020003,2021-01-14,TOR,TOR vs. MTL,HOME,W,5,4
2020-2021,2020020004,2021-01-14,VAN,VAN @ EDM,AWAY,W,5,3
2020-2021,2020020015,2021-01-15,ANA,ANA @ VGK,AWAY,L,2,5
2020-2021,2020020014,2021-01-15,ARI,ARI vs. SJS,HOME,L,3,4
2020-2021,2020020007,2021-01-15,BOS,BOS @ NJD,AWAY,W,3,2
2020-2021,2020020006,2021-01-15,BUF,BUF vs. WSH,HOME,L,4,6
2020-2021,2020020010,2021-01-15,CAR,CAR @ DET,AWAY,W,3,0
2020-2021,2020020011,2021-01-15,CBJ,CBJ @ NSH,AWAY,L,1,3
2020-2021,2020020012,2021-01-15,CGY,CGY @ WPG,AWAY,L,3,4
2020-2021,2020020010,2021-01-15,DET,DET vs. CAR,HOME,L,0,3
2020-2021,2020020013,2021-01-15,EDM,EDM vs. VAN,HOME,W,5,2
2020-2021,2020020016,2021-01-15,LAK,LAK vs. MIN,HOME,L,3,4
2020-2021,2020020016,2021-01-15,MIN,MIN @ LAK,AWAY,W,4,3
2020-2021,2020020007,2021-01-15,NJD,NJD vs. BOS,HOME,L,2,3
2020-2021,2020020011,2021-01-15,NSH,NSH vs. CBJ,HOME,W,3,1
2020-2021,2020020008,2021-01-15,NYI,NYI @ NYR,AWAY,W,4,0
2020-2021,2020020008,2021-01-15,NYR,NYR vs. NYI,HOME,L,0,4
2020-2021,2020020014,2021-01-15,SJS,SJS @ ARI,AWAY,W,4,3
2020-2021,2020020013,2021-01-15,VAN,VAN @ EDM,AWAY,L,2,5
2020-2021,2020020015,2021-01-15,VGK,VGK vs. ANA,HOME,W,5,2
2020-2021,2020020012,2021-01-15,WPG,WPG vs. CGY,HOME,W,4,3
2020-2021,2020020006,2021-01-15,WSH,WSH @ BUF,AWAY,W,6,4
2020-2021,2020020030,2021-01-16,ARI,ARI vs. SJS,HOME,W,5,3
2020-2021,2020020023,2021-01-16,BOS,BOS @ NJD,AWAY,L,1,2
