SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2019-2020,2019020001,2019-10-02,OTT,OTT @ TOR,AWAY,L,3,5
2019-2020,2019020001,2019-10-02,TOR,TOR vs. OTT,HOME,W,5,3
2019-2020,2019020007,2019-10-03,BUF,BUF @ PIT,AWAY,W,3,1
2019-2020,2019020008,2019-10-03,CAR,CAR vs. MTL,HOME,W,4,3
2019-2020,2019020003,2019-10-03,EDM,EDM vs. VAN,HOME,W,3,2
2019-2020,2019020005,2019-10-03,FLA,FLA @ TBL,AWAY,L,2,5
2019-2020,2019020008,2019-10-03,MTL,MTL @ CAR,AWAY,L,3,4
2019-2020,2019020006,2019-10-03,NYR,NYR vs. WPG,HOME,W,6,4
2019-2020,2019020007,2019-10-03,PIT,PIT vs. BUF,HOME,L,1,3
2019-2020,2019020004,2019-10-03,SJS,SJS @ VGK,AWAY,L,1,4
2019-2020,2019020002,2019-10-03,STL,STL vs. WSH,HOME,L,2,3
2019-2020,2019020005,2019-10-03,TBL,TBL vs. FLA,HOME,W,5,2
2019-2020,2019020003,2019-10-03,VAN,VAN @ EDM,AWAY,L,2,3
2019-2020,2019020004,2019-10-03,VGK,VGK vs. SJS,HOME,W,4,1
2019-2020,2019020006,2019-10-03,WPG,WPG @ NYR,AWAY,L,4,6
2019-2020,2019020002,2019-10-03,WSH,WSH @ STL,AWAY,W,3,2
2019-2020,2019020012,2019-10-04,ANA,ANA vs. ARI,HOME,W,2,1
2019-2020,2019020012,2019-10-04,ARI,ARI @ ANA,AWAY,L,1,2
2019-2020,2019020010,2019-10-04,BOS,BOS @ DAL,AWAY,W,2,1
2019-2020,2019020015,2019-10-04,CBJ,CBJ vs. TOR,HOME,L,1,4
2019-2020,2019020011,2019-10-04,CGY,CGY @ COL,AWAY,L,3,5
2019-2020,2019020016,2019-10-04,CHI,CHI @ PHI,AWAY,L,3,4
2019-2020,2019020011,2019-10-04,COL,COL vs. CGY,HOME,W,5,3
2019-2020,2019020010,2019-10-04,DAL,DAL vs. BOS,HOME,L,1,2
2019-2020,2019020009,2019-10-04,MIN,MIN @ NSH,AWAY,L,2,5
2019-2020,2019020013,2019-10-04,NJD,NJD vs. WPG,HOME,L,4,5
2019-2020,2019020009,2019-10-04,NSH,NSH vs. MIN,HOME,W,5,2
2019-2020,2019020014,2019-10-04,NYI,NYI vs. WSH,HOME,L,1,2
2019-2020,2019020016,2019-10-04,PHI,PHI vs. CHI,HOME,W,4,3
2019-2020,2019020015,2019-10-04,TOR,TOR @ CBJ,AWAY,W,4,1
2019-2020,2019020013,2019-10-04,WPG,WPG @ NJD,AWAY,W,5,4
2019-2020,2019020014,2019-10-04,WSH,WSH @ NYI,AWAY,W,2,1
2019-2020,2019020018,2019-10-05,BUF,BUF vs. NJD,HOME,W,7,2
2019-2020,2019020023,2019-10-05,CAR,CAR @ WSH,AWAY,W,3,2
2019-2020,2019020022,2019-10-05,CBJ,CBJ @ PIT,AWAY,L,2,7
2019-2020,2019020021,2019-10-05,FLA,FLA vs. TBL,HOME,W,4,3
2019-2020,2019020019,2019-10-05,MTL,MTL @ TOR,AWAY,W,6,5
2019-2020,2019020018,2019-10-05,NJD,NJD @ BUF,AWAY,L,2,7
2019-2020,2019020020,2019-10-05,NYR,NYR @ OTT,AWAY,W,4,1
2019-2020,2019020020,2019-10-05,OTT,OTT vs. NYR,HOME,L,1,4
2019-2020,2019020022,2019-10-05,PIT,PIT vs. CBJ,HOME,W,7,2
2019-2020,2019020017,2019-10-05,SJS,SJS vs. VGK,HOME,L,1,5
2019-2020,2019020021,2019-10-05,TBL,TBL @ FLA,AWAY,L,3,4
2019-2020,2019020019,2019-10-05,TOR,TOR vs. MTL,HOME,L,5,6
2019-2020,2019020017,2019-10-05,VGK,VGK @ SJS,AWAY,W,5,1
2019-2020,2019020023,2019-10-05,WSH,WSH vs. CAR,HOME,L,2,3
2019-2020,2019020030,2019-10-06,ANA,ANA vs. SJS,HOME,W,3,1
2019-2020,2019020027,2019-10-06,ARI,ARI vs. BOS,HOME,L,0,1
2019-2020,2019020027,2019-10-06,BOS,BOS @ ARI,AWAY,W,1,0
2019-2020,2019020031,2019-10-06,CAR,CAR vs. TBL,HOME,W,4,3
2019-2020,2019020028,2019-10-06,CGY,CGY vs. VAN,HOME,W,3,0
2019-2020,2019020026,2019-10-06,COL,COL vs. MIN,HOME,W,4,2
2019-2020,2019020024,2019-10-06,DAL,DAL @ STL,AWAY,L,2,3
