SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2023-2024,2023020001,2023-10-10,NSH,NSH @ TBL,AWAY,L,3,5
2023-2024,2023020001,2023-10-10,TBL,TBL vs. NSH,HOME,W,5,3
2023-2024,2023020006,2023-10-11,BOS,BOS vs. CHI,HOME,W,3,1
2023-2024,2023020004,2023-10-11,CAR,CAR vs. OTT,HOME,W,5,3
2023-2024,2023020002,2023-10-11,CHI,CHI @ PIT,AWAY,W,4,2
2023-2024,2023020006,2023-10-11,CHI,CHI @ BOS,AWAY,L,1,3
2023-2024,2023020005,2023-10-11,MTL,MTL @ TOR,AWAY,L,5,6
2023-2024,2023020004,2023-10-11,OTT,OTT @ CAR,AWAY,L,3,5
2023-2024,2023020002,2023-10-11,PIT,PIT vs. CHI,HOME,L,2,4
2023-2024,2023020003,2023-10-11,SEA,SEA @ VGK,AWAY,L,1,4
2023-2024,2023020005,2023-10-11,TOR,TOR vs. MTL,HOME,W,6,5
2023-2024,2023020003,2023-10-11,VGK,VGK vs. SEA,HOME,W,4,1
2023-2024,2023020010,2023-10-12,BUF,BUF vs. NYR,HOME,L,1,5
2023-2024,2023020011,2023-10-12,CBJ,CBJ vs. PHI,HOME,L,2,4
2023-2024,2023020007,2023-10-12,CGY,CGY vs. WPG,HOME,W,5,3
2023-2024,2023020008,2023-10-12,COL,COL @ LAK,AWAY,W,5,2
2023-2024,2023020012,2023-10-12,DET,DET @ NJD,AWAY,L,3,4
2023-2024,2023020009,2023-10-12,EDM,EDM @ VAN,AWAY,L,1,8
2023-2024,2023020008,2023-10-12,LAK,LAK vs. COL,HOME,L,2,5
2023-2024,2023020012,2023-10-12,NJD,NJD vs. DET,HOME,W,4,3
2023-2024,2023020010,2023-10-12,NYR,NYR @ BUF,AWAY,W,5,1
2023-2024,2023020011,2023-10-12,PHI,PHI @ CBJ,AWAY,W,4,2
2023-2024,2023020009,2023-10-12,VAN,VAN vs. EDM,HOME,W,8,1
2023-2024,2023020007,2023-10-12,WPG,WPG @ CGY,AWAY,L,3,5
2023-2024,2023020017,2023-10-13,ARI,ARI @ NJD,AWAY,W,4,3
2023-2024,2023020013,2023-10-13,DAL,DAL vs. STL,HOME,W,2,1
2023-2024,2023020014,2023-10-13,FLA,FLA @ MIN,AWAY,L,0,2
2023-2024,2023020014,2023-10-13,MIN,MIN vs. FLA,HOME,W,2,0
2023-2024,2023020017,2023-10-13,NJD,NJD vs. ARI,HOME,L,3,4
2023-2024,2023020015,2023-10-13,NSH,NSH vs. SEA,HOME,W,3,0
2023-2024,2023020018,2023-10-13,PIT,PIT @ WSH,AWAY,W,4,0
2023-2024,2023020015,2023-10-13,SEA,SEA @ NSH,AWAY,L,0,3
2023-2024,2023020016,2023-10-13,SJS,SJS vs. VGK,HOME,L,1,4
2023-2024,2023020013,2023-10-13,STL,STL @ DAL,AWAY,L,1,2
2023-2024,2023020016,2023-10-13,VGK,VGK @ SJS,AWAY,W,4,1
2023-2024,2023020018,2023-10-13,WSH,WSH vs. PIT,HOME,L,0,4
2023-2024,2023020021,2023-10-14,BOS,BOS vs. NSH,HOME,W,3,2
2023-2024,2023020027,2023-10-14,BUF,BUF @ NYI,AWAY,L,2,3
2023-2024,2023020022,2023-10-14,CBJ,CBJ vs. NYR,HOME,W,5,3
2023-2024,2023020025,2023-10-14,CGY,CGY @ PIT,AWAY,L,2,5
2023-2024,2023020024,2023-10-14,CHI,CHI @ MTL,AWAY,L,2,3
2023-2024,2023020023,2023-10-14,DET,DET vs. TBL,HOME,W,6,4
2023-2024,2023020020,2023-10-14,FLA,FLA @ WPG,AWAY,L,4,6
2023-2024,2023020026,2023-10-14,MIN,MIN @ TOR,AWAY,L,4,7
2023-2024,2023020024,2023-10-14,MTL,MTL vs. CHI,HOME,W,3,2
2023-2024,2023020021,2023-10-14,NSH,NSH @ BOS,AWAY,L,2,3
2023-2024,2023020027,2023-10-14,NYI,NYI vs. BUF,HOME,W,3,2
2023-2024,2023020022,2023-10-14,NYR,NYR @ CBJ,AWAY,L,3,5
2023-2024,2023020019,2023-10-14,OTT,OTT vs. PHI,HOME,W,5,2
2023-2024,2023020019,2023-10-14,PHI,PHI @ OTT,AWAY,L,2,5
2023-2024,2023020025,2023-10-14,PIT,PIT vs. CGY,HOME,W,5,2
2023-2024,2023020023,2023-10-14,TBL,TBL @ DET,AWAY,L,4,6
2023-2024,2023020026,2023-10-14,TOR,TOR vs. MIN,HOME,W,7,4
2023-2024,2023020020,2023-10-14,WPG,WPG vs. FLA,HOME,W,6,4
2023-2024,2023020031,2023-10-15,ANA,ANA @ VGK,AWAY,L,1,4
2023-2024,2023020032,2023-10-15,CAR,CAR @ LAK,AWAY,W,6,5
2023-2024,2023020030,2023-10-15,COL,COL @ SJS,AWAY,W,2,1
2023-2024,2023020029,2023-10-15,EDM,EDM vs. VAN,HOME,L,3,4
2023-2024,2023020032,2023-10-15,LAK,LAK vs. CAR,HOME,L,5,6
2023-2024,2023020033,2023-10-15,OTT,OTT vs. TBL,HOME,W,5,2
2023-2024,2023020028,2023-10-15,SEA,SEA @ STL,AWAY,L,1,2
2023-2024,2023020030,2023-10-15,SJS,SJS vs. COL,HOME,L,1,2
2023-2024,2023020028,2023-10-15,STL,STL vs. SEA,HOME,W,2,1
2023-2024,2023020033,2023-10-15,TBL,TBL @ OTT,AWAY,L,2,5
2023-2024,2023020029,2023-10-15,VAN,VAN @ EDM,AWAY,W,4,3
2023-2024,2023020031,2023-10-15,VGK,VGK vs. ANA,HOME,W,4,1
2023-2024,2023020034,2023-10-16,ANA,ANA vs. CAR,HOME,W,6,3
2023-2024,2023020037,2023-10-16,ARI,ARI @ NYR,AWAY,L,1,2
2023-2024,2023020034,2023-10-16,CAR,CAR @ ANA,AWAY,L,3,6
2023-2024,2023020035,2023-10-16,CBJ,CBJ vs. DET,HOME,L,0,4
2023-2024,2023020039,2023-10-16,CGY,CGY @ WSH,AWAY,L,2,3
2023-2024,2023020038,2023-10-16,CHI,CHI @ TOR,AWAY,W,4,1
2023-2024,2023020035,2023-10-16,DET,DET @ CBJ,AWAY,W,4,0
2023-2024,2023020036,2023-10-16,FLA,FLA @ NJD,AWAY,W,4,3
2023-2024,2023020036,2023-10-16,NJD,NJD vs. FLA,HOME,L,3,4
2023-2024,2023020037,2023-10-16,NYR,NYR vs. ARI,HOME,W,2,1
2023-2024,2023020038,2023-10-16,TOR,TOR vs. CHI,HOME,L,1,4
2023-2024,2023020039,2023-10-16,WSH,WSH vs. CGY,HOME,W,3,2
2023-2024,2023020043,2023-10-17,ARI,ARI @ NYI,AWAY,L,0,1
2023-2024,2023020040,2023-10-17,BUF,BUF vs. TBL,HOME,W,3,2
2023-2024,2023020041,2023-10-17,MIN,MIN @ MTL,AWAY,W,5,2
2023-2024,2023020041,2023-10-17,MTL,MTL vs. MIN,HOME,L,2,5
2023-2024,2023020043,2023-10-17,NYI,NYI vs. ARI,HOME,W,1,0
2023-2024,2023020042,2023-10-17,PHI,PHI vs. VAN,HOME,W,2,0
2023-2024,2023020040,2023-10-17,TBL,TBL @ BUF,AWAY,L,2,3
2023-2024,2023020042,2023-10-17,VAN,VAN @ PHI,AWAY,L,0,2
2023-2024,2023020047,2023-10-18,CAR,CAR @ SJS,AWAY,W,6,3
