SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2022-2023,2022020001,2022-10-07,NSH,NSH vs. SJS,HOME,W,4,1
2022-2023,2022020001,2022-10-07,SJS,SJS @ NSH,AWAY,L,1,4
2022-2023,2022020002,2022-10-08,NSH,NSH @ SJS,AWAY,W,3,2
2022-2023,2022020002,2022-10-08,SJS,SJS vs. NSH,HOME,L,2,3
2022-2023,2022020003,2022-10-11,NYR,NYR vs. TBL,HOME,W,3,1
2022-2023,2022020003,2022-10-11,TBL,TBL @ NYR,AWAY,L,1,3
2022-2023,2022020005,2022-10-12,BOS,BOS @ WSH,AWAY,W,5,2
2022-2023,2022020006,2022-10-12,CAR,CAR vs. CBJ,HOME,W,4,1
2022-2023,2022020006,2022-10-12,CBJ,CBJ @ CAR,AWAY,L,1,4
2022-2023,2022020004,2022-10-12,LAK,LAK vs. VGK,HOME,L,3,4
2022-2023,2022020007,2022-10-12,MTL,MTL vs. TOR,HOME,W,4,3
2022-2023,2022020007,2022-10-12,TOR,TOR @ MTL,AWAY,L,3,4
2022-2023,2022020004,2022-10-12,VGK,VGK @ LAK,AWAY,W,4,3
2022-2023,2022020005,2022-10-12,WSH,WSH vs. BOS,HOME,L,2,5
2022-2023,2022020009,2022-10-13,ANA,ANA vs. SEA,HOME,W,5,4
2022-2023,2022020011,2022-10-13,ARI,ARI @ PIT,AWAY,L,2,6
2022-2023,2022020013,2022-10-13,BUF,BUF vs. OTT,HOME,W,4,1
2022-2023,2022020008,2022-10-13,CHI,CHI @ COL,AWAY,L,2,5
2022-2023,2022020008,2022-10-13,COL,COL vs. CHI,HOME,W,5,2
2022-2023,2022020010,2022-10-13,EDM,EDM vs. VAN,HOME,W,5,3
2022-2023,2022020014,2022-10-13,FLA,FLA @ NYI,AWAY,W,3,1
2022-2023,2022020012,2022-10-13,NJD,NJD @ PHI,AWAY,L,2,5
2022-2023,2022020014,2022-10-13,NYI,NYI vs. FLA,HOME,L,1,3
2022-2023,2022020013,2022-10-13,OTT,OTT @ BUF,AWAY,L,1,4
2022-2023,2022020012,2022-10-13,PHI,PHI vs. NJD,HOME,W,5,2
2022-2023,2022020011,2022-10-13,PIT,PIT vs. ARI,HOME,W,6,2
2022-2023,2022020009,2022-10-13,SEA,SEA @ ANA,AWAY,L,4,5
2022-2023,2022020015,2022-10-13,TOR,TOR vs. WSH,HOME,W,3,2
2022-2023,2022020010,2022-10-13,VAN,VAN @ EDM,AWAY,L,3,5
2022-2023,2022020015,2022-10-13,WSH,WSH @ TOR,AWAY,L,2,3
2022-2023,2022020021,2022-10-14,CBJ,CBJ vs. TBL,HOME,L,2,5
2022-2023,2022020018,2022-10-14,CGY,CGY vs. COL,HOME,W,5,3
2022-2023,2022020019,2022-10-14,CHI,CHI @ VGK,AWAY,L,0,1
2022-2023,2022020018,2022-10-14,COL,COL @ CGY,AWAY,L,3,5
2022-2023,2022020016,2022-10-14,DAL,DAL @ NSH,AWAY,W,4,1
2022-2023,2022020022,2022-10-14,DET,DET vs. MTL,HOME,W,3,0
2022-2023,2022020020,2022-10-14,LAK,LAK vs. SEA,HOME,L,1,4
2022-2023,2022020017,2022-10-14,MIN,MIN vs. NYR,HOME,L,3,7
2022-2023,2022020022,2022-10-14,MTL,MTL @ DET,AWAY,L,0,3
2022-2023,2022020016,2022-10-14,NSH,NSH vs. DAL,HOME,L,1,4
2022-2023,2022020017,2022-10-14,NYR,NYR @ MIN,AWAY,W,7,3
2022-2023,2022020020,2022-10-14,SEA,SEA @ LAK,AWAY,W,4,1
2022-2023,2022020021,2022-10-14,TBL,TBL @ CBJ,AWAY,W,5,2
2022-2023,2022020019,2022-10-14,VGK,VGK vs. CHI,HOME,W,1,0
2022-2023,2022020032,2022-10-15,ANA,ANA @ NYI,AWAY,L,1,7
