SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2010-2011,2010020003,2010-10-07,CAR,CAR @ MIN,AWAY,W,4,3
2010-2011,2010020003,2010-10-07,MIN,MIN vs. CAR,HOME,L,3,4
2010-2011,2010020001,2010-10-07,MTL,MTL @ TOR,AWAY,L,2,3
2010-2011,2010020002,2010-10-07,PHI,PHI @ PIT,AWAY,W,3,2
2010-2011,2010020002,2010-10-07,PIT,PIT vs. PHI,HOME,L,2,3
2010-2011,2010020001,2010-10-07,TOR,TOR vs. MTL,HOME,W,3,2
2010-2011,2010020009,2010-10-08,ANA,ANA @ DET,AWAY,L,0,4
2010-2011,2010020011,2010-10-08,ATL,ATL vs. WSH,HOME,W,4,2
2010-2011,2010020010,2010-10-08,BUF,BUF @ OTT,AWAY,W,2,1
2010-2011,2010020008,2010-10-08,CAR,CAR vs. MIN,HOME,W,2,1
2010-2011,2010020006,2010-10-08,CBJ,CBJ vs. SJS,HOME,L,2,3
2010-2011,2010020005,2010-10-08,CGY,CGY @ EDM,AWAY,L,0,4
2010-2011,2010020004,2010-10-08,CHI,CHI @ COL,AWAY,L,3,4
2010-2011,2010020004,2010-10-08,COL,COL vs. CHI,HOME,W,4,3
2010-2011,2010020007,2010-10-08,DAL,DAL @ NJD,AWAY,W,4,3
2010-2011,2010020009,2010-10-08,DET,DET vs. ANA,HOME,W,4,0
2010-2011,2010020005,2010-10-08,EDM,EDM vs. CGY,HOME,W,4,0
2010-2011,2010020008,2010-10-08,MIN,MIN @ CAR,AWAY,L,1,2
2010-2011,2010020007,2010-10-08,NJD,NJD vs. DAL,HOME,L,3,4
2010-2011,2010020010,2010-10-08,OTT,OTT vs. BUF,HOME,L,1,2
2010-2011,2010020006,2010-10-08,SJS,SJS @ CBJ,AWAY,W,3,2
2010-2011,2010020011,2010-10-08,WSH,WSH @ ATL,AWAY,L,2,4
2010-2011,2010020018,2010-10-09,ATL,ATL @ TBL,AWAY,L,3,5
2010-2011,2010020012,2010-10-09,BOS,BOS vs. PHX,HOME,L,2,5
2010-2011,2010020013,2010-10-09,BUF,BUF vs. NYR,HOME,L,3,6
2010-2011,2010020022,2010-10-09,CBJ,CBJ @ SJS,AWAY,W,3,2
2010-2011,2010020015,2010-10-09,DAL,DAL @ NYI,AWAY,W,5,4
2010-2011,2010020016,2010-10-09,MTL,MTL @ PIT,AWAY,W,3,2
2010-2011,2010020017,2010-10-09,NJD,NJD @ WSH,AWAY,L,2,7
2010-2011,2010020015,2010-10-09,NYI,NYI vs. DAL,HOME,L,4,5
2010-2011,2010020013,2010-10-09,NYR,NYR @ BUF,AWAY,W,6,3
2010-2011,2010020014,2010-10-09,OTT,OTT @ TOR,AWAY,L,1,5
2010-2011,2010020012,2010-10-09,PHX,PHX @ BOS,AWAY,W,5,2
2010-2011,2010020016,2010-10-09,PIT,PIT vs. MTL,HOME,L,2,3
2010-2011,2010020022,2010-10-09,SJS,SJS vs. CBJ,HOME,L,2,3
2010-2011,2010020018,2010-10-09,TBL,TBL vs. ATL,HOME,W,5,3
2010-2011,2010020014,2010-10-09,TOR,TOR vs. OTT,HOME,W,5,1
2010-2011,2010020017,2010-10-09,WSH,WSH vs. NJD,HOME,W,7,2
2010-2011,2010020020,2010-10-10,ANA,ANA @ NSH,AWAY,L,1,4
2010-2011,2010020024,2010-10-10,BOS,BOS @ PHX,AWAY,W,3,0
2010-2011,2010020021,2010-10-10,CHI,CHI vs. DET,HOME,L,2,3
2010-2011,2010020021,2010-10-10,DET,DET @ CHI,AWAY,W,3,2
2010-2011,2010020023,2010-10-10,LAK,LAK @ VAN,AWAY,W,2,1
2010-2011,2010020020,2010-10-10,NSH,NSH vs. ANA,HOME,W,4,1
2010-2011,2010020019,2010-10-10,PHI,PHI @ STL,AWAY,L,1,2
2010-2011,2010020024,2010-10-10,PHX,PHX vs. BOS,HOME,L,0,3
2010-2011,2010020019,2010-10-10,STL,STL vs. PHI,HOME,W,2,1
2010-2011,2010020023,2010-10-10,VAN,VAN vs. LAK,HOME,L,1,2
2010-2011,2010020029,2010-10-11,ANA,ANA @ STL,AWAY,L,1,5
2010-2011,2010020030,2010-10-11,BUF,BUF vs. CHI,HOME,L,3,4
2010-2011,2010020025,2010-10-11,CGY,CGY vs. LAK,HOME,W,3,1
2010-2011,2010020030,2010-10-11,CHI,CHI @ BUF,AWAY,W,4,3
2010-2011,2010020031,2010-10-11,COL,COL @ PHI,AWAY,L,2,4
2010-2011,2010020026,2010-10-11,EDM,EDM vs. FLA,HOME,W,3,2
2010-2011,2010020026,2010-10-11,FLA,FLA @ EDM,AWAY,L,2,3
2010-2011,2010020025,2010-10-11,LAK,LAK @ CGY,AWAY,L,1,3
2010-2011,2010020027,2010-10-11,NJD,NJD vs. PIT,HOME,L,1,3
2010-2011,2010020028,2010-10-11,NYI,NYI vs. NYR,HOME,W,6,4
2010-2011,2010020028,2010-10-11,NYR,NYR @ NYI,AWAY,L,4,6
2010-2011,2010020032,2010-10-11,OTT,OTT @ WSH,AWAY,L,2,3
2010-2011,2010020031,2010-10-11,PHI,PHI vs. COL,HOME,W,4,2
2010-2011,2010020027,2010-10-11,PIT,PIT @ NJD,AWAY,W,3,1
2010-2011,2010020029,2010-10-11,STL,STL vs. ANA,HOME,W,5,1
2010-2011,2010020032,2010-10-11,WSH,WSH vs. OTT,HOME,W,3,2
2010-2011,2010020034,2010-10-12,COL,COL @ DET,AWAY,W,5,4
2010-2011,2010020034,2010-10-12,DET,DET vs. COL,HOME,L,4,5
2010-2011,2010020033,2010-10-12,FLA,FLA @ VAN,AWAY,L,1,2
2010-2011,2010020033,2010-10-12,VAN,VAN vs. FLA,HOME,W,2,1
2010-2011,2010020035,2010-10-13,ATL,ATL @ LAK,AWAY,L,1,3
2010-2011,2010020036,2010-10-13,BUF,BUF vs. NJD,HOME,L,0,1
2010-2011,2010020035,2010-10-13,LAK,LAK vs. ATL,HOME,W,3,1
2010-2011,2010020038,2010-10-13,MTL,MTL vs. TBL,HOME,L,3,4
2010-2011,2010020036,2010-10-13,NJD,NJD @ BUF,AWAY,W,1,0
2010-2011,2010020037,2010-10-13,NYI,NYI @ WSH,AWAY,L,1,2
2010-2011,2010020039,2010-10-13,PIT,PIT vs. TOR,HOME,L,3,4
2010-2011,2010020038,2010-10-13,TBL,TBL @ MTL,AWAY,W,4,3
2010-2011,2010020039,2010-10-13,TOR,TOR @ PIT,AWAY,W,4,3
2010-2011,2010020037,2010-10-13,WSH,WSH vs. NYI,HOME,W,2,1
2010-2011,2010020041,2010-10-14,ANA,ANA vs. VAN,HOME,W,4,3
2010-2011,2010020043,2010-10-14,CAR,CAR @ OTT,AWAY,L,2,3
2010-2011,2010020040,2010-10-14,CHI,CHI vs. NSH,HOME,L,2,3
2010-2011,2010020040,2010-10-14,NSH,NSH @ CHI,AWAY,W,3,2
2010-2011,2010020043,2010-10-14,OTT,OTT vs. CAR,HOME,W,3,2
2010-2011,2010020042,2010-10-14,PHI,PHI vs. TBL,HOME,L,2,3
2010-2011,2010020042,2010-10-14,TBL,TBL @ PHI,AWAY,W,3,2
2010-2011,2010020041,2010-10-14,VAN,VAN @ ANA,AWAY,L,3,4
2010-2011,2010020052,2010-10-15,BUF,BUF vs. MTL,HOME,L,1,2
2010-2011,2010020051,2010-10-15,CBJ,CBJ vs. CHI,HOME,L,2,5
2010-2011,2010020047,2010-10-15,CGY,CGY vs. FLA,HOME,L,0,3
2010-2011,2010020051,2010-10-15,CHI,CHI @ CBJ,AWAY,W,5,2
2010-2011,2010020048,2010-10-15,COL,COL @ NJD,AWAY,W,3,2
2010-2011,2010020046,2010-10-15,DAL,DAL vs. DET,HOME,W,4,1
2010-2011,2010020046,2010-10-15,DET,DET @ DAL,AWAY,L,1,4
2010-2011,2010020045,2010-10-15,EDM,EDM @ MIN,AWAY,L,2,4
2010-2011,2010020047,2010-10-15,FLA,FLA @ CGY,AWAY,W,3,0
2010-2011,2010020045,2010-10-15,MIN,MIN vs. EDM,HOME,W,4,2
2010-2011,2010020052,2010-10-15,MTL,MTL @ BUF,AWAY,W,2,1
2010-2011,2010020048,2010-10-15,NJD,NJD vs. COL,HOME,L,2,3
2010-2011,2010020044,2010-10-15,NSH,NSH vs. STL,HOME,W,4,3
2010-2011,2010020050,2010-10-15,NYI,NYI @ PIT,AWAY,L,2,3
2010-2011,2010020049,2010-10-15,NYR,NYR vs. TOR,HOME,L,3,4
2010-2011,2010020050,2010-10-15,PIT,PIT vs. NYI,HOME,W,3,2
2010-2011,2010020044,2010-10-15,STL,STL @ NSH,AWAY,L,3,4
2010-2011,2010020049,2010-10-15,TOR,TOR @ NYR,AWAY,W,4,3
2010-2011,2010020053,2010-10-16,ANA,ANA vs. ATL,HOME,L,4,5
2010-2011,2010020053,2010-10-16,ATL,ATL @ ANA,AWAY,W,5,4
2010-2011,2010020056,2010-10-16,BOS,BOS @ NJD,AWAY,W,4,1
2010-2011,2010020057,2010-10-16,COL,COL @ NYI,AWAY,L,2,5
2010-2011,2010020059,2010-10-16,FLA,FLA vs. TBL,HOME,W,6,0
2010-2011,2010020054,2010-10-16,LAK,LAK vs. VAN,HOME,W,4,1
2010-2011,2010020055,2010-10-16,MTL,MTL vs. OTT,HOME,W,4,3
2010-2011,2010020056,2010-10-16,NJD,NJD vs. BOS,HOME,L,1,4
2010-2011,2010020057,2010-10-16,NYI,NYI vs. COL,HOME,W,5,2
2010-2011,2010020055,2010-10-16,OTT,OTT @ MTL,AWAY,L,3,4
2010-2011,2010020058,2010-10-16,PHI,PHI vs. PIT,HOME,L,1,5
2010-2011,2010020058,2010-10-16,PIT,PIT @ PHI,AWAY,W,5,1
2010-2011,2010020059,2010-10-16,TBL,TBL @ FLA,AWAY,L,0,6
2010-2011,2010020054,2010-10-16,VAN,VAN @ LAK,AWAY,L,1,4
2010-2011,2010020066,2010-10-17,ATL,ATL @ SJS,AWAY,W,4,2
2010-2011,2010020063,2010-10-17,BUF,BUF @ CHI,AWAY,L,3,4
2010-2011,2010020061,2010-10-17,CBJ,CBJ @ MIN,AWAY,W,3,2
2010-2011,2010020065,2010-10-17,CGY,CGY vs. EDM,HOME,W,5,3
2010-2011,2010020063,2010-10-17,CHI,CHI vs. BUF,HOME,W,4,3
2010-2011,2010020062,2010-10-17,DAL,DAL vs. STL,HOME,W,3,2
2010-2011,2010020064,2010-10-17,DET,DET @ PHX,AWAY,W,2,1
2010-2011,2010020065,2010-10-17,EDM,EDM @ CGY,AWAY,L,3,5
2010-2011,2010020061,2010-10-17,MIN,MIN vs. CBJ,HOME,L,2,3
2010-2011,2010020060,2010-10-17,NSH,NSH vs. WSH,HOME,L,2,3
2010-2011,2010020064,2010-10-17,PHX,PHX vs. DET,HOME,L,1,2
2010-2011,2010020066,2010-10-17,SJS,SJS vs. ATL,HOME,L,2,4
2010-2011,2010020062,2010-10-17,STL,STL @ DAL,AWAY,L,2,3
2010-2011,2010020060,2010-10-17,WSH,WSH @ NSH,AWAY,W,3,2
2010-2011,2010020067,2010-10-18,ANA,ANA vs. PHX,HOME,W,3,2
2010-2011,2010020068,2010-10-18,CAR,CAR @ VAN,AWAY,L,1,5
2010-2011,2010020070,2010-10-18,COL,COL @ NYR,AWAY,W,3,1
2010-2011,2010020072,2010-10-18,DAL,DAL @ TBL,AWAY,L,4,5
2010-2011,2010020069,2010-10-18,NYI,NYI @ TOR,AWAY,W,2,1
2010-2011,2010020070,2010-10-18,NYR,NYR vs. COL,HOME,L,1,3
2010-2011,2010020071,2010-10-18,OTT,OTT @ PIT,AWAY,L,2,5
2010-2011,2010020067,2010-10-18,PHX,PHX @ ANA,AWAY,L,2,3
2010-2011,2010020071,2010-10-18,PIT,PIT vs. OTT,HOME,W,5,2
2010-2011,2010020072,2010-10-18,TBL,TBL vs. DAL,HOME,W,5,4
2010-2011,2010020069,2010-10-18,TOR,TOR vs. NYI,HOME,L,1,2
2010-2011,2010020068,2010-10-18,VAN,VAN vs. CAR,HOME,W,5,1
2010-2011,2010020074,2010-10-19,BOS,BOS @ WSH,AWAY,W,3,1
2010-2011,2010020073,2010-10-19,CHI,CHI vs. STL,HOME,W,3,2
2010-2011,2010020073,2010-10-19,STL,STL @ CHI,AWAY,L,2,3
2010-2011,2010020074,2010-10-19,WSH,WSH vs. BOS,HOME,L,1,3
