SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2024-2025,2024020001,2024-10-04,BUF,BUF vs. NJD,HOME,L,1,4
2024-2025,2024020001,2024-10-04,NJD,NJD @ BUF,AWAY,W,4,1
2024-2025,2024020002,2024-10-05,BUF,BUF @ NJD,AWAY,L,1,3
2024-2025,2024020002,2024-10-05,NJD,NJD vs. BUF,HOME,W,3,1
2024-2025,2024020004,2024-10-08,BOS,BOS @ FLA,AWAY,L,4,6
2024-2025,2024020004,2024-10-08,FLA,FLA vs. BOS,HOME,W,6,4
2024-2025,2024020003,2024-10-08,SEA,SEA vs. STL,HOME,L,2,3
2024-2025,2024020003,2024-10-08,STL,STL @ SEA,AWAY,W,3,2
2024-2025,2024020005,2024-10-09,CHI,CHI @ UTA,AWAY,L,2,5
2024-2025,2024020006,2024-10-09,MTL,MTL vs. TOR,HOME,W,1,0
2024-2025,2024020007,2024-10-09,NYR,NYR @ PIT,AWAY,W,6,0
2024-2025,2024020007,2024-10-09,PIT,PIT vs. NYR,HOME,L,0,6
2024-2025,2024020006,2024-10-09,TOR,TOR @ MTL,AWAY,L,0,1
2024-2025,2024020005,2024-10-09,UTA,UTA vs. CHI,HOME,W,5,2
2024-2025,2024020011,2024-10-10,BOS,BOS vs. MTL,HOME,W,6,4
2024-2025,2024020012,2024-10-10,BUF,BUF vs. LAK,HOME,L,1,3
2024-2025,2024020009,2024-10-10,CGY,CGY @ VAN,AWAY,W,6,5
2024-2025,2024020010,2024-10-10,COL,COL @ VGK,AWAY,L,4,8
2024-2025,2024020008,2024-10-10,EDM,EDM vs. WPG,HOME,L,0,6
2024-2025,2024020013,2024-10-10,FLA,FLA @ OTT,AWAY,L,1,3
2024-2025,2024020012,2024-10-10,LAK,LAK @ BUF,AWAY,W,3,1
2024-2025,2024020011,2024-10-10,MTL,MTL @ BOS,AWAY,L,4,6
