SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2012-2013,2012020003,2013-01-19,CHI,CHI @ LAK,AWAY,W,5,2
2012-2013,2012020003,2013-01-19,LAK,LAK vs. CHI,HOME,L,2,5
2012-2013,2012020002,2013-01-19,OTT,OTT @ WPG,AWAY,W,4,1
2012-2013,2012020001,2013-01-19,PHI,PHI vs. PIT,HOME,L,1,3
2012-2013,2012020001,2013-01-19,PIT,PIT @ PHI,AWAY,W,3,1
2012-2013,2012020002,2013-01-19,WPG,WPG vs. OTT,HOME,L,1,4
2012-2013,2012020013,2013-01-20,ANA,ANA @ VAN,AWAY,W,7,3
2012-2013,2012020004,2013-01-20,BOS,BOS vs. NYR,HOME,W,3,1
2012-2013,2012020014,2013-01-20,BUF,BUF vs. PHI,HOME,W,5,2
2012-2013,2012020008,2013-01-20,CAR,CAR @ FLA,AWAY,L,1,5
2012-2013,2012020010,2013-01-20,CBJ,CBJ @ NSH,AWAY,W,3,2
2012-2013,2012020016,2013-01-20,CGY,CGY vs. SJS,HOME,L,1,4
2012-2013,2012020012,2013-01-20,COL,COL @ MIN,AWAY,L,2,4
2012-2013,2012020011,2013-01-20,DAL,DAL vs. PHX,HOME,W,4,3
2012-2013,2012020009,2013-01-20,DET,DET @ STL,AWAY,L,0,6
2012-2013,2012020008,2013-01-20,FLA,FLA vs. CAR,HOME,W,5,1
2012-2013,2012020012,2013-01-20,MIN,MIN vs. COL,HOME,W,4,2
2012-2013,2012020005,2013-01-20,MTL,MTL vs. TOR,HOME,L,1,2
2012-2013,2012020006,2013-01-20,NJD,NJD @ NYI,AWAY,W,2,1
2012-2013,2012020010,2013-01-20,NSH,NSH vs. CBJ,HOME,L,2,3
2012-2013,2012020006,2013-01-20,NYI,NYI vs. NJD,HOME,L,1,2
2012-2013,2012020004,2013-01-20,NYR,NYR @ BOS,AWAY,L,1,3
2012-2013,2012020014,2013-01-20,PHI,PHI @ BUF,AWAY,L,2,5
2012-2013,2012020011,2013-01-20,PHX,PHX @ DAL,AWAY,L,3,4
2012-2013,2012020016,2013-01-20,SJS,SJS @ CGY,AWAY,W,4,1
2012-2013,2012020009,2013-01-20,STL,STL vs. DET,HOME,W,6,0
2012-2013,2012020007,2013-01-20,TBL,TBL vs. WSH,HOME,W,6,3
2012-2013,2012020005,2013-01-20,TOR,TOR @ MTL,AWAY,W,2,1
2012-2013,2012020013,2013-01-20,VAN,VAN vs. ANA,HOME,L,3,7
2012-2013,2012020007,2013-01-20,WSH,WSH @ TBL,AWAY,L,3,6
2012-2013,2012020020,2013-01-21,BOS,BOS vs. WPG,HOME,W,2,1
2012-2013,2012020019,2013-01-21,CHI,CHI @ PHX,AWAY,W,6,4
2012-2013,2012020017,2013-01-21,DAL,DAL @ MIN,AWAY,L,0,1
