SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2014-2015,2014020002,2014-10-08,BOS,BOS vs. PHI,HOME,W,2,1
2014-2015,2014020001,2014-10-08,MTL,MTL @ TOR,AWAY,W,4,3
2014-2015,2014020002,2014-10-08,PHI,PHI @ BOS,AWAY,L,1,2
2014-2015,2014020001,2014-10-08,TOR,TOR vs. MTL,HOME,L,3,4
2014-2015,2014020007,2014-10-09,ANA,ANA @ PIT,AWAY,L,4,6
2014-2015,2014020009,2014-10-09,BOS,BOS @ DET,AWAY,L,1,2
2014-2015,2014020005,2014-10-09,BUF,BUF vs. CBJ,HOME,L,1,3
2014-2015,2014020005,2014-10-09,CBJ,CBJ @ BUF,AWAY,W,3,1
2014-2015,2014020003,2014-10-09,CGY,CGY vs. VAN,HOME,L,2,4
2014-2015,2014020009,2014-10-09,DET,DET vs. BOS,HOME,W,2,1
2014-2015,2014020010,2014-10-09,FLA,FLA @ TBL,AWAY,L,2,3
2014-2015,2014020004,2014-10-09,LAK,LAK vs. SJS,HOME,L,0,4
2014-2015,2014020008,2014-10-09,MTL,MTL @ WSH,AWAY,W,2,1
2014-2015,2014020006,2014-10-09,NJD,NJD @ PHI,AWAY,W,6,4
2014-2015,2014020006,2014-10-09,PHI,PHI vs. NJD,HOME,L,4,6
2014-2015,2014020007,2014-10-09,PIT,PIT vs. ANA,HOME,W,6,4
2014-2015,2014020004,2014-10-09,SJS,SJS @ LAK,AWAY,W,4,0
2014-2015,2014020010,2014-10-09,TBL,TBL vs. FLA,HOME,W,3,2
2014-2015,2014020003,2014-10-09,VAN,VAN @ CGY,AWAY,W,4,2
2014-2015,2014020008,2014-10-09,WSH,WSH vs. MTL,HOME,L,1,2
2014-2015,2014020016,2014-10-10,ARI,ARI vs. WPG,HOME,L,2,6
2014-2015,2014020017,2014-10-10,CAR,CAR vs. NYI,HOME,L,3,5
2014-2015,2014020015,2014-10-10,CGY,CGY @ EDM,AWAY,W,5,2
2014-2015,2014020013,2014-10-10,CHI,CHI @ DAL,AWAY,W,3,2
2014-2015,2014020014,2014-10-10,COL,COL @ MIN,AWAY,L,0,5
2014-2015,2014020013,2014-10-10,DAL,DAL vs. CHI,HOME,L,2,3
2014-2015,2014020015,2014-10-10,EDM,EDM vs. CGY,HOME,L,2,5
2014-2015,2014020014,2014-10-10,MIN,MIN vs. COL,HOME,W,5,0
2014-2015,2014020012,2014-10-10,NSH,NSH vs. OTT,HOME,W,3,2
2014-2015,2014020017,2014-10-10,NYI,NYI @ CAR,AWAY,W,5,3
2014-2015,2014020011,2014-10-10,NYR,NYR @ STL,AWAY,W,3,2
2014-2015,2014020012,2014-10-10,OTT,OTT @ NSH,AWAY,L,2,3
2014-2015,2014020011,2014-10-10,STL,STL vs. NYR,HOME,L,2,3
2014-2015,2014020016,2014-10-10,WPG,WPG @ ARI,AWAY,W,6,2
2014-2015,2014020020,2014-10-11,ANA,ANA @ DET,AWAY,W,3,2
2014-2015,2014020018,2014-10-11,BOS,BOS vs. WSH,HOME,L,0,4
2014-2015,2014020023,2014-10-11,CAR,CAR @ NYI,AWAY,L,3,4
2014-2015,2014020025,2014-10-11,CBJ,CBJ vs. NYR,HOME,W,5,2
2014-2015,2014020026,2014-10-11,CGY,CGY @ STL,AWAY,L,1,4
2014-2015,2014020020,2014-10-11,DET,DET vs. ANA,HOME,L,2,3
2014-2015,2014020022,2014-10-11,FLA,FLA vs. NJD,HOME,L,1,5
2014-2015,2014020024,2014-10-11,MTL,MTL @ PHI,AWAY,W,4,3
2014-2015,2014020022,2014-10-11,NJD,NJD @ FLA,AWAY,W,5,1
