,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
49,New York Yankees,-149,2025-09-26T23:06:00Z,New York Yankees,Baltimore Orioles,draftkings,h2h
50,Baltimore Orioles,126,2025-09-26T23:06:00Z,New York Yankees,Baltimore Orioles,bovada,h2h
51,New York Yankees,-150,2025-09-26T23:06:00Z,New York Yankees,Baltimore Orioles,bovada,h2h
52,Baltimore Orioles,123,2025-09-26T23:06:00Z,New York Yankees,Baltimore Orioles,betus,h2h
53,New York Yankees,-136,2025-09-26T23:06:00Z,New York Yankees,Baltimore Orioles,betus,h2h
54,Tampa Bay Rays,160,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,fanduel,h2h
55,Toronto Blue Jays,-190,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,fanduel,h2h
56,Tampa Bay Rays,156,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,lowvig,h2h
57,Toronto Blue Jays,-173,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,lowvig,h2h
58,Tampa Bay Rays,156,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betonlineag,h2h
59,Toronto Blue Jays,-173,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betonlineag,h2h
60,Tampa Bay Rays,149,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,draftkings,h2h
61,Toronto Blue Jays,-182,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,draftkings,h2h
62,Tampa Bay Rays,152,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,mybookieag,h2h
63,Toronto Blue Jays,-182,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,mybookieag,h2h
64,Tampa Bay Rays,155,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betus,h2h
65,Toronto Blue Jays,-176,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betus,h2h
66,Tampa Bay Rays,150,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betrivers,h2h
67,Toronto Blue Jays,-186,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betrivers,h2h
68,Tampa Bay Rays,150,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betmgm,h2h
69,Toronto Blue Jays,-185,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,betmgm,h2h
70,Tampa Bay Rays,158,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,bovada,h2h
71,Toronto Blue Jays,-193,2025-09-26T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,bovada,h2h
72,Boston Red Sox,-120,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,fanduel,h2h
73,Detroit Tigers,102,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,fanduel,h2h
74,Boston Red Sox,-124,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betrivers,h2h
75,Detroit Tigers,102,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betrivers,h2h
76,Boston Red Sox,-119,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,mybookieag,h2h
77,Detroit Tigers,101,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,mybookieag,h2h
78,Boston Red Sox,-118,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betonlineag,h2h
79,Detroit Tigers,107,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betonlineag,h2h
80,Boston Red Sox,-118,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,lowvig,h2h
81,Detroit Tigers,107,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,lowvig,h2h
82,Boston Red Sox,-123,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,draftkings,h2h
83,Detroit Tigers,102,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,draftkings,h2h
84,Boston Red Sox,-120,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betmgm,h2h
85,Detroit Tigers,100,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betmgm,h2h
86,Boston Red Sox,-122,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,bovada,h2h
87,Detroit Tigers,102,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,bovada,h2h
88,Boston Red Sox,-117,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betus,h2h
89,Detroit Tigers,107,2025-09-26T23:11:00Z,Boston Red Sox,Detroit Tigers,betus,h2h
90,Cleveland Guardians,-154,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,fanduel,h2h
91,Texas Rangers,130,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,fanduel,h2h
92,Cleveland Guardians,-152,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,lowvig,h2h
93,Texas Rangers,138,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,lowvig,h2h
94,Cleveland Guardians,-152,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betonlineag,h2h
95,Texas Rangers,138,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betonlineag,h2h
