feature,perm_importance,perm_std,xgb_importance
home_top6_total_plusminus,0.5259210378099881,0.03173368867594056,0.083045326
away_top6_total_plusminus,0.35310826880757384,0.01272361587447458,0.06782006
plus_minus_diff,0.18656789022363968,0.020814737011474637,0.19087045
home_top5_avg_apg,0.025657591918526103,0.0035926567354011975,0.028366225
away_rest_days,0.021445814274626152,0.005385312870378232,0.038290463
home_plus_minus_l10,0.017662653652104333,0.006523917012524658,0.03690805
home_rest_days,0.01299177938202476,0.004468593044513179,0.031550355
home_depth_variance,0.012470910652941924,0.006559486850767419,0.028848244
home_top3_avg_blk,0.012078838149964532,0.006248008714241474,0.028934708
tov_l10_diff,0.011537766901765245,0.0031458608070756133,0.02716184
away_top5_avg_blk,0.009261346708476203,0.006572549588457734,0.027165946
away_top6_avg_rpg,0.007987534469116219,0.003160717524629124,0.026549488
reb_l10_diff,0.007398146228632463,0.003349836718180224,0.026161257
opp_ppg_diff,0.007268392162402293,0.00330928537227524,0.02780909
away_top6_avg_tov,0.006895896805153434,0.005050987862451347,0.027136838
home_top3_avg_apg,0.006892215503327037,0.004611034881846117,0.027724292
away_tov_l10,0.0062600776684556434,0.0020264718230061274,0.026903437
rest_days_diff,0.006016727180537806,0.0023352282681625126,0.032429755
home_stl_l10,0.0053513311975732945,0.0018367870205650708,0.026719792
home_top3_avg_stl,0.0051542067717972985,0.004177757508352358,0.028325845
away_plus_minus_l10,0.004780998340846665,0.0059315057710806925,0.033809874
away_ppg_l10,0.0045928906481108814,0.006736115642026994,0.029769745
home_top6_avg_apg,0.002517502895923407,0.0032320162549615773,0.028188052
is_back_to_back_away,0.002336587357614306,0.0011586718546893165,0.034082294
is_back_to_back_home,0.001779696719084356,0.0007574274153197686,0.035428587
