game_id,date,season,home_team,away_team,home_score,away_score,point_diff,home_won,home_wins_l10,away_wins_l10,home_plus_minus_l10,away_plus_minus_l10,plus_minus_diff,home_ppg_l10,away_ppg_l10,ppg_diff,home_opp_ppg_l10,away_opp_ppg_l10,opp_ppg_diff,home_tov_l10,away_tov_l10,home_blk_l10,away_blk_l10,home_stl_l10,away_stl_l10,home_rest_days,away_rest_days,rest_days_diff,is_back_to_back_home,is_back_to_back_away,home_top3_avg_ppg,away_top3_avg_ppg,home_top5_avg_ppg,away_top5_avg_ppg,home_top6_avg_ppg,away_top6_avg_ppg,home_top5_avg_mpg,away_top5_avg_mpg,home_top6_avg_mpg,away_top6_avg_mpg,home_top3_avg_apg,away_top3_avg_apg,home_top5_avg_apg,away_top5_avg_apg,home_top6_avg_apg,away_top6_avg_apg,home_top3_avg_rpg,away_top3_avg_rpg,home_top5_avg_rpg,away_top5_avg_rpg,home_top6_avg_rpg,away_top6_avg_rpg,home_top3_avg_blk,away_top3_avg_blk,home_top5_avg_blk,away_top5_avg_blk,home_top6_avg_blk,away_top6_avg_blk,home_top3_avg_stl,away_top3_avg_stl,home_top5_avg_stl,away_top5_avg_stl,home_top6_avg_stl,away_top6_avg_stl,home_top3_avg_tov,away_top3_avg_tov,home_top5_avg_tov,away_top5_avg_tov,home_top6_avg_tov,away_top6_avg_tov,home_top6_total_plusminus,away_top6_total_plusminus,home_depth_variance,away_depth_variance,home_fg_pct_l10,away_fg_pct_l10,home_fg3_pct_l10,away_fg3_pct_l10
22100107,2021-11-02,2021-22,LAL,HOU,119,117,2.0,1,4.0,2.0,-4.1,-9.0,4.9,109.3,103.0,6.299999999999997,113.4,112.0,1.4000000000000057,17.6,19.7,6.4,4.4,9.1,8.7,1.0,1.0,0.0,0,0,19.15530303030303,14.666666666666666,15.293181818181818,11.42222222222222,13.987907925407926,11.068518518518518,27.018599242424237,25.1342,26.76919594988345,24.083000000000002,5.093434343434343,3.1,3.2727272727272725,2.437777777777778,2.9324009324009324,2.364814814814815,7.404040404040404,6.166666666666667,5.385757575757576,5.455555555555555,4.8983877233877235,5.512962962962963,0.9911616161616162,0.5,0.7646969696969698,0.4333333333333333,0.6757090132090132,0.5111111111111111,1.482323232323232,0.9,1.1493939393939392,0.7622222222222222,1.1629564879564878,0.9351851851851852,3.593434343434343,2.9,2.4127272727272726,2.1177777777777775,2.19009324009324,2.164814814814815,-12.696620046620046,-34.266666666666666,6.909505186696965,4.2934426985533785,0.4593,0.425,0.36360000000000003,0.3221
22100108,2021-11-03,2021-22,CLE,POR,107,104,3.0,1,5.0,3.0,0.6,-6.8,7.3999999999999995,104.2,104.8,-0.5999999999999943,103.6,111.6,-8.0,16.2,17.5,4.3,4.8,9.3,8.1,1.0,1.0,0.0,0,0,11.625641025641025,17.9712962962963,12.543216783216783,14.119141414141415,11.063791763791764,14.228914141414142,27.566043822843824,27.19493762626262,24.78244392644393,26.617818392255888,3.0846153846153848,3.7953703703703705,3.4633566433566436,2.7554040404040405,3.0713157213157216,2.72209595959596,6.084615384615385,3.1342592592592595,4.868951048951049,5.2132828282828285,4.575977725977726,4.7518097643097645,0.8025641025641025,0.30833333333333335,0.5123076923076922,0.5486363636363636,0.4454415954415954,0.4757154882154882,1.2282051282051283,0.6277777777777778,1.1858741258741259,0.833030303030303,1.0808210308210306,0.7867845117845117,2.1025641025641026,2.0175925925925924,2.5090909090909093,1.8978282828282826,2.183501683501684,1.7852272727272727,-13.82105672105672,-20.66136363636364,4.120317282179334,5.491024653326967,0.4559,0.4383,0.3028,0.31379999999999997
22100109,2021-11-03,2021-22,IND,NYK,111,98,13.0,1,3.0,8.0,-3.0,6.2,-9.2,109.3,114.6,-5.299999999999997,112.3,108.4,3.8999999999999915,16.5,14.0,6.1,5.7,8.2,7.0,1.0,1.0,0.0,0,0,18.78968253968254,17.869696969696967,16.873809523809523,14.99681818181818,15.611507936507936,13.864015151515149,28.421932539682537,30.825206060606057,28.169082671957668,28.787421717171714,4.138888888888888,3.3424242424242423,3.583333333333333,2.9254545454545453,3.2194444444444437,2.737878787878788,6.916666666666665,6.2,5.783333333333333,6.21,5.219444444444444,5.575,0.3849206349206349,0.6636363636363636,0.680952380952381,0.6581818181818181,0.6174603174603174,0.5984848484848484,0.996031746031746,0.7212121212121212,0.8976190476190476,0.7777272727272727,0.8646825396825397,0.7647727272727273,2.734126984126984,2.118181818181818,2.5238095238095237,1.7959090909090911,2.303174603174603,1.5965909090909092,11.204761904761904,13.956818181818182,4.282708050569134,5.3760634959160605,0.45730000000000004,0.45810000000000006,0.3363,0.4114
22100123,2021-11-04,2021-22,LAL,OKC,104,107,-3.0,0,5.0,2.0,-1.0,-10.9,9.9,111.8,100.2,11.599999999999994,112.8,111.1,1.7000000000000028,17.0,14.8,6.3,3.8,8.9,7.4,1.0,2.0,-1.0,0,0,17.207264957264957,14.585858585858587,12.664618714618715,11.294372294372293,11.579489954489956,11.061976911976911,26.075162254412255,24.922108513708512,25.210797605172605,25.064645983645978,3.47008547008547,3.778114478114478,2.452181152181152,2.5811544011544014,2.3383560883560883,2.384295334295335,6.7094017094017095,4.493939393939393,4.830835830835831,4.353506493506493,4.333388833388834,4.661255411255411,0.9529914529914528,0.3589225589225589,0.6328338328338328,0.30106782106782104,0.5658230658230657,0.38422318422318424,0.9807692307692308,0.8666666666666667,1.0092407592407593,0.6342857142857142,0.9435980685980686,0.7285714285714285,2.594017094017094,1.9228956228956229,1.8109557109557113,1.4965945165945165,1.675796425796426,1.5304954304954304,-14.04054279054279,-36.631313131313135,6.600646084760737,4.749043240372863,0.47440000000000004,0.42140000000000005,0.3519,0.3097
22100125,2021-11-05,2021-22,ORL,SAS,89,102,-13.0,0,3.0,4.0,-7.3,2.5,-9.8,101.3,110.5,-9.200000000000003,108.6,108.0,0.5999999999999943,16.7,14.4,5.0,5.4,6.0,9.1,1.0,1.0,0.0,0,0,13.282051282051283,15.175213675213675,12.673076923076923,11.949358974358974,12.26602564102564,11.557799145299144,28.89273717948718,25.521530982905983,28.07535790598291,25.171442485754984,2.7692307692307687,4.6923076923076925,2.7743589743589743,3.592307692307692,2.6196581196581197,3.21025641025641,6.102564102564102,5.0769230769230775,6.332051282051282,4.965384615384616,5.558760683760684,4.471153846153847,1.1025641025641024,0.4444444444444445,0.9474358974358973,0.4551282051282051,0.8408119658119656,0.3959401709401709,0.8461538461538461,1.1987179487179487,0.8141025641025641,1.1846153846153846,0.780982905982906,1.0038461538461538,1.717948717948718,1.6388888888888886,2.1076923076923078,1.5448717948717947,1.8974358974358976,1.404059829059829,-17.852564102564102,3.409615384615384,2.2671573534898806,4.976259721717963,0.42540000000000006,0.4697,0.3497,0.3487
22100131,2021-11-05,2021-22,POR,IND,110,106,4.0,1,3.0,3.0,-5.7,-1.9,-3.8000000000000003,105.9,109.5,-3.5999999999999943,111.6,111.4,0.19999999999998863,15.7,16.7,5.1,6.1,8.5,7.5,1.0,1.0,0.0,0,0,15.203030303030303,13.880341880341879,14.382929292929294,12.71142191142191,14.452441077441078,13.246697746697746,27.767662794612797,26.470321678321675,27.101024551066217,27.257832167832166,3.7636363636363637,4.632478632478633,2.874848484848485,3.2675990675990674,2.7957070707070706,3.12043512043512,4.172727272727273,5.017094017094017,5.2703030303030305,4.9319347319347315,4.7585858585858585,4.802253302253302,0.6060606060606061,0.5384615384615384,0.5803030303030303,0.8391608391608392,0.5002525252525253,0.7377622377622378,1.0151515151515151,1.2564102564102564,0.9535353535353537,0.9888111888111888,0.8946127946127946,0.9778554778554779,1.866666666666667,2.094017094017094,1.8144444444444445,1.864801864801865,1.712037037037037,1.848873348873349,-17.15606060606061,11.694638694638693,5.660150437116076,4.850116593061275,0.43479999999999996,0.4593,0.3282,0.3553
22100132,2021-11-05,2021-22,SAC,CHA,140,110,30.0,1,6.0,5.0,0.8,-7.0,7.8,110.2,109.1,1.1000000000000085,109.4,116.1,-6.699999999999989,12.6,14.6,4.6,4.9,7.8,9.2,1.0,1.0,0.0,0,0,15.045454545454547,16.6982905982906,15.504545454545456,14.659533799533799,14.614898989898991,13.613714063714063,29.517500000000002,29.099447863247867,29.175486111111113,28.385843304843306,3.0606060606060606,3.285470085470086,3.386363636363636,3.6775757575757573,3.3914141414141414,3.4492618492618488,6.78030303030303,4.877777777777778,6.027272727272727,5.546247086247087,5.356060606060606,5.403923853923854,0.7525252525252525,0.5521367521367522,0.5212121212121211,0.5928205128205128,0.5037878787878787,0.5837606837606838,0.9848484848484849,0.9213675213675213,0.9515151515151515,1.054918414918415,0.9457070707070708,1.10986790986791,1.2373737373737372,2.072649572649573,1.6681818181818184,2.093939393939394,1.570707070707071,1.9244366744366745,20.045454545454547,-8.883216783216783,3.7816081935517594,5.59501451700986,0.449,0.4349,0.3345,0.3705
22100138,2021-11-06,2021-22,POR,LAL,105,90,15.0,1,4.0,5.0,-0.8,-0.1,-0.7000000000000001,109.5,112.3,-2.799999999999997,110.3,112.4,-2.1000000000000085,15.0,16.4,5.2,6.2,8.3,8.8,0.0,1.0,-1.0,1,0,13.51010101010101,12.307692307692307,15.454545454545453,9.575091575091573,14.66083916083916,9.257020757020756,28.22025606060606,22.93271672771673,27.492286033411034,22.45930097680098,3.0207070707070707,2.956043956043956,3.033636363636364,2.2355311355311356,2.8870046620046623,2.1684981684981683,3.9146464646464647,4.67948717948718,3.4669696969696973,3.495787545787546,4.722474747474748,3.190934065934066,0.4691919191919192,0.35604395604395606,0.4678787878787879,0.27315018315018313,0.5052836052836053,0.24151404151404146,0.8318181818181817,0.6417582417582417,0.8415151515151514,0.6802930402930403,0.9063908313908313,0.6502442002442003,1.4262626262626263,2.0256410256410255,1.5754545454545454,1.4677655677655677,1.723135198135198,1.4592490842490842,-14.573892773892773,-13.137912087912088,5.326348895444847,5.334823191186152,0.45380000000000004,0.47450000000000003,0.3564,0.356
22100146,2021-11-07,2021-22,LAC,CHA,120,106,14.0,1,4.0,5.0,-1.0,-3.2,2.2,105.7,114.2,-8.5,106.7,117.4,-10.700000000000003,14.6,13.2,4.9,5.2,9.9,9.2,1.0,1.0,0.0,0,0,16.741414141414143,16.506493506493506,13.42868686868687,15.203896103896103,13.190572390572392,14.639610389610388,27.41442676767677,29.100893939393938,27.19824915824916,28.57236111111111,3.5378787878787876,3.2467532467532467,2.7025252525252528,3.705194805194805,2.5715488215488214,3.284632034632035,5.037878787878788,4.658008658008658,5.513636363636364,4.7376623376623375,5.178030303030303,4.6601731601731595,0.24444444444444446,0.5021645021645021,0.4214141414141414,0.487012987012987,0.3650673400673401,0.46645021645021645,1.3207070707070707,0.8549783549783551,1.0752525252525253,1.1129870129870132,1.0071548821548821,1.048701298701299,2.0797979797979798,1.8831168831168832,1.5408080808080808,1.8584415584415583,1.3812289562289564,1.6396103896103895,11.225757575757576,-14.954545454545453,5.758831926289937,4.236557421893773,0.4337,0.4542,0.3397,0.3861
22100140,2021-11-07,2021-22,NYK,CLE,109,126,-17.0,0,7.0,6.0,3.8,-0.5,4.3,113.2,104.0,9.200000000000003,109.4,104.5,4.900000000000006,13.7,16.4,5.7,3.8,7.6,7.6,1.0,1.0,0.0,0,0,14.852564102564102,12.588888888888889,14.388461538461538,11.611794871794872,13.268162393162394,10.403768453768455,28.63846367521367,26.336097863247865,26.922816951566947,24.16485427997928,2.9230769230769234,3.238888888888889,2.8769230769230774,3.4335897435897436,2.7168803418803424,3.0734459984459988,8.602564102564102,6.400000000000001,6.346153846153846,4.820512820512821,5.705128205128204,4.562548562548563,0.7927350427350427,0.7833333333333332,0.6141025641025641,0.512051282051282,0.5673076923076924,0.44186091686091683,1.044871794871795,1.1500000000000001,1.0115384615384615,0.9802564102564103,0.9957264957264957,0.9077894327894329,2.19017094017094,2.216666666666667,1.8217948717948715,2.065384615384615,1.629273504273504,1.8120629370629369,36.871794871794876,-7.169930069930071,6.689058078147094,3.225922305008653,0.4518999999999999,0.45420000000000005,0.37160000000000004,0.3163
