game_id,date,season,home_team,away_team,home_score,away_score,home_won,home_wins_l10,away_wins_l10,home_net_rating_l10,away_net_rating_l10,home_ppg_l10,away_ppg_l10,home_opp_ppg_l10,away_opp_ppg_l10,home_rest_days,away_rest_days,is_back_to_back_home,is_back_to_back_away,home_top3_avg_ppg,away_top3_avg_ppg,home_top5_avg_mpg,away_top5_avg_mpg,home_top6_total_plusminus,away_top6_total_plusminus,home_star_ppg,away_star_ppg,home_6thman_quality,away_6thman_quality,home_depth_variance,away_depth_variance,home_fg_pct_l10,away_fg_pct_l10,home_fg3_pct_l10,away_fg3_pct_l10
20100142,2001-11-18,2001-02,PHX,TOR,81,87,0,5.0,6.0,2.0,3.0,99.9,97.9,97.9,94.9,1.0,1.0,0,0,19.26666666666667,17.900000000000002,30.2537,32.951233333333334,10.52020202020202,12.366666666666667,16.9,26.4,8.333333333333334,8.555555555555555,7.239356118644098,6.865495824906653,0.4706,0.426,0.3311,0.3617
20100145,2001-11-19,2001-02,SAC,HOU,113,77,1,7.0,6.0,8.2,2.8,100.9,94.2,92.7,91.4,0.0,1.0,1,0,14.766666666666667,17.94814814814815,30.60706296296296,33.781770370370374,30.366666666666667,15.294444444444444,6.1,22.6,15.7,2.375,6.3620699584630955,7.216148817419444,0.45389999999999997,0.43010000000000004,0.33740000000000003,0.3323
20100153,2001-11-20,2001-02,GSW,NYK,70,94,0,6.0,3.0,1.3,-5.1,95.0,85.5,93.7,90.6,2.0,1.0,0,0,10.090909090909092,14.696969696969697,24.482242424242425,29.670272727272724,5.545454545454545,-7.25,10.0,17.272727272727273,12.909090909090908,4.5,5.385829790704053,5.115181584717018,0.4192,0.4109999999999999,0.3899,0.3185
20100148,2001-11-20,2001-02,IND,ATL,106,102,1,5.0,3.0,0.6,-6.7,101.4,90.6,100.8,97.3,2.0,2.0,0,0,16.444444444444443,14.680555555555557,33.51017592592592,30.53682685185185,8.63888888888889,-22.977777777777778,9.416666666666666,13.875,12.083333333333334,6.875,6.228857242820735,4.171119842529191,0.446,0.4324,0.3778,0.3176
20100151,2001-11-20,2001-02,POR,HOU,87,94,0,6.0,5.0,2.7,-1.3,96.4,93.0,93.7,94.3,2.0,0.0,0,1,19.12121212121212,16.145454545454545,31.96336742424242,31.19780303030303,21.59090909090909,11.909090909090908,18.0,17.8,2.111111111111111,5.181818181818182,7.21765248285024,6.683807166347232,0.46130000000000004,0.4264,0.3375,0.3277
20100162,2001-11-21,2001-02,UTA,NJN,89,90,0,4.0,7.0,-5.0,4.0,94.1,95.2,99.1,91.2,3.0,1.0,0,0,17.0,12.933333333333332,28.260727272727273,32.17829999999999,-16.181818181818183,12.699999999999998,22.272727272727273,12.1,5.444444444444445,9.3,7.426053284732175,2.6448062310876383,0.4554,0.4262,0.2889,0.3151
20100164,2001-11-21,2001-02,SAC,POR,95,83,1,7.0,5.0,11.2,1.5,102.1,95.9,90.9,94.4,1.0,0.0,0,1,14.393939393939393,14.5,33.43384848484849,31.971083333333333,34.81818181818182,9.63888888888889,15.090909090909092,17.333333333333332,9.0,5.083333333333333,5.911374849988782,7.167958539893324,0.4608,0.46179999999999993,0.3674,0.2864
20100163,2001-11-21,2001-02,PHX,NYK,96,72,1,5.0,4.0,1.7,-2.3,98.4,85.6,96.7,87.9,2.0,0.0,0,1,19.12121212121212,13.777777777777779,32.316862626262626,30.91063888888889,9.131818181818183,-5.833333333333332,17.545454545454547,15.833333333333334,8.454545454545455,7.75,7.064017280829859,4.796314171280863,0.46609999999999996,0.4236,0.2982,0.32639999999999997
20100161,2001-11-21,2001-02,DEN,LAL,68,89,0,5.0,9.0,0.7,8.1,96.8,101.0,96.1,92.9,1.0,0.0,0,1,13.248484848484848,21.333333333333332,27.87381212121212,29.613033333333334,2.109090909090909,27.7,27.0,27.4,9.454545454545455,6.3,7.904930985422802,11.624915770304174,0.43550000000000005,0.4631,0.3329,0.3191
20100156,2001-11-21,2001-02,CHH,DAL,78,89,0,5.0,5.0,-3.2,-3.4,92.2,97.1,95.4,100.5,0.0,0.0,1,1,5.957142857142858,19.387878787878787,26.68014761904762,33.329663636363634,-11.055555555555555,-5.527272727272727,6.4,21.0,2.2222222222222223,6.5,7.024201651087403,6.626244880180721,0.43499999999999994,0.4465,0.3908,0.3234
